frame,value
0,1
0.001048,1.088394
0.001942,1.093031
0.002987,1.097277
0.003742,1.098139
0.004704,1.098536
0.00564,1.098177
0.006673,1.097773
0.00754,1.098815
0.008421,1.098788
0.009187,1.09918
0.010057,1.098238
0.010913,1.099166
0.011737,1.098761
0.012803,1.099157
0.013836,1.099173
0.014621,1.099395
0.015386,1.09944
0.016159,1.0994
0.016942,1.099538
0.017809,1.099561
0.018871,1.098774
0.019631,1.099477
0.020406,1.099463
0.021172,1.099312
0.021949,1.099245
0.022836,1.099179
0.02359,1.099519
0.024354,1.099204
0.025173,1.099107
0.025988,1.099571
0.026817,1.098915
0.027716,1.099304
0.028539,1.099152
0.02933,1.099117
0.030203,1.099222
0.031144,1.099172
0.031937,1.099074
0.032699,1.099357
0.033557,1.099485
0.034335,1.099463
0.035239,1.099141
0.036028,1.099646
0.03678,1.099347
0.037577,1.099286
0.038357,1.099281
0.039118,1.09959
0.03993,1.099687
0.040742,1.099428
0.041577,1.099068
0.042378,1.099472
0.043179,1.099213
0.043944,1.099692
0.044713,1.099329
0.045544,1.099171
0.046392,1.099515
0.047143,1.099339
0.047897,1.099404
0.048719,1.099656
0.049554,1.099326
0.050329,1.099155
0.051192,1.099329
0.051967,1.099296
0.052744,1.099402
0.053564,1.099595
0.054317,1.099711
0.055068,1.099284
0.055853,1.099293
0.056655,1.099216
0.057516,1.099411
0.058271,1.099271
0.059051,1.099394
0.059938,1.09927
0.060762,1.099205
0.061605,1.099376
0.062436,1.099401
0.063193,1.099363
0.063978,1.099629
0.064801,1.099308
0.065631,1.099712
0.066386,1.099075
0.067171,1.099505
0.067954,1.099639
0.068724,1.099132
0.069496,1.099514
0.070361,1.099482
0.071132,1.099612
0.071967,1.099333
0.072853,1.098879
0.073624,1.099548
0.074527,1.099407
0.07529,1.099709
0.076104,1.099646
0.076874,1.099682
0.077651,1.098893
0.078429,1.099077
0.079234,1.09967
0.07999,1.099019
0.081031,1.099029
0.081786,1.099616
0.082606,1.099658
0.083357,1.099757
0.084276,1.099602
0.085037,1.099383
0.086074,1.098835
0.086943,1.099667
0.087837,1.099404
0.088593,1.09971
0.089345,1.098982
0.090235,1.099096
0.091478,1.098891
0.092316,1.099619
0.093071,1.099733
0.093941,1.099154
0.094721,1.099336
0.095542,1.099201
0.096338,1.099629
0.097171,1.099549
0.097955,1.09971
0.098958,1.098719
0.099721,1.099566
0.100476,1.099597
0.101253,1.099628
0.102139,1.098925
0.102957,1.099099
0.103728,1.099636
0.104672,1.098621
0.105431,1.09939
0.106199,1.099709
0.106984,1.099524
0.107886,1.09924
0.108651,1.099637
0.109409,1.099603
0.110164,1.098975
0.110925,1.099158
0.111844,1.099554
0.112597,1.099172
0.113397,1.099416
0.114193,1.099092
0.114978,1.099272
0.115754,1.099717
0.11651,1.09968
0.117337,1.099626
0.118169,1.099596
0.118998,1.099623
0.119825,1.099484
0.120589,1.099531
0.121347,1.099176
0.122115,1.09967
0.123103,1.099049
0.12398,1.099257
0.124806,1.099559
0.125623,1.09951
0.126548,1.098956
0.127324,1.099658
0.128159,1.099587
0.129027,1.099147
0.129851,1.099395
0.130657,1.09922
0.131415,1.099662
0.132225,1.099273
0.133081,1.099286
0.134106,1.099458
0.134882,1.099685
0.135805,1.099455
0.136632,1.099306
0.137443,1.099113
0.138301,1.099143
0.139088,1.099754
0.139895,1.09953
0.140706,1.099705
0.141459,1.099158
0.142307,1.099665
0.143115,1.099248
0.143939,1.099289
0.14516,1.099325
0.146052,1.099716
0.146805,1.099658
0.147744,1.099566
0.148576,1.099607
0.14935,1.099755
0.150108,1.099367
0.150903,1.099798
0.151787,1.099679
0.152926,1.099247
0.153793,1.099671
0.154556,1.099471
0.15537,1.099732
0.156374,1.099555
0.157129,1.099851
0.157881,1.099616
0.158639,1.099706
0.159444,1.099396
0.160212,1.099774
0.160989,1.099643
0.161808,1.09931
0.162577,1.099801
0.163337,1.099876
0.164323,1.099242
0.165106,1.099883
0.165888,1.099787
0.16671,1.099372
0.167604,1.099191
0.168396,1.099829
0.169185,1.099784
0.170048,1.099782
0.170799,1.099764
0.171549,1.099862
0.172332,1.099814
0.173125,1.099599
0.173959,1.099759
0.17496,1.099511
0.175718,1.099787
0.176484,1.099576
0.177495,1.099527
0.178249,1.099882
0.179017,1.099807
0.179802,1.099778
0.180579,1.099911
0.181336,1.099869
0.182092,1.099899
0.182934,1.099713
0.183729,1.099853
0.184698,1.099019
0.185482,1.099745
0.186239,1.099679
0.186997,1.099828
0.187765,1.099807
0.188535,1.099833
0.189286,1.099851
0.190044,1.09989
0.190874,1.099808
0.191624,1.09991
0.192418,1.099795
0.193171,1.099524
0.194093,1.09974
0.19485,1.099849
0.195611,1.099797
0.1964,1.099795
0.197152,1.099821
0.197909,1.09981
0.198666,1.099802
0.199417,1.099876
0.20032,1.099181
0.201074,1.099801
0.201825,1.099675
0.202736,1.099543
0.203487,1.099727
0.204268,1.099868
0.205102,1.099465
0.205932,1.099411
0.206839,1.09905
0.207623,1.099846
0.208387,1.099838
0.20915,1.099882
0.209924,1.099907
0.210785,1.099689
0.211548,1.099735
0.212298,1.099812
0.213416,1.099414
0.214387,1.099623
0.215142,1.099786
0.215892,1.099671
0.216699,1.099804
0.217492,1.099807
0.218245,1.099726
0.219083,1.099748
0.219894,1.099806
0.22066,1.099821
0.22147,1.099808
0.222247,1.099889
0.223088,1.099748
0.223842,1.099898
0.224628,1.099784
0.225379,1.099326
0.226167,1.099847
0.226953,1.099818
0.227788,1.099635
0.228589,1.099827
0.229342,1.099812
0.230114,1.099799
0.231373,1.099568
0.232134,1.099869
0.232926,1.09983
0.233685,1.099925
0.234438,1.099567
0.235227,1.099609
0.236336,1.099055
0.237114,1.099452
0.237865,1.099706
0.238697,1.099426
0.239491,1.099827
0.240273,1.099769
0.241026,1.099823
0.241783,1.099825
0.242599,1.099832
0.243352,1.099797
0.244121,1.099751
0.244878,1.09975
0.245771,1.099416
0.246529,1.099866
0.247422,1.099465
0.248279,1.099758
0.249073,1.099796
0.249833,1.099382
0.250696,1.099725
0.251492,1.099853
0.252252,1.0998
0.25306,1.099754
0.253837,1.099854
0.254734,1.099446
0.255486,1.099661
0.256251,1.099821
0.257014,1.099625
0.257773,1.099816
0.258525,1.099584
0.259541,1.099496
0.260318,1.099818
0.261124,1.099493
0.26207,1.099522
0.262933,1.099787
0.263703,1.099591
0.264479,1.099798
0.265241,1.0998
0.265997,1.099803
0.266865,1.099742
0.26765,1.099787
0.268412,1.099813
0.269179,1.099843
0.269957,1.099666
0.270718,1.099815
0.271475,1.099628
0.272245,1.099524
0.273036,1.099792
0.273907,1.099424
0.274665,1.099533
0.275454,1.099541
0.276228,1.099583
0.277023,1.09958
0.277813,1.099767
0.278631,1.099712
0.27939,1.099587
0.280184,1.099554
0.280963,1.099523
0.28183,1.099727
0.282648,1.099686
0.283469,1.099323
0.284304,1.099227
