frame,value
0,0
0,0
0,0
0,0
0.001048,0
0.001048,0
0.001942,0
0.001942,0
0.002987,0
0.002987,3
0.002987,1
0.003742,1
0.003742,1
0.003742,1
0.004704,1
0.004704,1
0.004704,1
0.00564,2
0.00564,2
0.00564,2
0.00564,2
0.006673,2
0.006673,2
0.006673,2
0.006673,4
0.00754,4
0.00754,4
0.00754,5
0.00754,7
0.00754,6
0.00754,6
0.008421,6
0.008421,6
0.008421,7
0.008421,8
0.008421,8
0.009187,8
0.009187,8
0.009187,10
0.010057,11
0.010057,11
0.010057,9
0.010057,17
0.010913,18
0.010913,19
0.010913,20
0.010913,23
0.011737,22
0.011737,21
0.011737,21
0.011737,26
0.011737,25
0.011737,27
0.012803,27
0.012803,28
0.012803,29
0.012803,29
0.012803,31
0.012803,37
0.013836,36
0.013836,34
0.013836,33
0.013836,37
0.013836,36
0.013836,36
0.014621,41
0.014621,39
0.014621,41
0.014621,42
0.014621,41
0.014621,46
0.015386,51
0.015386,50
0.015386,52
0.015386,58
0.015386,59
0.015386,64
0.015386,64
0.016159,78
0.016159,76
0.016159,87
0.016159,90
0.016159,91
0.016159,92
0.016159,97
0.016942,95
0.016942,95
0.016942,94
0.016942,97
0.016942,100
0.016942,104
0.016942,103
0.016942,102
0.016942,110
0.017809,111
0.017809,112
0.017809,115
0.017809,115
0.017809,115
0.017809,113
0.017809,120
0.017809,118
0.017809,125
0.018871,139
0.018871,134
0.018871,143
0.018871,145
0.018871,143
0.018871,136
0.019631,142
0.019631,140
0.019631,141
0.019631,139
0.019631,148
0.019631,148
0.019631,144
0.020406,147
0.020406,148
0.020406,150
0.020406,159
0.020406,161
0.020406,159
0.021172,160
0.021172,163
0.021172,160
0.021172,166
0.021172,164
0.021172,164
0.021172,169
0.021949,173
0.021949,173
0.021949,179
0.021949,181
0.021949,184
0.021949,184
0.021949,190
0.022836,190
0.022836,196
0.022836,199
0.022836,206
0.022836,213
0.022836,220
0.02359,221
0.02359,229
0.02359,234
0.02359,238
0.02359,243
0.02359,251
0.024354,257
0.024354,259
0.024354,255
0.024354,271
0.024354,265
0.024354,265
0.025173,260
0.025173,266
0.025173,275
0.025173,283
0.025173,285
0.025173,293
0.025988,300
0.025988,312
0.025988,312
0.025988,312
0.025988,314
0.025988,328
0.026817,332
0.026817,326
0.026817,334
0.026817,350
0.026817,351
0.026817,372
0.027716,372
0.027716,387
0.027716,386
0.027716,395
0.027716,398
0.027716,444
0.028539,445
0.028539,454
0.028539,456
0.028539,464
0.028539,469
0.028539,492
0.02933,499
0.02933,506
0.02933,508
0.02933,529
0.02933,530
0.02933,550
0.030203,549
0.030203,556
0.030203,557
0.030203,559
0.030203,558
