frame,value
0,260
0.001048,132
0.001942,132
0.002987,227
0.003742,232
0.004704,224
0.00564,318
0.006673,309
0.00754,487
0.008421,393
0.009187,212
0.010057,296
0.010913,296
0.011737,450
0.012803,486
0.013836,496
0.014621,496
0.015386,570
0.016159,557
0.016942,736
0.017809,711
0.018871,478
0.019631,556
0.020406,466
0.021172,561
0.021949,567
0.022836,472
0.02359,466
0.024354,454
0.025173,455
0.025988,458
0.026817,464
0.027716,482
0.028539,492
0.02933,481
0.030203,645
0.031144,554
0.031937,564
0.032699,662
0.033557,473
0.034335,658
0.035239,662
0.036028,582
0.03678,566
0.037577,665
0.038357,666
0.039118,655
0.03993,730
0.040742,645
0.041577,729
0.042378,659
0.043179,738
0.043944,651
0.044713,733
0.045544,630
0.046392,700
0.047143,703
0.047897,778
0.048719,777
0.049554,697
0.050329,671
0.051192,700
0.051967,793
0.052744,892
0.053564,840
0.054317,662
0.055068,754
0.055853,753
0.056655,839
0.057516,742
0.058271,817
0.059051,883
0.059938,598
0.060762,757
0.061605,753
0.062436,659
0.063193,672
0.063978,598
0.064801,751
0.065631,679
0.066386,991
0.067171,662
0.067954,674
0.068724,667
0.069496,636
0.070361,789
0.071132,695
0.071967,612
0.072853,458
0.073624,806
0.074527,579
0.07529,601
0.076104,369
0.076874,652
0.077651,439
0.078429,575
0.079234,353
0.07999,236
0.081031,1030
0.081786,624
0.082606,756
0.083357,350
0.084276,744
0.085037,804
0.086074,728
0.086943,594
0.087837,660
0.088593,538
0.089345,473
0.090235,787
0.091478,468
0.092316,660
0.093071,225
0.093941,650
0.094721,408
0.095542,460
0.096338,276
0.097171,639
0.097955,342
0.098958,571
0.099721,389
0.100476,439
0.101253,644
0.102139,573
0.102957,587
0.103728,710
0.104672,577
0.105431,639
0.106199,453
0.106984,637
0.107886,515
0.108651,512
0.109409,510
0.110164,515
0.110925,606
0.111844,536
0.112597,702
0.113397,508
0.114193,577
0.114978,664
0.115754,746
0.11651,605
0.117337,652
0.118169,585
0.118998,580
0.119825,570
0.120589,492
0.121347,563
0.122115,678
0.123103,492
0.12398,589
0.124806,543
0.125623,472
0.126548,536
0.127324,537
0.128159,472
0.129027,531
0.129851,470
0.130657,574
0.131415,551
0.132225,532
0.133081,660
0.134106,588
0.134882,599
0.135805,403
0.136632,408
0.137443,459
0.138301,669
0.139088,338
0.139895,477
0.140706,415
0.141459,649
0.142307,614
0.143115,528
0.143939,635
0.14516,704
0.146052,887
0.146805,459
0.147744,563
0.148576,609
0.14935,509
0.150108,654
0.150903,447
0.151787,952
0.152926,978
0.153793,701
0.154556,568
0.15537,791
0.156374,783
0.157129,330
0.157881,923
0.158639,739
0.159444,732
0.160212,550
0.160989,1191
0.161808,875
0.162577,1078
0.163337,508
0.164323,948
0.165106,871
0.165888,685
0.16671,804
0.167604,1314
0.168396,993
0.169185,877
0.170048,990
0.170799,978
0.171549,1134
0.172332,1205
0.173125,1008
0.173959,993
0.17496,962
0.175718,640
0.176484,750
0.177495,1377
0.178249,1018
0.179017,1138
0.179802,928
0.180579,1968
0.181336,1640
0.182092,922
0.182934,1103
0.183729,1536
0.184698,809
0.185482,837
0.186239,1251
0.186997,1378
0.187765,1146
0.188535,1483
0.189286,1124
0.190044,1438
0.190874,1359
0.191624,1341
0.192418,1076
0.193171,1447
0.194093,1248
0.19485,1251
0.195611,1688
0.1964,910
0.197152,1160
0.197909,1432
0.198666,1234
0.199417,1639
0.20032,1635
0.201074,1179
0.201825,1652
0.202736,1566
0.203487,1486
0.204268,1581
0.205102,1258
0.205932,1386
0.206839,1246
0.207623,1006
0.208387,1870
0.20915,1479
0.209924,1328
0.210785,1881
0.211548,1802
0.212298,1263
0.213416,966
0.214387,1321
