frame,value
0,0.3495941
0.001049,0.2978647
0.001942,0.3479156
0.002986,0.3834897
0.004137,0.2894392
0.005005,0.2863351
0.005864,0.3360709
0.006872,0.3259029
0.00785,0.2696016
0.008659,0.2740238
0.009481,0.2909658
0.010354,0.2797284
0.011193,0.2746642
0.012017,0.2701825
0.012827,0.2721171
0.013644,0.2502942
0.014395,0.2737774
0.015216,0.306682
0.016136,0.2605719
0.016918,0.2639885
0.01771,0.2510499
0.018463,0.2652429
0.019259,0.2629229
0.020047,0.2825368
0.020895,0.2781614
0.021729,0.2598942
0.022509,0.3137573
0.02345,0.2724127
0.024268,0.2670127
0.025069,0.2728757
0.025887,0.2534828
0.026648,0.2949898
0.027533,0.2922258
0.028409,0.2643556
0.029202,0.2712056
0.030016,0.2586022
0.030792,0.292094
0.031668,0.2509543
0.032421,0.2501321
0.033171,0.2882486
0.034036,0.2537525
0.034797,0.312119
0.035734,0.2960772
0.036622,0.2660416
0.03742,0.2880268
0.038284,0.2952307
0.03917,0.3092858
0.040098,0.278193
0.040932,0.2534937
0.041693,0.2517971
0.042448,0.2839185
0.0433,0.2700216
0.04411,0.2670733
0.044911,0.2717248
0.045726,0.2594394
0.046505,0.2812547
0.047348,0.2656889
0.048146,0.2652679
0.048941,0.2917905
0.049817,0.2660372
0.050615,0.253561
0.051375,0.2825156
0.052223,0.2919517
0.053099,0.2519251
0.053855,0.3003023
0.054756,0.2585887
0.055531,0.2751498
0.056357,0.2578729
0.05713,0.2560612
0.057899,0.2787532
0.058735,0.253222
0.059495,0.2572455
0.060266,0.2990963
0.061164,0.2539855
0.061925,0.2513387
0.06268,0.2757159
0.063507,0.2688513
0.064313,0.2841599
0.065166,0.2753941
0.065992,0.2529916
0.066751,0.2593284
0.067529,0.3124063
0.068466,0.2720808
0.069282,0.2756375
0.070109,0.2546102
0.070873,0.2506752
0.071625,0.2632156
0.072415,0.254047
0.073177,0.2565406
0.073946,0.2508839
0.074699,0.2511728
0.075453,0.2539614
0.076215,0.2938786
0.077096,0.3121838
0.078033,0.2527995
0.078791,0.2520391
0.079547,0.2662674
0.080346,0.2514447
0.0811,0.2530354
0.081859,0.2738598
0.082681,0.2602531
0.083462,0.2552876
0.084228,0.3535963
0.085288,0.314971
0.086233,0.3731368
0.087353,0.2522044
0.088109,0.2929568
0.088988,0.2518231
0.089744,0.2579019
0.090517,0.2697182
0.091327,0.2588665
0.092103,0.2565044
0.092873,0.2548029
0.093637,0.3071047
0.094558,0.3242861
0.095531,0.3028193
0.09644,0.2910299
0.097313,0.256834
0.098083,0.2695742
0.098892,0.2667075
0.099692,0.2505209
0.100444,0.260712
0.101226,0.2616316
0.102011,0.2994689
0.102909,0.2994919
0.103808,0.317785
