frame,value
0,0.3495918
0.001049,0.2970981
0.00194,0.3470588
0.002981,0.3860723
0.004139,0.2854223
0.004996,0.2812019
0.005839,0.3075471
0.006762,0.3111531
0.007695,0.2738476
0.008517,0.2665075
0.009317,0.3382768
0.010331,0.2752051
0.011157,0.282459
0.012004,0.3569161
0.013075,0.3053963
0.013991,0.2512029
0.014745,0.2851461
0.0156,0.2624094
0.016388,0.2503702
0.017139,0.2988433
0.018035,0.2686709
0.018841,0.2607589
0.019623,0.3324698
0.020621,0.253711
0.021382,0.2515098
0.022137,0.2897658
0.023006,0.2556825
0.023773,0.2760434
0.024601,0.2584757
0.025376,0.2772834
0.026208,0.2906247
0.02708,0.2611116
0.027864,0.2669998
0.028665,0.2500548
0.029415,0.2552001
0.03018,0.3170056
0.031131,0.2524401
0.031889,0.3141103
0.032831,0.3068412
0.033751,0.2540577
0.034514,0.2669173
0.035314,0.276074
0.036143,0.3283295
0.037128,0.2543446
0.037891,0.2512789
0.038644,0.2820837
0.039491,0.2587796
0.040267,0.2780073
0.041101,0.2881667
0.041966,0.2554892
0.042732,0.2642725
0.043525,0.2679231
0.044329,0.2646744
0.045123,0.2683362
0.045928,0.2726518
0.046746,0.2846916
0.0476,0.2604659
0.048381,0.2914755
0.049256,0.2600323
0.050036,0.2549218
0.0508,0.2703035
0.051611,0.2684117
0.052417,0.2555511
0.053183,0.2526191
0.053941,0.2534806
0.054701,0.2741282
0.055524,0.2642198
0.056317,0.2538383
0.057078,0.252544
0.057836,0.2577898
0.058609,0.2678061
0.059412,0.2537788
0.060174,0.2769909
0.061005,0.2567445
0.061775,0.2751173
0.0626,0.2547488
0.063365,0.2764854
0.064194,0.2752002
0.06502,0.2743245
0.065843,0.2742694
0.066665,0.2741747
0.067488,0.2873397
0.06835,0.2581968
0.069125,0.269536
0.069933,0.2575528
0.070706,0.2541942
0.071468,0.2601326
0.072249,0.2540178
0.073011,0.2698179
0.07382,0.2908832
0.074693,0.2594679
0.075471,0.2537689
0.076233,0.2855401
0.077089,0.2953408
0.077975,0.3131225
0.078915,0.3076194
0.079838,0.2632103
0.080627,0.2616138
0.081412,0.2742899
0.082235,0.2549009
0.083,0.2522345
0.083756,0.4005002
0.084958,0.2666857
0.085758,0.3094973
0.086686,0.2598373
0.087466,0.306404
0.088385,0.252403
0.089142,0.2589201
0.089919,0.340926
0.090942,0.2762673
0.091771,0.2522193
0.092527,0.2554113
0.093294,0.3690838
0.094401,0.2579397
0.095175,0.2861852
0.096033,0.3127837
0.096971,0.3142778
0.097914,0.2501455
0.098665,0.2569472
0.099436,0.2570388
0.100207,0.3158501
0.101154,0.2845205
0.102008,0.3653507
0.103104,0.2510061
0.103857,0.2584477
0.104632,0.2620169
0.105418,0.2547735
0.106183,0.25418
0.106945,0.2575581
0.107718,0.3137825
0.108659,0.2685419
0.109465,0.2531747
0.110224,0.291433
0.111099,0.2586902
0.111875,0.2501354
0.112625,0.2680219
0.113429,0.2597636
0.114208,0.2620958
0.114995,0.2708072
0.115807,0.2541854
0.11657,0.2594596
0.117348,0.2632923
0.118138,0.2880624
0.119002,0.2576405
0.119775,0.2677936
0.120578,0.2736005
0.121399,0.2809865
0.122242,0.3087261
0.123168,0.3050976
0.124084,0.2652009
0.124879,0.3004005
0.125781,0.2677702
0.126584,0.3068013
0.127504,0.2727363
0.128322,0.2808869
0.129165,0.287043
0.130026,0.2783852
0.130861,0.2801034
0.131702,0.3689353
0.132808,0.2656001
0.133605,0.2858187
0.134463,0.251381
0.135217,0.2587115
0.135993,0.2700317
0.136803,0.2587901
0.137579,0.2857195
0.138437,0.266927
0.139237,0.3622379
0.140324,0.266288
0.141123,0.277209
0.141955,0.2546134
0.142718,0.2711781
0.143532,0.272135
0.144348,0.3434107
0.145379,0.2780412
0.146213,0.2955381
0.147099,0.2691268
0.147907,0.3284988
0.148892,0.2581913
0.149667,0.2501213
0.150417,0.2514811
0.151172,0.2664414
0.151971,0.2877861
0.152834,0.2728353
0.153653,0.2866888
0.154513,0.2518222
0.155268,0.2569428
0.156039,0.2887757
0.156906,0.2787272
0.157742,0.2604181
0.158523,0.2703115
0.159334,0.3226522
0.160302,0.2670703
0.161103,0.2806544
0.161945,0.3156413
0.162892,0.2925399
0.16377,0.3025808
0.164677,0.327806
0.165661,0.2529115
0.166419,0.2569382
0.16719,0.276514
0.16802,0.3154659
0.168966,0.2677145
0.169769,0.2652477
0.170565,0.2599991
0.171345,0.259537
0.172124,0.2519907
0.17288,0.2510462
0.173633,0.3293871
0.174621,0.2611561
0.175404,0.2768816
0.176235,0.2986479
0.177131,0.3441229
0.178163,0.2640319
0.178955,0.2771633
0.179787,0.2563182
0.180556,0.258297
0.181331,0.2609552
0.182114,0.2538922
0.182875,0.252587
0.183633,0.2532232
0.184393,0.2532498
0.185153,0.250835
0.185905,0.2519575
0.186661,0.2603003
0.187442,0.2825724
0.18829,0.2710067
0.189103,0.2623092
0.18989,0.2622494
0.190676,0.26553
0.191473,0.250076
0.192223,0.2545668
0.192987,0.2686244
0.193793,0.2852976
0.194649,0.255402
0.195415,0.2771931
0.196246,0.2548341
0.197011,0.261274
0.197795,0.2530381
0.198554,0.2621493
0.19934,0.2532722
0.2001,0.2538195
0.200861,0.2633725
0.201652,0.2850003
0.202507,0.2518696
0.203262,0.2548064
0.204027,0.2674374
0.204829,0.2572368
0.205601,0.2585339
0.206376,0.2513842
0.20713,0.2629677
0.207919,0.2696153
0.208728,0.284929
0.209583,0.2534785
0.210343,0.2500326
0.211093,0.2636967
0.211885,0.2525249
0.212642,0.2588041
0.213419,0.2628796
0.214207,0.2539202
0.214969,0.2637832
0.21576,0.27512
0.216586,0.2563553
0.217355,0.302334
0.218262,0.259857
0.219041,0.2565582
0.219811,0.2785842
0.220647,0.2933064
0.221527,0.2829227
0.222375,0.3242243
0.223348,0.253746
0.224109,0.2514323
0.224864,0.2649324
0.225658,0.2923301
0.226535,0.2530075
0.227294,0.2563848
0.228064,0.2540497
0.228826,0.2544235
0.229589,0.2579377
0.230363,0.2551502
0.231128,0.2538083
0.23189,0.2761575
0.232718,0.2512748
0.233472,0.258172
0.234247,0.2502551
0.234997,0.2561383
0.235766,0.250595
0.236517,0.2504553
0.237269,0.2510335
0.238022,0.2609091
0.238805,0.3406696
0.239827,0.2924294
0.240704,0.2614901
0.241488,0.2789773
0.242325,0.2627982
0.243114,0.2587939
0.24389,0.2520176
0.244646,0.3050667
0.245561,0.363931
0.246653,0.2508794
0.247406,0.3438561
0.248437,0.3336016
0.249438,0.2510012
0.250191,0.2568573
0.250962,0.2520788
0.251718,0.2653336
0.252514,0.2852902
0.25337,0.3045241
0.254283,0.2736224
0.255104,0.2910143
0.255977,0.2754734
0.256804,0.2588626
0.25758,0.3479099
0.258624,0.255517
0.259391,0.265728
0.260188,0.2707184
0.261,0.2561036
0.261768,0.3261831
0.262747,0.2991097
0.263644,0.2809245
0.264487,0.2914529
0.265361,0.2642974
0.266154,0.2557393
0.266921,0.2591227
0.267699,0.2517832
0.268454,0.2604874
0.269236,0.2686981
0.270042,0.3424843
0.271069,0.253328
0.271829,0.2556966
0.272596,0.2624913
0.273384,0.2729981
0.274203,0.2654057
0.274999,0.2562661
0.275768,0.2686758
0.276574,0.3231379
0.277543,0.3094342
0.278471,0.2572889
0.279243,0.2666516
0.280043,0.2542761
0.280806,0.2544066
0.281569,0.2589546
0.282346,0.2507424
0.283098,0.2509667
0.283851,0.2731302
0.284671,0.2741143
0.285493,0.2540616
0.286255,0.2518061
0.287011,0.2520096
0.287767,0.2544812
0.28853,0.2558737
0.289298,0.279963
0.290138,0.3028145
0.291046,0.3318761
0.292042,0.2558149
0.292809,0.2550917
0.293574,0.2783711
0.29441,0.3998846
0.295609,0.2740271
0.296431,0.2865888
0.297291,0.316352
0.29824,0.2588499
0.299017,0.277961
0.299851,0.3053582
0.300767,0.2636085
0.301557,0.2744084
0.302381,0.2599439
0.30316,0.2605192
0.303942,0.2531946
0.304702,0.2634876
0.305492,0.2535341
0.306253,0.2885611
0.307118,0.2587134
0.307895,0.2863898
0.308754,0.2501952
0.309504,0.2568532
0.310275,0.2537626
0.311036,0.259074
0.311813,0.2522979
0.31257,0.252254
0.313327,0.250723
0.314079,0.2721915
0.314896,0.2635134
0.315686,0.2606719
0.316468,0.2553998
0.317234,0.2679355
0.318038,0.2553148
0.318804,0.2538973
0.319566,0.2616319
0.320351,0.2565574
0.321121,0.25309
0.32188,0.2519291
0.322636,0.2639528
0.323427,0.2505987
0.324179,0.2724518
0.324997,0.2532462
0.325756,0.2668794
0.326557,0.2797653
0.327396,0.2772999
0.328228,0.2690723
0.329035,0.2707906
0.329848,0.2610123
0.330631,0.2520655
0.331387,0.2507723
0.332139,0.2577789
0.332913,0.258063
0.333687,0.2509345
0.33444,0.2585334
0.335215,0.2543967
0.335978,0.2641496
0.336771,0.2834411
0.337621,0.2595791
0.3384,0.2944909
0.339283,0.2546423
0.340047,0.281262
0.340891,0.2547546
0.341655,0.2860841
0.342514,0.3211729
0.343477,0.3748101
0.344602,0.4656354
0.345998,0.31913
0.346956,0.3454077
0.347992,0.4317476
0.349287,0.3271934
0.350269,0.2743582
0.362615,0.3431245
0.378056,0.283322
0.390805,0.3317264
0.405733,0.3391061
0.420993,0.2515124
0.432311,0.2987026
0.445752,0.3179799
0.460061,0.2725955
0.472328,0.3064922
0.48612,0.3086499
0.50001,0.2631184
0.51185,0.2892076
0.524864,0.2532437
0.53626,0.2764842
0.548702,0.30035
0.562218,0.284786
0.575033,0.3039002
0.588709,0.2704326
0.600878,0.3698313
0.61752,0.2884681
0.630502,0.3458121
0.646063,0.3208269
0.6605,0.3245246
0.675104,0.2574147
0.686688,0.4142045
0.705327,0.3063747
0.719114,0.2632865
0.730962,0.3625496
