frame,value
0,0.001048698
0.001049,0.0008927113
0.001941,0.001040582
0.002982,0.001157955
0.00414,0.0008564419
0.004996,0.0008477272
0.005844,0.0009207203
0.006765,0.0009326895
0.007698,0.0007838681
0.008481,0.001034368
0.009516,0.000922519
0.010438,0.000753741
0.011192,0.0008138139
0.012006,0.0007508098
0.012757,0.0008301681
0.013587,0.0008888561
0.014476,0.0009021662
0.015378,0.0007965934
0.016174,0.0009472916
0.017122,0.0007723047
0.017894,0.0008871125
0.018781,0.0009261002
0.019707,0.0009008236
0.020608,0.0007644958
0.021373,0.0007666366
0.022139,0.001028144
0.023167,0.0007854059
0.023953,0.0007510097
0.024704,0.0007919641
0.025496,0.0008793862
0.026375,0.0008741873
0.027249,0.0008085715
0.028058,0.0008109456
0.028869,0.0007816757
0.02965,0.0008281926
0.030479,0.0008921334
0.031371,0.0007520497
0.032123,0.0007511519
0.032874,0.0008666084
0.033741,0.0008835687
0.034624,0.0008549938
0.035479,0.0008311405
0.03631,0.0009807212
0.037291,0.000839028
0.03813,0.0007733093
0.038903,0.0008018194
0.039705,0.0008066274
0.040512,0.0009150399
0.041427,0.000776389
0.042203,0.0009619464
0.043165,0.0007617272
0.043927,0.0008077146
0.044735,0.0007946249
0.045529,0.0008066017
0.046336,0.0008241922
0.04716,0.0008159549
0.047976,0.0007709723
0.048747,0.0008305227
0.049578,0.00075713
0.050335,0.0007768663
0.051112,0.0008316077
0.051943,0.0007784349
0.052722,0.0007743954
0.053496,0.0008512551
0.054347,0.0007688174
0.055116,0.0007733971
0.055889,0.0008533758
0.056743,0.0007520068
0.057495,0.0007640123
0.058259,0.0008557435
0.059115,0.0007569067
0.059871,0.0007541396
0.060626,0.0007690361
0.061395,0.0007944407
0.062189,0.0008266472
0.063016,0.0008399361
0.063856,0.0007952105
0.064651,0.0008700895
0.065521,0.0007686531
0.06629,0.0007795401
0.067069,0.0008238208
0.067893,0.0007656909
0.068659,0.0008263325
0.069485,0.0008349707
0.07032,0.0007724258
0.071092,0.0008224553
0.071915,0.0008014487
0.072716,0.000872388
0.073589,0.0007880428
0.074377,0.0009452507
0.075322,0.0008317666
0.076154,0.0007565512
0.07691,0.0009250054
0.077835,0.0008724798
0.078708,0.0008128661
0.079521,0.0008549582
0.080376,0.0007518855
0.081127,0.0007584025
0.081886,0.0007851423
0.082671,0.00125443
0.083925,0.0007699457
0.084695,0.0007938366
0.085489,0.0009284454
0.086418,0.001009955
0.087428,0.0008597805
0.088287,0.0008054602
0.089093,0.00101961
0.090113,0.0008217758
0.090934,0.0007740121
0.091708,0.0007685035
0.092477,0.0009072379
0.093384,0.0007677539
0.094152,0.0009847173
0.095137,0.0007683279
0.095905,0.0008025117
0.096707,0.0007969328
0.097504,0.0009060949
0.09841,0.0007571226
0.099167,0.0007527688
0.09992,0.0009427151
0.100863,0.001044636
0.101908,0.00085365
0.102761,0.0009531524
0.103714,0.0007621238
0.104477,0.0007750456
0.105252,0.0007812418
0.106033,0.0009119916
0.106945,0.0009211261
0.107866,0.0007579752
0.108624,0.0007524325
0.109376,0.0007959309
0.110172,0.0009584985
0.111131,0.0007523232
0.111883,0.000817843
0.112701,0.0007587671
0.11346,0.0007838905
0.114244,0.0008441654
0.115088,0.0008714632
0.115959,0.0008635666
0.116823,0.0007616832
0.117584,0.0007507894
0.118335,0.0007752676
0.119111,0.0008617944
0.119972,0.0007667689
0.120739,0.0008309098
0.12157,0.0007865759
0.122357,0.0008472451
0.123204,0.0007836606
0.123987,0.0007621272
0.12475,0.0007893877
0.125539,0.001052545
0.126592,0.0008822715
0.127474,0.001155884
0.12863,0.0007732786
0.129403,0.0007596936
0.130163,0.0007697117
0.130932,0.0009334816
0.131866,0.0007723012
0.132638,0.0007733242
0.133412,0.0007653154
0.134177,0.0007835489
0.13496,0.0007599202
0.13572,0.0007713704
0.136492,0.0008982513
0.13739,0.0007567449
0.138147,0.0007826651
0.138929,0.00083736
0.139767,0.0007750419
0.140542,0.0009524915
0.141494,0.0007682278
0.142262,0.0007848702
0.143047,0.0007870544
0.143834,0.000769015
0.144603,0.0007540623
0.145357,0.0007569695
0.146114,0.0007525532
0.146867,0.0008582211
0.147725,0.001004566
0.14873,0.0007778101
0.149508,0.001020138
0.150528,0.0008435895
0.151371,0.00108274
0.152454,0.0007852024
0.153239,0.0008965054
0.154136,0.0008088925
0.154945,0.0007771106
0.155722,0.0007589809
0.156481,0.001010232
0.157491,0.0009399098
0.158431,0.0007580045
0.159189,0.0007612768
0.15995,0.0007812966
0.160731,0.001087513
0.161819,0.0007549611
0.162574,0.0007644363
0.163338,0.0007690262
0.164107,0.0009209824
0.165028,0.0008010719
0.165829,0.0007830245
0.166612,0.000763014
0.167375,0.0008111644
0.168187,0.0008434503
0.16903,0.00084305
0.169873,0.0007505107
0.170624,0.0007533683
0.171377,0.0009501055
0.172327,0.0008682819
0.173195,0.0007615626
0.173957,0.0007713814
0.174728,0.0007543438
0.175483,0.0008809611
0.176364,0.001125829
0.177489,0.000844951
0.178334,0.0008154018
0.17915,0.0008051897
0.179955,0.0008808614
0.180836,0.001090251
0.181926,0.0007638186
0.18269,0.0008854122
0.183575,0.000811538
0.184387,0.0008159388
0.185203,0.0008629821
0.186066,0.0007502386
0.186816,0.0007931558
0.187609,0.0007619286
0.188371,0.0007629397
0.189134,0.0009423945
0.190076,0.000754221
0.190831,0.0007587969
0.191589,0.0007516971
0.192341,0.0007829267
0.193124,0.0007645197
0.193889,0.0007801422
0.194669,0.0008921047
0.195561,0.0008070191
0.196368,0.0007574129
0.197125,0.000764297
