frame,value
0,0
0.00094,9.454611
0.002047,9.622318
0.003078,8.121142
0.004002,8.538566
0.004874,8.202165
0.005858,8.279757
0.006912,7.727721
0.007903,7.850581
0.008842,7.67415
0.009746,7.492269
0.010921,7.511612
0.011714,7.346914
0.013048,7.338576
0.013821,7.258847
0.014573,7.107905
0.015399,7.288665
0.016198,7.109935
0.017155,7.045628
0.017978,6.829637
0.018858,6.803597
0.019618,7.027717
0.020606,6.999712
0.021413,7.343888
0.022319,7.604651
0.023364,7.373911
0.024165,7.322442
0.024933,7.762125
0.025738,7.532939
0.026534,7.430219
0.027375,8.050238
0.02821,7.71041
0.028992,8.187636
0.029867,8.0255
0.030864,7.743862
0.031748,9.776784
0.032726,9.30609
0.033515,9.086262
0.034286,7.761556
0.035057,8.108987
0.035878,9.049353
0.036649,8.195866
0.037489,8.123939
0.038296,7.724366
0.039061,7.794405
0.039856,8.077861
0.040654,8.158893
0.041533,8.517705
0.042319,8.517237
0.043107,8.499955
0.043977,7.789509
0.04489,7.442159
0.045719,6.788349
0.04666,6.182965
0.047616,5.346716
0.048531,4.668021
0.049518,4.422863
0.050306,4.077867
0.051082,3.969404
0.051955,3.725004
0.052806,3.64144
0.053826,3.495057
0.054589,3.297921
0.055361,3.206336
0.056296,3.258055
0.057055,4.275654
0.057806,4.816931
0.058654,3.516027
0.059429,3.351481
0.060407,3.317044
0.06141,3.37003
0.062456,3.259454
0.063271,3.367166
0.064214,3.295825
0.064988,3.540659
0.065759,4.977167
0.066809,3.648388
0.067792,3.909479
0.068722,3.884225
0.069822,4.116314
0.070691,4.463168
0.071551,4.199203
0.072327,5.395911
0.073095,4.844123
0.07385,5.866831
0.074614,5.355317
0.075371,5.063061
0.076205,5.461442
0.076992,5.864071
0.07776,5.739245
0.078567,5.730201
0.079383,6.082609
0.080222,6.541094
0.081008,6.73452
0.081785,6.481611
0.082547,6.912719
0.083344,7.415251
0.084191,7.885844
0.085015,7.28724
0.085857,7.607368
0.086659,6.153817
0.087493,5.504396
0.088373,5.648188
0.08913,5.594048
0.089894,4.033992
0.091053,3.807644
0.092104,2.862921
0.092993,3.598155
0.093775,3.6183
0.094843,2.760472
0.095942,2.671724
0.096796,2.805234
0.097906,2.737231
0.099117,2.737761
0.100045,2.835873
0.101199,2.835725
0.102134,2.953112
0.102913,4.436631
0.103717,4.597716
0.104521,3.917999
0.105329,3.250842
0.106924,3.21343
0.107705,5.457999
0.108804,3.465557
0.10981,3.25961
0.110569,3.687299
0.111558,3.579406
0.112505,3.646403
0.113341,3.688476
0.114328,4.165039
0.115219,4.213564
0.116401,4.57363
0.117197,4.499919
0.117973,4.523661
0.1194,4.406339
0.120332,4.227007
0.121376,4.766347
0.122429,4.478859
0.12339,5.455616
0.12425,6.572649
0.125074,7.102231
0.125882,6.692389
0.126757,5.223473
0.127993,5.062263
0.128926,5.861722
0.129963,5.925948
0.13108,5.719016
0.132371,6.703142
0.133424,7.314046
0.134186,7.541977
0.134969,7.957979
0.135832,7.76654
0.13668,8.316631
0.137538,7.937725
0.138383,7.066339
0.139148,6.547125
0.139912,5.705604
0.140761,5.332525
0.141594,4.795018
0.142361,4.181053
0.14323,4.334471
0.144091,3.885415
0.145021,3.4714
0.145882,3.406623
0.146887,3.831691
0.147656,3.036663
0.148548,3.16257
0.149316,5.81028
0.15023,4.069358
0.151238,3.291807
0.152358,3.171674
0.153694,3.237089
0.154921,3.292571
0.155689,5.023168
0.156538,4.542094
0.157358,3.886086
0.158719,3.334915
0.160002,3.458367
0.16096,3.638826
0.161869,4.145801
0.163086,3.966096
