frame,value
0,2
0.00094,2
0.002047,1
0.003078,2
0.004002,2
0.004874,2
0.005858,2
0.006912,3
0.007903,3
0.008842,3
0.009746,3
0.010921,3
0.011714,3
0.013048,3
0.013821,3
0.014573,4
0.015399,4
0.016198,4
0.017155,5
0.017978,5
0.018858,4
0.019618,4
0.020606,4
0.021413,5
0.022319,4
0.023364,3
0.024165,4
0.024933,4
0.025738,2
0.026534,5
0.027375,4
0.02821,5
0.028992,5
0.029867,5
0.030864,5
0.031748,5
0.032726,5
0.033515,7
0.034286,6
0.035057,6
0.035878,6
0.036649,5
0.037489,5
0.038296,4
0.039061,5
0.039856,6
0.040654,5
0.041533,5
0.042319,4
0.043107,5
0.043977,5
0.04489,5
0.045719,5
0.04666,5
0.047616,5
0.048531,6
0.049518,5
0.050306,5
0.051082,4
0.051955,5
0.052806,3
0.053826,6
0.054589,8
0.055361,8
0.056296,5
0.057055,8
0.057806,8
0.058654,8
0.059429,6
0.060407,8
0.06141,3
0.062456,6
0.063271,3
0.064214,6
0.064988,9
0.065759,6
0.066809,4
0.067792,5
0.068722,5
0.069822,6
0.070691,6
0.071551,9
0.072327,6
0.073095,9
0.07385,8
0.074614,7
0.075371,9
0.076205,11
0.076992,6
0.07776,6
0.078567,6
0.079383,5
0.080222,6
0.081008,6
0.081785,5
0.082547,5
0.083344,6
0.084191,5
0.085015,4
0.085857,5
0.086659,5
0.087493,5
0.088373,4
0.08913,4
0.089894,4
0.091053,5
0.092104,5
0.092993,4
0.093775,4
0.094843,3
0.095942,3
0.096796,3
0.097906,3
0.099117,3
0.100045,3
0.101199,3
0.102134,2
0.102913,3
0.103717,3
0.104521,2
0.105329,3
0.106924,3
0.107705,4
0.108804,1
0.10981,2
0.110569,1
0.111558,3
0.112505,1
0.113341,3
0.114328,1
0.115219,3
0.116401,1
0.117197,1
0.117973,3
0.1194,3
0.120332,2
0.121376,3
0.122429,3
0.12339,3
0.12425,3
0.125074,3
0.125882,2
0.126757,3
0.127993,3
0.128926,3
0.129963,3
0.13108,3
0.132371,3
0.133424,2
0.134186,3
0.134969,3
0.135832,4
0.13668,4
0.137538,4
0.138383,5
0.139148,4
0.139912,5
0.140761,5
0.141594,5
0.142361,4
0.14323,4
0.144091,4
0.145021,3
0.145882,3
0.146887,2
0.147656,3
0.148548,3
0.149316,4
0.15023,4
0.151238,3
0.152358,3
0.153694,3
0.154921,2
0.155689,3
0.156538,2
0.157358,3
0.158719,3
0.160002,3
0.16096,3
0.161869,3
0.163086,3
0.164123,3
0.165264,3
0.166422,3
0.16744,3
0.168559,2
0.169335,2
0.170235,2
0.171134,2
0.172018,2
0.172789,2
0.173668,2
0.174634,2
0.175785,2
0.176879,2
0.17784,2
0.179063,2
0.17994,1
0.18082,3
0.181759,2
0.182614,2
0.183592,2
0.184424,2
0.185231,4
0.186231,3
0.187009,4
0.187913,3
0.188706,4
0.189518,4
0.19031,4
0.19116,4
0.192011,3
0.193052,3
0.19408,2
0.195079,2
0.196042,2
0.197144,1
0.198185,2
0.199511,2
0.200884,1
0.201985,1
0.202994,1
0.203858,2
0.206095,1
0.206971,2
0.208658,1
0.210035,1
0.211569,1
0.212876,1
0.213819,1
0.214898,1
0.215676,2
0.217716,1
0.219606,1
0.221647,1
0.223137,1
0.22548,1
0.227441,1
0.229148,1
0.23115,1
0.233466,1
0.236466,1
0.239466,1
0.240917,1
0.242386,1
0.243422,1
0.245529,1
0.247815,1
0.249259,1
0.251264,1
0.253456,1
0.256456,1
0.259456,1
0.262116,1
0.264797,1
0.267719,1
0.270719,1
0.272709,1
0.275709,1
0.277493,1
0.28034,1
0.28334,1
0.28634,1
0.288754,1
0.291154,1
0.293827,1
0.296827,1
0.298485,1
0.301485,1
0.30373,1
0.30673,1
0.308111,1
0.309379,1
0.311922,1
0.314922,1
0.31724,1
0.32024,1
0.322154,1
0.325154,1
0.328154,1
0.331154,1
0.334154,1
0.336504,1
0.339244,1
0.342244,1
0.345244,1
0.348244,1
0.351244,2
0.366756,2
0.382382,3
0.394506,3
0.407041,3
0.419376,4
0.433193,2
0.445213,2
0.459474,2
0.475248,3
0.488676,2
0.504501,4
0.517156,4
0.529041,4
0.541849,3
0.555662,3
0.570805,3
0.590192,4
0.606164,3
0.623352,2
0.635421,2
0.650542,3
0.664929,2
0.679891,2
0.698017,2
0.713997,2
0.732659,4
0.752641,2
0.771861,2
0.792575,1
0.804634,2
0.830152,1
0.847651,1
0.86378,1
0.876755,1
0.892395,2
0.919326,1
0.948634,1
0.97291,1
0.996818,1
1.009607,1
1.030553,1
1.046851,1
1.07102,1
1.084576,1
1.10485,1
1.123564,1
1.14013,1
1.15568,1
1.171369,1
1.200987,2
1.227793,2
1.253631,1
1.268098,1
1.287041,1
1.305206,1
1.324721,2
1.349044,1
1.373874,1
1.386676,2
1.402004,5
1.416229,5
1.428277,6
1.440247,5
1.452216,7
1.467119,4
1.480643,8
1.493518,12
1.505913,10
1.517974,6
1.532222,5
1.545731,6
1.558618,5
1.571289,5
1.5841,7
1.598684,4
1.61201,5
1.624567,6
1.636623,6
1.64995,5
1.662194,3
1.674574,3
1.686822,3
1.702274,2
1.715369,3
1.73176,3
1.746691,3
1.758564,3
1.771793,2
1.784268,2
1.796271,2
1.809178,3
1.821786,4
1.83642,2
1.848531,3
1.864432,3
1.876616,3
1.890962,4
1.907242,3
1.919033,3
1.931906,3
1.943697,2
1.955685,3
1.968606,3
1.982118,4
1.996656,4
2.010117,3
2.02252,3
2.036585,3
2.049902,3
2.062023,4
2.077054,6
2.08965,5
2.103317,7
2.117451,19
2.129209,39
2.141068,34
2.152927,45
2.164815,34
2.176636,33
2.188966,17
2.202215,8
2.214909,6
2.228704,7
2.242923,6
2.255588,7
2.268418,7
2.282264,5
2.294291,6
2.307583,5
2.320289,4
2.334522,4
2.346652,7
2.359398,8
2.372379,8
2.385576,6
2.397645,6
2.412929,5
2.426597,5
2.438636,6
2.451509,5
2.464682,5
2.47771,5
2.490746,5
2.502754,5
2.516831,4
2.529175,4
2.541217,4
2.55564,5
2.567567,3
2.581404,3
2.596719,3
2.609054,3
2.623885,2
2.638881,3
2.653642,3
2.66689,2
2.680817,4
2.693404,5
2.707137,7
2.72002,18
2.731825,21
2.744162,21
2.756061,10
2.768002,7
2.780347,5
2.794269,3
2.807313,4
2.824655,4
2.842141,3
2.855515,3
2.867738,3
2.880843,4
2.896649,3
2.909325,4
2.921207,5
2.93437,3
2.946811,5
2.960928,4
2.976321,3
2.98809,3
3.001417,4
3.014626,4
3.029753,5
3.041682,3
3.054655,4
3.068124,5
3.080665,5
3.094111,8
3.106423,8
3.118262,8
3.130374,7
3.144258,6
3.15795,4
3.17235,3
3.186705,3
3.199379,2
3.213547,2
3.235316,1
3.248085,1
3.266349,2
3.28717,1
3.301265,1
3.319035,2
3.347601,1
3.366079,1
3.382009,2
3.4058,1
3.435551,2
3.469405,1
3.48309,1
3.502178,2
3.532524,1
3.549132,1
3.568608,1
3.596764,1
3.617729,1
3.65313,1
3.692554,1
3.73393,1
3.78093,1
3.80551,1
3.838798,2
3.879047,1
3.904129,2
3.924091,1
3.942139,1
3.968354,1
