frame,value
0,0
0,0
0,0
0.001086,0
0.001086,0
0.00214,0
0.00214,0
0.00348,0
0.00348,0
0.004704,0
0.004704,0
0.004704,0
0.005798,0
0.005798,0
0.005798,0
0.007126,0
0.007126,0
0.007126,0
0.00799,0
0.00799,0
0.00799,0
0.009009,0
0.009009,0
0.009009,0
0.009826,0
0.009826,0
0.009826,0
0.010803,2e-07
0.010803,4e-07
0.010803,7e-07
0.011633,1e-06
0.011633,1e-06
0.011633,1.6e-06
0.012411,1.4e-06
0.012411,1.4e-06
0.012411,1.4e-06
0.013241,1.4e-06
0.013241,1.4e-06
0.013241,1.3e-06
0.014033,1.6e-06
0.014033,1.4e-06
0.014033,1.8e-06
0.014806,1.8e-06
0.014806,3e-06
0.014806,2.6e-06
0.014806,4e-06
0.015826,3.3e-06
0.015826,3.2e-06
0.015826,3.1e-06
0.016595,3.3e-06
0.016595,3.2e-06
0.016595,3.2e-06
0.016595,3.4e-06
0.017485,3.3e-06
0.017485,3.5e-06
0.017485,4.2e-06
0.017485,3.9e-06
0.018268,4.1e-06
0.018268,4.2e-06
0.018268,4.8e-06
0.018268,4.3e-06
0.019118,4.8e-06
0.019118,4.6e-06
0.019118,4.7e-06
0.020258,4.3e-06
0.020258,5.7e-06
0.020258,5.6e-06
0.021014,6.1e-06
0.021014,6.4e-06
0.021014,6.9e-06
0.021014,7.1e-06
0.021949,6.8e-06
0.021949,7.7e-06
0.022841,7.8e-06
0.022841,1.03e-05
0.022841,1.11e-05
0.023674,1.04e-05
0.023674,1.25e-05
0.024489,1.16e-05
0.024489,1.2e-05
0.024489,1.19e-05
0.024489,1.65e-05
0.025538,1.44e-05
0.025538,1.43e-05
0.025538,1.5e-05
0.025538,1.71e-05
0.026616,1.57e-05
0.026616,1.57e-05
0.026616,1.69e-05
0.026616,1.82e-05
0.026616,1.79e-05
0.027512,1.89e-05
0.027512,1.8e-05
0.027512,1.83e-05
0.027512,2.05e-05
0.027512,1.94e-05
0.027512,1.93e-05
0.028363,1.99e-05
0.028363,2e-05
0.028363,2.01e-05
0.028363,2.08e-05
0.028363,2.13e-05
0.028363,2.26e-05
0.029368,2.23e-05
0.029368,2.21e-05
0.029368,2.25e-05
0.029368,2.18e-05
0.030237,2.2e-05
0.030237,2.09e-05
0.030237,2.43e-05
0.030237,2.29e-05
0.031045,2.38e-05
0.031045,2.26e-05
0.031045,2.64e-05
0.0319,2.32e-05
0.0319,2.32e-05
0.0319,2.29e-05
0.0319,3.05e-05
0.033028,2.59e-05
0.033028,2.79e-05
0.033028,2.89e-05
0.033028,3.19e-05
0.033953,3.09e-05
0.033953,3.32e-05
0.033953,3.26e-05
0.034727,3.25e-05
