frame,value
0,2
0,2
0,2
0.00094,2
0.00094,2
0.00094,2
0.002047,2
0.002047,2
0.003079,2
0.003079,2
0.003079,2
0.004002,2
0.004002,2
0.004002,2
0.004874,2
0.004874,2
0.004874,2
0.00586,2
0.00586,2
0.00586,2
0.006913,2
0.006913,2
0.006913,2
0.006913,2
0.007902,2
0.007902,2
0.007902,2
0.007902,2
0.008842,2
0.008842,2
0.008842,2
0.008842,2
0.009746,2
0.009746,2
0.009746,2
0.009746,2
0.010921,2
0.010921,2
0.010921,2
0.010921,2
0.011715,2
0.011715,2
0.011715,2
0.011715,2
0.013048,2
0.013048,2
0.013048,2
0.013048,2
0.013822,2
0.013822,2
0.013822,2
0.013822,2
0.014574,2
0.014574,2
0.014574,2
0.014574,2
0.014574,2
0.015425,2
0.015425,2
0.015425,2
0.015425,2
0.015425,2
0.016228,2
0.016228,2
0.016228,2
0.016228,2
0.016228,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.020902,2
0.020902,2
0.020902,2
0.020902,2
0.020902,2
0.021822,2
0.021822,2
0.021822,2
0.021822,2
0.021822,2
0.022671,2
0.022671,2
0.022671,2
0.022671,2
0.022671,2
0.023559,2
0.023559,2
0.023559,2
0.023559,2
0.024427,2
0.024427,2
0.024427,2
0.024427,2
0.024427,2
0.02522,2
0.02522,2
0.02522,2
0.02522,2
0.02522,2
0.026059,2
0.026059,2
0.026059,2
0.026059,2
0.026825,2
0.026825,2
0.026825,2
0.026825,2
0.026825,2
0.026825,2
0.02788,2
0.02788,2
0.02788,2
0.02788,2
0.02788,2
0.028771,2
0.028771,2
0.028771,2
0.028771,2
0.028771,2
0.028771,2
0.028771,2
0.029597,2
0.029597,3
0.029597,2
0.029597,2
0.029597,2
0.03048,2
0.03048,3
0.03048,2
0.03048,2
0.03048,2
0.03048,2
0.031415,2
0.031415,3
0.031415,2
0.031415,2
0.031415,2
0.031415,2
0.032271,2
0.032271,3
0.032271,2
0.032271,2
0.032271,2
0.032271,2
0.033123,2
0.033123,3
0.033123,3
0.033123,2
0.033123,2
0.033123,2
0.033123,3
0.033921,2
0.033921,3
0.033921,2
0.033921,2
0.033921,2
0.033921,2
0.033921,2
0.033921,2
0.034763,2
0.034763,3
0.034763,3
0.034763,2
0.034763,2
0.034763,2
0.034763,2
0.035526,2
0.035526,3
0.035526,2
0.035526,2
0.035526,3
0.035526,3
0.035526,3
0.035526,3
0.036456,2
0.036456,3
0.036456,3
0.036456,3
0.036456,3
0.036456,3
0.037238,2
0.037238,3
0.037238,3
0.037238,3
0.037238,3
0.038055,2
0.038055,3
0.038055,3
0.038055,3
0.038055,3
0.038055,3
0.038932,3
0.038932,3
0.038932,3
0.038932,3
0.038932,3
0.038932,3
0.039712,3
0.039712,3
0.039712,3
0.039712,3
0.039712,3
0.039712,3
0.040528,3
0.040528,3
0.040528,3
0.040528,3
0.040528,3
0.041312,3
0.041312,3
0.041312,3
0.041312,3
0.041312,3
0.041312,3
0.042166,3
0.042166,3
0.042166,3
0.042166,3
0.042166,3
0.042166,3
0.042974,2
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.043893,3
0.043893,3
0.043893,3
0.043893,3
0.043893,3
0.043893,3
0.044849,3
0.044849,3
0.044849,3
0.044849,3
0.044849,3
0.044849,3
0.045698,3
0.045698,3
0.045698,3
0.045698,3
