frame,value
0,0.003
0.00094,0.003
0.002047,0.003
0.003079,0.003
0.004002,0.003
0.004874,0.003
0.00586,0.003
0.006913,0.003
0.007902,0.003
0.008842,0.003
0.009746,0.003
0.010921,0.003
0.011715,0.003
0.013048,0.003
0.013822,0.003
0.014574,0.003
0.015425,0.003
0.016228,0.003
0.017188,0.003
0.018035,0.003
0.018988,0.003
0.019944,0.003
0.020902,0.003
0.021822,0.003
0.022671,0.003
0.023559,0.003
0.024427,0.003
0.02522,0.003
0.026059,0.003
0.026825,0.003
0.02788,0.003
0.028771,0.003
0.029597,0.003
0.03048,0.003
0.031415,0.003
0.032271,0.003
0.033123,0.003
0.033921,0.003
0.034763,0.003
0.035526,0.003
0.036456,0.003
0.037238,0.003
0.038055,0.003
0.038932,0.003
0.039712,0.003
0.040528,0.003
0.041312,0.003
0.042166,0.003
0.042974,0.003
0.043893,0.003
0.044849,0.003
0.045698,0.003
0.046631,0.003
0.047522,0.003
0.048272,0.003
0.049212,0.003
0.050055,0.003
0.050853,0.003
0.051623,0.003
0.052448,0.003
0.053324,0.003
0.054149,0.003
0.054933,0.003
0.055921,0.003
0.056765,0.003
0.057597,0.003
0.058717,0.003
0.059671,0.003
0.060675,0.003
0.061426,0.003
0.062258,0.003
0.063013,0.003
0.063842,0.003
0.064646,0.003
0.065407,0.003
0.066317,0.003
0.067075,0.003
0.068107,0.003
0.069203,0.003
0.070299,0.003
0.071398,0.003
0.072188,0.003
0.072939,0.003
0.073737,0.003
0.074664,0.003
0.075438,0.003
0.07625,0.003
0.077087,0.003
0.077897,0.003
0.078663,0.003
0.079517,0.003
0.080399,0.003
0.081171,0.003
0.082057,0.003
0.082841,0.003
0.083631,0.003
0.08443,0.003
0.085283,0.003
0.08612,0.003
0.086908,0.003
0.087789,0.003
0.088542,0.003
0.089516,0.003
0.090298,0.003
0.091148,0.003
0.092006,0.003
0.092952,0.003
0.093774,0.003
0.094547,0.003
0.09543,0.003
0.096228,0.003
0.097373,0.003
0.098326,0.003
0.099299,0.003
0.100246,0.003
0.100997,0.003
0.101753,0.003
0.102686,0.003
0.10391,0.003
0.104949,0.003
0.106319,0.003
0.107516,0.003
0.109111,0.003
0.109936,0.003
0.110751,0.003
0.111541,0.003
0.112408,0.003
0.113724,0.003
0.114977,0.003
0.116103,0.003
0.116989,0.003
0.117839,0.003
0.118719,0.003
0.119505,0.003
0.120609,0.003
0.121539,0.003
0.122391,0.003
0.12325,0.003
0.124011,0.003
0.125011,0.003
0.125771,0.003
0.126611,0.003
0.127406,0.003
0.128194,0.003
0.129277,0.003
0.130057,0.003
0.131128,0.003
0.132269,0.003
0.133287,0.003
0.134227,0.003
0.135227,0.003
0.136435,0.003
0.137359,0.003
0.138167,0.003
0.138945,0.003
0.139806,0.003
0.140584,0.003
0.141389,0.003
0.142235,0.003
0.143003,0.003
0.143825,0.003
0.144726,0.003
0.145647,0.003
0.146461,0.003
0.147286,0.003
0.148334,0.003
0.149169,0.003
0.149945,0.003
0.150717,0.003
0.151613,0.003
0.15241,0.003
0.153539,0.003
0.154678,0.003
0.155825,0.003
0.156953,0.003
0.158112,0.003
0.159228,0.003
0.16036,0.003
0.161687,0.003
0.162636,0.003
0.163633,0.003
0.164737,0.003
0.165768,0.003
0.16682,0.003
0.168221,0.003
0.169028,0.003
0.170082,0.003
0.171025,0.003
0.172081,0.003
0.173188,0.003
0.174309,0.003
0.175261,0.003
0.176021,0.003
0.177219,0.003
0.178247,0.003
0.179072,0.003
0.18004,0.003
0.18105,0.003
0.182152,0.003
0.182987,0.003
0.183738,0.003
0.18466,0.003
0.185514,0.003
0.18632,0.003
0.187132,0.003
0.187945,0.003
0.188853,0.003
0.189616,0.003
0.190556,0.003
0.191349,0.003
0.192257,0.003
0.193213,0.003
0.194075,0.003
0.194958,0.003
0.195846,0.003
0.196705,0.003
0.19789,0.003
0.198718,0.003
0.199589,0.003
0.200798,0.003
0.202079,0.003
0.202988,0.003
0.203923,0.003
0.204982,0.003
0.206642,0.003
0.207823,0.003
0.209638,0.003
0.210403,0.003
0.211358,0.003
0.21265,0.003
0.21429,0.003
0.215742,0.003
0.217574,0.003
0.219588,0.003
0.221944,0.003
0.222827,0.003
0.224633,0.003
0.225965,0.003
0.227857,0.003
0.22989,0.003
0.232138,0.003
0.235063,0.003
0.237784,0.003
0.239095,0.003
0.241558,0.003
0.242825,0.003
0.244173,0.003
0.246831,0.003
0.249117,0.003
0.251982,0.003
0.254982,0.003
0.257316,0.003
0.260316,0.003
0.262214,0.003
0.265214,0.003
0.266774,0.003
0.268579,0.003
0.271579,0.003
0.273115,0.003
0.275474,0.003
0.276908,0.003
0.279908,0.003
0.28088,0.003
0.28388,0.003
0.28688,0.003
0.289838,0.003
0.292838,0.003
0.295838,0.003
0.298838,0.003
0.30119,0.003
0.303167,0.003
0.306034,0.003
0.309034,0.003
0.312034,0.003
0.314466,0.003
0.317466,0.003
0.320466,0.003
0.322793,0.003
0.325793,0.003
0.328143,0.003
0.331143,0.003
0.334143,0.003
0.337143,0.003
0.339865,0.003
0.342865,0.003
0.344953,0.003
0.347953,0.003
0.350953,0.04
0.361653,0.04
0.375685,0.04
0.388983,0.04
0.39919,0.04
0.411605,0.04
0.422849,0.04
0.436944,0.04
0.448845,0.04
0.461551,0.04
0.473332,0.04
0.483464,0.04
0.495465,0.04
0.508137,0.04
0.518158,0.04
0.535397,0.04
0.547069,0.04
0.557377,0.04
0.567601,0.04
0.58503,0.04
0.599771,0.04
0.611892,0.04
0.62586,0.04
0.637242,0.04
0.647333,0.04
0.658702,0.04
0.6692,0.04
0.684128,0.04
0.699663,0.04
0.713512,0.04
0.724048,0.04
0.735141,0.04
0.747145,0.04
0.764255,0.04
0.77464,0.04
0.78884,0.04
0.801014,0.04
0.824177,0.04
0.843845,0.04
0.860037,0.04
0.879994,0.04
0.891649,0.04
0.916159,0.04
0.933585,0.04
0.945974,0.04
0.967892,0.04
0.980041,0.04
1.000166,0.04
1.019176,0.04
1.042883,0.04
1.060251,0.04
1.077421,0.04
1.097592,0.04
1.122376,0.04
1.138413,0.04
1.16216,0.04
1.184827,0.04
1.196605,0.04
1.216152,0.04
1.237057,0.04
1.261142,0.04
1.279013,0.04
1.29765,0.04
1.330405,0.04
1.357101,0.04
1.368837,0.04
1.387722,0.04
1.400582,0.04
1.411237,0.04
1.421451,0.04
1.43352,0.04
1.444561,0.04
1.455859,0.04
1.466583,0.04
1.476872,0.04
1.487433,0.04
1.497517,0.04
1.507909,0.04
1.518224,0.04
1.528593,0.04
1.539359,0.04
1.550569,0.04
1.561442,0.04
1.57273,0.04
1.584057,0.04
1.594928,0.04
1.607542,0.04
1.619598,0.04
1.631612,0.04
1.644822,0.04
1.655367,0.04
1.669004,0.04
1.683302,0.04
1.698322,0.04
1.710137,0.04
1.721501,0.04
1.73509,0.04
1.745843,0.04
1.756225,0.04
1.770244,0.04
1.783183,0.04
1.795128,0.04
1.808567,0.04
1.820701,0.04
1.832988,0.04
1.846701,0.04
1.856962,0.04
1.868147,0.04
1.878485,0.04
1.889623,0.04
1.900669,0.04
1.911936,0.04
1.926612,0.04
1.940548,0.04
1.95292,0.04
1.966078,0.04
1.97941,0.04
1.991889,0.04
2.004616,0.04
2.017501,0.04
2.032725,0.04
2.045661,0.04
2.055874,0.04
2.066219,0.04
2.078087,0.04
2.089166,0.04
2.100871,0.04
2.111655,0.04
2.122703,0.04
2.133094,0.04
2.143599,0.04
2.154062,0.04
2.164183,0.04
2.174219,0.04
2.184419,0.04
2.194424,0.04
2.204551,0.04
2.215267,0.04
2.226367,0.04
2.238098,0.04
2.248166,0.04
2.259275,0.04
2.270727,0.04
2.280839,0.04
2.292056,0.04
2.302191,0.04
2.314049,0.04
2.325242,0.04
2.33594,0.04
2.347577,0.04
2.357904,0.04
2.369114,0.04
2.379855,0.04
2.390723,0.04
2.402109,0.04
2.414342,0.04
2.4254,0.04
2.436488,0.04
2.447205,0.04
2.459642,0.04
2.469686,0.04
2.484955,0.04
2.496407,0.04
2.508168,0.04
2.519418,0.04
2.531462,0.04
2.542233,0.04
2.554866,0.04
2.56784,0.04
2.578267,0.04
2.590342,0.04
2.602258,0.04
2.614345,0.04
2.626447,0.04
2.640371,0.04
2.654622,0.04
2.666427,0.04
2.676665,0.04
2.687395,0.04
2.698433,0.04
2.708791,0.04
2.719048,0.04
2.729347,0.04
2.739659,0.04
2.749927,0.04
2.760289,0.04
2.771653,0.04
2.783115,0.04
2.79497,0.04
2.80797,0.04
2.819135,0.04
2.829793,0.04
2.840799,0.04
2.851995,0.04
2.8652,0.04
2.876748,0.04
2.888977,0.04
2.902861,0.04
2.914586,0.04
2.925046,0.04
2.939113,0.04
2.950055,0.04
2.963085,0.04
2.974183,0.04
2.98703,0.04
2.998496,0.04
3.009588,0.04
3.020099,0.04
3.032085,0.04
3.045448,0.04
3.056391,0.04
3.068714,0.04
3.07878,0.04
3.090085,0.04
3.101081,0.04
3.111344,0.04
3.121829,0.04
3.131997,0.04
3.143099,0.04
3.157131,0.04
3.168889,0.04
3.180729,0.04
3.191719,0.04
3.206905,0.04
3.223194,0.04
3.239919,0.04
3.259841,0.04
3.281715,0.04
3.298373,0.04
3.309778,0.04
3.32547,0.04
3.340982,0.04
3.364309,0.04
3.374349,0.04
3.385525,0.04
3.400039,0.04
3.425289,0.04
3.455391,0.04
3.494044,0.04
3.521098,0.04
3.547284,0.04
3.565896,0.04
3.588536,0.04
3.608378,0.04
3.642953,0.04
