frame,value
0,1
0,1
0,1
0.00094,1
0.00094,1
0.00094,1
0.002047,2
0.002047,1
0.003079,2
0.003079,2
0.003079,1
0.004002,2
0.004002,2
0.004002,1
0.004874,2
0.004874,2
0.004874,1
0.00586,2
0.00586,2
0.00586,1
0.006913,2
0.006913,2
0.006913,2
0.006913,1
0.007902,2
0.007902,2
0.007902,2
0.007902,1
0.008842,2
0.008842,2
0.008842,2
0.008842,1
0.009746,2
0.009746,2
0.009746,2
0.009746,1
0.010921,2
0.010921,2
0.010921,2
0.010921,1
0.011715,2
0.011715,2
0.011715,2
0.011715,2
0.013048,2
0.013048,2
0.013048,2
0.013048,2
0.013822,2
0.013822,2
0.013822,2
0.013822,2
0.014574,2
0.014574,2
0.014574,2
0.014574,2
0.014574,2
0.015425,2
0.015425,2
0.015425,2
0.015425,2
0.015425,2
0.016228,2
0.016228,2
0.016228,2
0.016228,2
0.016228,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.017188,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018035,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.018988,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.019944,2
0.020902,2
0.020902,2
0.020902,2
0.020902,2
0.020902,2
0.021822,2
0.021822,2
0.021822,2
0.021822,2
0.021822,2
0.022671,2
0.022671,2
0.022671,2
0.022671,2
0.022671,2
0.023559,2
0.023559,2
0.023559,2
0.023559,2
0.024427,2
0.024427,2
0.024427,2
0.024427,2
0.024427,2
0.02522,3
0.02522,2
0.02522,2
0.02522,2
0.02522,2
0.026059,3
0.026059,2
0.026059,2
0.026059,2
0.026825,3
0.026825,2
0.026825,2
0.026825,2
0.026825,2
0.026825,2
0.02788,3
0.02788,2
0.02788,2
0.02788,2
0.02788,2
0.028771,3
0.028771,3
0.028771,3
0.028771,3
0.028771,3
0.028771,3
0.028771,2
0.029597,3
0.029597,3
0.029597,3
0.029597,3
0.029597,2
0.03048,3
0.03048,3
0.03048,3
0.03048,3
0.03048,3
0.03048,2
0.031415,3
0.031415,3
0.031415,3
0.031415,3
0.031415,3
0.031415,2
0.032271,3
0.032271,3
0.032271,3
0.032271,3
0.032271,3
0.032271,2
0.033123,3
0.033123,3
0.033123,3
0.033123,3
0.033123,3
0.033123,3
0.033123,2
0.033921,3
0.033921,3
0.033921,3
0.033921,3
0.033921,3
0.033921,3
0.033921,3
0.033921,2
0.034763,3
0.034763,3
0.034763,3
0.034763,3
0.034763,3
0.034763,3
0.034763,2
0.035526,3
0.035526,3
0.035526,3
0.035526,3
0.035526,3
0.035526,3
0.035526,3
0.035526,2
0.036456,3
0.036456,3
0.036456,3
0.036456,3
0.036456,3
0.036456,2
0.037238,3
0.037238,3
0.037238,3
0.037238,3
0.037238,2
0.038055,3
0.038055,3
0.038055,3
0.038055,3
0.038055,3
0.038055,2
0.038932,3
0.038932,3
0.038932,3
0.038932,4
0.038932,3
0.038932,2
0.039712,3
0.039712,3
0.039712,3
0.039712,3
0.039712,3
0.039712,2
0.040528,3
0.040528,3
0.040528,3
0.040528,3
0.040528,2
0.041312,3
0.041312,3
0.041312,3
0.041312,3
0.041312,3
0.041312,2
0.042166,3
0.042166,3
0.042166,3
0.042166,3
0.042166,3
0.042166,2
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.042974,3
0.042974,2
0.043893,3
0.043893,3
0.043893,3
0.043893,3
0.043893,3
0.043893,2
0.044849,3
0.044849,3
0.044849,3
0.044849,3
0.044849,3
0.044849,2
0.045698,3
0.045698,3
0.045698,3
0.045698,3
0.045698,3
0.045698,2
0.046631,3
0.046631,3
0.046631,3
0.046631,3
0.046631,3
0.046631,2
0.047522,2
0.047522,2
0.047522,2
0.047522,2
0.047522,2
0.047522,2
0.047522,2
0.048272,2
0.048272,2
0.048272,2
0.048272,2
0.048272,2
0.048272,2
0.048272,2
0.049212,2
0.049212,2
0.049212,2
0.049212,2
0.049212,2
0.049212,2
0.049212,2
0.049212,2
0.050055,2
0.050055,2
0.050055,2
0.050055,2
0.050055,2
0.050055,2
0.050853,2
0.050853,2
0.050853,2
0.050853,2
0.050853,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.051623,2
0.052448,2
0.052448,2
0.052448,2
0.052448,2
0.053324,2
0.053324,2
0.053324,2
0.053324,2
0.053324,2
0.053324,2
0.053324,2
0.053324,2
0.054149,2
0.054149,2
0.054149,2
0.054149,2
0.054149,2
0.054149,2
0.054149,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.054933,2
0.055921,2
0.055921,2
0.055921,2
0.055921,2
0.056765,2
0.056765,2
0.056765,2
0.056765,2
0.056765,2
0.056765,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.057597,2
0.058717,2
0.058717,2
0.058717,2
0.058717,2
0.058717,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.059671,2
0.060675,2
0.060675,2
0.060675,2
0.060675,2
0.060675,2
0.061426,2
0.061426,2
0.061426,2
0.061426,2
0.061426,2
0.061426,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.062258,2
0.063013,2
0.063013,2
0.063842,2
0.063842,2
0.063842,2
0.063842,2
0.063842,2
0.063842,2
0.064646,2
0.064646,2
0.064646,2
0.065407,2
0.065407,2
0.065407,2
0.065407,2
0.065407,2
0.065407,2
0.066317,2
0.066317,2
0.066317,2
0.066317,2
0.066317,2
0.066317,2
0.066317,2
0.066317,2
0.067075,2
0.067075,2
0.067075,2
0.067075,2
0.067075,2
0.068107,2
0.068107,2
0.068107,2
0.068107,2
0.068107,2
0.068107,2
0.068107,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.069203,2
0.070299,2
0.070299,2
0.070299,2
0.070299,2
0.070299,2
0.071398,2
0.071398,2
0.071398,2
0.071398,2
0.071398,2
0.071398,2
0.071398,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072188,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.072939,2
0.073737,2
0.073737,2
0.073737,2
0.073737,2
0.073737,2
0.073737,2
0.073737,2
0.073737,2
0.074664,2
0.074664,2
0.074664,2
0.074664,2
0.074664,2
0.074664,2
0.074664,2
0.075438,2
0.075438,2
0.075438,2
0.075438,2
0.075438,2
0.075438,2
0.075438,2
0.07625,2
0.07625,2
0.07625,2
0.07625,2
0.07625,2
0.07625,2
0.07625,2
0.07625,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077087,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.077897,2
0.078663,3
0.078663,3
0.078663,3
0.078663,3
0.078663,3
0.078663,3
0.078663,3
0.078663,3
0.078663,2
0.079517,3
0.079517,3
0.079517,3
0.079517,3
0.079517,3
0.079517,3
0.079517,3
0.079517,2
0.080399,3
0.080399,3
0.080399,3
0.080399,3
0.080399,3
0.080399,3
0.080399,3
0.080399,3
0.080399,2
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,3
0.081171,2
0.082057,3
0.082057,3
0.082057,3
0.082057,3
0.082057,3
0.082057,3
0.082057,2
0.082841,3
0.082841,3
0.082841,3
0.082841,3
0.082841,3
0.082841,3
0.082841,2
0.083631,4
0.083631,3
0.083631,3
0.083631,3
0.083631,3
0.083631,2
