frame,value
0,0.0238156
0,0.0216829
0,0.01776251
0.00094,0.02337405
0.00094,0.02223516
0.00094,0.01713013
0.002047,0.02213579
0.002047,0.01636004
0.003079,0.02070843
0.003079,0.02155785
0.003079,0.01378738
0.004002,0.02095362
0.004002,0.02079028
0.004002,0.01259238
0.004874,0.0209023
0.004874,0.02046097
0.004874,0.01320746
0.00586,0.02149519
0.00586,0.02029428
0.00586,0.01340399
0.006913,0.02083818
0.006913,0.02004597
0.006913,0.01930129
0.006913,0.013269
0.007902,0.02077422
0.007902,0.01923688
0.007902,0.01931462
0.007902,0.01330953
0.008842,0.02072479
0.008842,0.02050157
0.008842,0.01882052
0.008842,0.01196017
0.009746,0.02062856
0.009746,0.02051947
0.009746,0.01874522
0.009746,0.01245433
0.010921,0.02059484
0.010921,0.01931145
0.010921,0.01865291
0.010921,0.01206693
0.011715,0.02072514
0.011715,0.01984882
0.011715,0.0181938
0.011715,0.01284446
0.013048,0.02037507
0.013048,0.01891504
0.013048,0.01785132
0.013048,0.0127321
0.013822,0.02164761
0.013822,0.01883625
0.013822,0.01835021
0.013822,0.01226271
0.014574,0.02015859
0.014574,0.01769933
0.014574,0.01806236
0.014574,0.01729587
0.014574,0.01247324
0.015425,0.02123811
0.015425,0.01845013
0.015425,0.0176979
0.015425,0.01759356
0.015425,0.01241117
0.016228,0.02049104
0.016228,0.0176095
0.016228,0.01736864
0.016228,0.01771637
0.016228,0.01310572
0.017188,0.01999088
0.017188,0.01794813
0.017188,0.017785
0.017188,0.01734996
0.017188,0.01681883
0.017188,0.01431862
0.018035,0.0192397
0.018035,0.01791567
0.018035,0.01772688
0.018035,0.01918514
0.018035,0.01678763
0.018035,0.01879269
0.018988,0.0192713
0.018988,0.01817222
0.018988,0.0177079
0.018988,0.017037
0.018988,0.01664565
0.018988,0.0156553
0.019944,0.01946263
0.019944,0.01845542
0.019944,0.01808417
0.019944,0.01698424
0.019944,0.01679843
0.019944,0.01587426
0.020902,0.0196642
0.020902,0.01869817
0.020902,0.01771986
0.020902,0.01735214
0.020902,0.01627985
0.021822,0.0197164
0.021822,0.01897401
0.021822,0.0176048
0.021822,0.01728043
0.021822,0.01690588
0.022671,0.02008458
0.022671,0.01905258
0.022671,0.01845164
0.022671,0.01777855
0.022671,0.01681971
0.023559,0.02013931
0.023559,0.01883898
0.023559,0.01847686
0.023559,0.01687631
0.024427,0.02017007
0.024427,0.01919193
0.024427,0.01869654
0.024427,0.01788362
0.024427,0.01680171
0.02522,0.0209704
0.02522,0.02028027
0.02522,0.01846024
0.02522,0.01830741
0.02522,0.01495162
0.026059,0.02100708
0.026059,0.019564
0.026059,0.01927226
0.026059,0.01441433
0.026825,0.02081881
0.026825,0.01952696
0.026825,0.01924633
0.026825,0.018686
0.026825,0.01831434
0.026825,0.0150693
0.02788,0.02073964
0.02788,0.01931961
0.02788,0.01907504
0.02788,0.01871324
0.02788,0.015171
0.028771,0.02136439
0.028771,0.02095103
0.028771,0.02041979
0.028771,0.01966693
0.028771,0.02248394
0.028771,0.02291294
0.028771,0.01500165
0.029597,0.02321773
0.029597,0.0206576
0.029597,0.02126165
0.029597,0.02215547
0.029597,0.02034113
0.03048,0.02488605
0.03048,0.02401426
0.03048,0.02291097
0.03048,0.02199539
0.03048,0.02146321
0.03048,0.01582507
0.031415,0.02289012
0.031415,0.02248572
0.031415,0.02168364
0.031415,0.02127612
0.031415,0.02032577
0.031415,0.01556865
0.032271,0.02255019
0.032271,0.02196519
0.032271,0.02105573
0.032271,0.02062783
0.032271,0.02015817
0.032271,0.01432783
0.033123,0.02231066
0.033123,0.02211919
0.033123,0.02125895
0.033123,0.02107236
0.033123,0.0208394
0.033123,0.02037627
0.033123,0.01260807
0.033921,0.02015369
0.033921,0.01996461
0.033921,0.02028589
0.033921,0.02058817
0.033921,0.02082299
0.033921,0.02087486
0.033921,0.02063606
0.033921,0.01475543
0.034763,0.0242186
0.034763,0.02385591
0.034763,0.02394632
0.034763,0.02329421
0.034763,0.0226133
0.034763,0.02176695
0.034763,0.01551673
0.035526,0.02500941
0.035526,0.02433604
0.035526,0.023694
0.035526,0.02277185
0.035526,0.02159645
0.035526,0.02003813
0.035526,0.01980069
0.035526,0.01342972
0.036456,0.02280299
0.036456,0.02260844
0.036456,0.02126707
0.036456,0.02101011
0.036456,0.02213018
0.036456,0.01795564
0.037238,0.02237627
0.037238,0.02178949
0.037238,0.02022984
0.037238,0.0196442
0.037238,0.02183523
0.038055,0.02178455
0.038055,0.02040208
0.038055,0.02016271
0.038055,0.02011181
0.038055,0.01985913
0.038055,0.02946148
0.038932,0.02139108
0.038932,0.02275212
0.038932,0.02242717
0.038932,0.03154886
0.038932,0.03282256
0.038932,0.02264484
0.039712,0.02183283
0.039712,0.02340391
0.039712,0.02141547
0.039712,0.0195382
0.039712,0.02043585
0.039712,0.01303021
0.040528,0.02234747
0.040528,0.0208721
0.040528,0.02198523
0.040528,0.02200161
0.040528,0.0134088
0.041312,0.0239712
0.041312,0.0227988
0.041312,0.02143545
0.041312,0.02090512
0.041312,0.02048684
0.041312,0.01237472
0.042166,0.0244133
0.042166,0.02380757
0.042166,0.02164298
0.042166,0.02059203
0.042166,0.02199813
0.042166,0.02431329
0.042974,0.02404657
0.042974,0.02337308
0.042974,0.02107041
0.042974,0.02037319
0.042974,0.01922264
0.042974,0.01866568
0.042974,0.01145398
0.043893,0.02251699
0.043893,0.0199087
0.043893,0.01908845
0.043893,0.01781045
0.043893,0.01811842
0.043893,0.01084827
0.044849,0.02104679
0.044849,0.01796074
0.044849,0.01757514
0.044849,0.0167564
0.044849,0.01643012
0.044849,0.00933122
0.045698,0.01912791
0.045698,0.01530431
0.045698,0.01510859
0.045698,0.01452407
0.045698,0.01426656
0.045698,0.008226396
0.046631,0.01674076
0.046631,0.0146958
0.046631,0.01433999
0.046631,0.01354063
0.046631,0.01338493
0.046631,0.007852756
0.047522,0.014445
0.047522,0.01330998
0.047522,0.01292573
0.047522,0.0122124
0.047522,0.0119886
0.047522,0.01160054
0.047522,0.006196216
0.048272,0.01333539
0.048272,0.01277998
0.048272,0.01193982
0.048272,0.01183499
0.048272,0.02108683
0.048272,0.01269718
0.048272,0.008812573
0.049212,0.01235709
0.049212,0.01196454
0.049212,0.01177335
0.049212,0.01147919
0.049212,0.01134407
0.049212,0.01821974
0.049212,0.01098743
0.049212,0.006485662
0.050055,0.0118871
0.050055,0.0108286
0.050055,0.010819
0.050055,0.01667086
0.050055,0.01019877
0.050055,0.01534378
0.050853,0.01133983
0.050853,0.02585812
0.050853,0.0104061
0.050853,0.01029598
0.050853,0.009644615
0.051623,0.01102218
0.051623,0.01068614
0.051623,0.01047618
0.051623,0.0102205
0.051623,0.01003116
0.051623,0.009829564
0.051623,0.009724451
0.051623,0.02009181
0.051623,0.009334299
0.051623,0.006921369
0.052448,0.01067197
0.052448,0.01808236
0.052448,0.01038941
0.052448,0.007531826
0.053324,0.00995497
0.053324,0.009785078
0.053324,0.02187338
0.053324,0.01025023
0.053324,0.03664803
0.053324,0.0233439
0.053324,0.008777672
0.053324,0.01817778
0.054149,0.009837383
0.054149,0.01905781
0.054149,0.009598184
0.054149,0.008561236
0.054149,0.008492667
0.054149,0.009185322
0.054149,0.01029764
0.054933,0.00956345
0.054933,0.02211948
0.054933,0.009277432
0.054933,0.03079052
0.054933,0.02520248
0.054933,0.01082764
0.054933,0.01783546
0.054933,0.008057215
0.054933,0.01340762
0.055921,0.009304016
0.055921,0.008598587
0.055921,0.00796511
0.055921,0.008198723
0.056765,0.008971237
0.056765,0.008408831
0.056765,0.009125491
0.056765,0.01856803
0.056765,0.008038273
0.056765,0.007643251
0.057597,0.008673788
0.057597,0.008179033
0.057597,0.01360818
0.057597,0.01151309
0.057597,0.01520167
0.057597,0.007621253
0.057597,0.02820436
0.057597,0.009922106
0.057597,0.01809234
0.057597,0.00753996
0.057597,0.02195715
0.058717,0.01448912
0.058717,0.009872778
0.058717,0.01669349
0.058717,0.007874986
0.058717,0.0175891
0.059671,0.0229334
0.059671,0.007896269
0.059671,0.03088482
0.059671,0.01541913
0.059671,0.007830011
0.059671,0.03581331
0.059671,0.01902387
0.059671,0.007813361
0.059671,0.008507119
0.060675,0.008033492
0.060675,0.02176185
0.060675,0.007969357
0.060675,0.007954866
0.060675,0.008456495
0.061426,0.008309808
0.061426,0.01401208
0.061426,0.008857606
0.061426,0.02090517
0.061426,0.008132924
0.061426,0.01168968
