frame,value
0,0
0.00094,9.454529
0.002047,9.622326
0.003079,8.120789
0.004002,8.538909
0.004874,8.202068
0.00586,8.278675
0.006913,7.727473
0.007902,7.849548
0.008842,7.673673
0.009746,7.492015
0.010921,7.511295
0.011715,7.34767
0.013048,7.338508
0.013822,7.258244
0.014574,7.107583
0.015425,7.287899
0.016228,7.111523
0.017188,7.052518
0.018035,6.863054
0.018988,6.86193
0.019944,6.977271
0.020902,7.067452
0.021822,7.077675
0.022671,7.232503
0.023559,7.281446
0.024427,7.20097
0.02522,7.711324
0.026059,7.654738
0.026825,7.481622
0.02788,7.673731
0.028771,8.061227
0.029597,7.981553
0.03048,7.799028
0.031415,9.073387
0.032271,8.895473
0.033123,8.866669
0.033921,8.690619
0.034763,7.943072
0.035526,9.036072
0.036456,8.432386
0.037238,8.050944
0.038055,7.85896
0.038932,7.751523
0.039712,8.074128
0.040528,7.979957
0.041312,8.553405
0.042166,8.658134
0.042974,8.48555
0.043893,8.097316
0.044849,7.505086
0.045698,6.948791
0.046631,6.260786
0.047522,5.440278
0.048272,4.861786
0.049212,4.479557
0.050055,4.250286
0.050853,4.026352
0.051623,3.830437
0.052448,3.765482
0.053324,3.58573
0.054149,3.448771
0.054933,3.328229
0.055921,3.272765
0.056765,3.077979
0.057597,3.033669
0.058717,3.073199
0.059671,2.84215
0.060675,3.113532
0.061426,3.341845
0.062258,3.057334
0.063013,3.370336
0.063842,3.097267
0.064646,3.355328
0.065407,3.27769
0.066317,3.39181
0.067075,4.999579
0.068107,3.643171
0.069203,3.638827
0.070299,3.953247
0.071398,4.172411
0.072188,4.359069
0.072939,4.509821
0.073737,4.26473
0.074664,4.555113
0.075438,5.121521
0.07625,5.322236
0.077087,5.011002
0.077897,5.0844
0.078663,5.988873
0.079517,5.633444
0.080399,5.513274
0.081171,5.78112
0.082057,6.070314
0.082841,6.214011
0.083631,7.351664
0.08443,7.689838
0.085283,7.359617
0.08612,7.224178
0.086908,8.299766
0.087789,6.726049
0.088542,6.391041
0.089516,5.791234
0.090298,5.587801
0.091148,4.775828
0.092006,3.570977
0.092952,2.713056
0.093774,2.652808
0.094547,3.485751
0.09543,2.784082
0.096228,5.052055
0.097373,2.836122
0.098326,2.830378
0.099299,2.802468
0.100246,2.735106
0.100997,3.866695
0.101753,2.751287
0.102686,2.923463
0.10391,2.883471
0.104949,3.271814
0.106319,3.346562
0.107516,3.427284
0.109111,3.269934
0.109936,3.790427
0.110751,3.43724
0.111541,4.886032
0.112408,3.814954
0.113724,3.76325
0.114977,3.575646
0.116103,3.633317
0.116989,4.902061
0.117839,4.485037
0.118719,5.208035
0.119505,5.658821
0.120609,4.889231
0.121539,4.970886
0.122391,4.747715
0.12325,5.135911
0.124011,4.44972
0.125011,4.865034
0.125771,5.828126
0.126611,6.092472
0.127406,6.287857
0.128194,5.994239
0.129277,5.411799
0.130057,5.719708
0.131128,5.44995
0.132269,5.803574
0.133287,6.929962
0.134227,6.365335
0.135227,7.490599
0.136435,7.222005
0.137359,7.466105
0.138167,7.252759
0.138945,8.416799
0.139806,7.585915
0.140584,6.632422
0.141389,5.904761
0.142235,6.40303
0.143003,5.072462
0.143825,6.297514
0.144726,6.371088
0.145647,4.654947
0.146461,3.632694
0.147286,3.789044
0.148334,3.151614
