frame,value
0,109
0.001086,74
0.00214,77
0.00348,76
0.004704,116
0.005798,117
0.007126,111
0.00799,112
0.009009,108
0.009826,111
0.010803,106
0.011633,108
0.012411,105
0.013241,105
0.014033,105
0.014806,143
0.015826,102
0.016595,144
0.017485,141
0.018268,143
0.019118,108
0.020258,101
0.021014,143
0.021949,64
0.022841,105
0.023674,66
0.024489,150
0.025538,146
0.026616,186
0.027512,230
0.028363,236
0.029368,145
0.030237,145
0.031045,106
0.0319,148
0.033028,148
0.033953,105
0.034727,194
0.036158,149
0.037274,149
0.038142,147
0.038985,148
0.039807,147
0.040678,150
0.041467,191
0.042293,272
0.043139,193
0.043986,190
0.04483,272
0.045732,190
0.046571,199
0.047349,199
0.048185,189
0.048976,195
0.049779,151
0.050798,190
0.051659,190
0.05254,193
0.053356,191
0.054251,150
0.055025,152
0.055835,191
0.05663,200
0.057558,152
0.058328,151
0.059159,236
0.06011,154
0.061046,195
0.061913,234
0.062787,231
0.063628,147
0.064392,152
0.065288,189
0.066157,147
0.066927,275
0.068069,273
0.068821,241
0.069899,323
0.070954,612
0.071711,144
0.072465,147
0.073347,276
0.0742,143
0.074971,110
0.076062,188
0.077014,146
0.078046,224
0.079025,104
0.079955,184
0.08096,268
0.081952,69
0.083144,182
0.084064,178
0.084851,178
0.085736,139
0.086522,101
0.087283,311
0.088444,100
0.089289,142
0.090257,178
0.091199,180
0.092054,138
0.092861,255
0.093681,138
0.094592,138
0.095442,179
0.096246,221
0.097052,181
0.097834,221
0.098735,221
0.099725,223
0.100605,220
0.101481,180
0.102276,180
0.103052,182
0.103851,219
0.104681,184
0.105454,182
0.106244,186
0.107045,227
0.107984,184
0.108759,186
0.109582,146
0.110373,189
0.111222,189
0.112223,147
0.113187,145
0.114071,146
0.115017,146
0.115995,145
0.116923,141
0.117702,182
0.118659,140
0.119431,180
0.120415,66
0.121487,102
0.122241,64
0.123106,98
0.12386,144
0.125316,136
0.126099,141
0.12741,135
0.128198,177
0.129052,99
0.129865,136
0.130688,98
0.131451,142
0.133113,101
0.134477,60
0.135374,62
0.136707,97
0.138042,165
0.138876,164
0.139727,95
0.140544,132
0.142005,129
0.142889,134
0.14477,95
0.145959,92
0.146723,164
0.147904,59
0.148793,131
0.15002,127
0.151396,131
0.153233,91
0.154211,124
0.155259,124
0.15637,59
0.157522,126
0.15859,128
0.160116,90
0.160872,93
0.161837,90
0.162689,93
0.16376,91
0.164594,96
0.166162,93
0.167195,90
0.168106,58
0.169094,57
0.169967,127
0.171256,59
0.172334,92
0.173165,98
0.174685,92
0.175518,137
0.176855,101
0.177958,62
0.178783,98
0.179588,143
0.180381,108
0.181159,191
0.182076,150
0.18288,148
0.183658,186
0.184545,153
0.185372,199
0.186322,152
0.187196,188
0.188122,146
0.189007,147
0.190055,151
0.191013,113
0.191855,113
0.192611,154
0.193648,150
0.194635,109
0.195529,111
0.196306,109
0.197346,148
0.198358,108
0.199188,150
0.20038,70
0.201331,103
0.202199,103
0.203321,106
0.204182,108
0.205196,104
0.205947,104
0.206822,107
0.207603,101
0.208455,106
0.20923,106
0.210132,105
0.21089,105
0.21191,105
0.212727,107
0.213913,103
0.214791,103
0.216109,103
0.217104,97
0.218272,98
0.219474,100
0.221061,99
0.222512,97
0.224053,58
0.224843,59
0.225765,61
0.227042,59
0.2278,97
0.229443,60
0.230379,62
0.231254,64
0.232121,103
0.233301,102
0.234329,64
0.235549,99
0.236509,102
0.237686,106
0.238771,105
0.239993,144
0.241246,108
0.242372,108
0.243357,148
0.244463,106
0.245235,141
0.246228,142
0.247287,105
0.248243,103
0.249474,101
0.250664,102
0.252088,65
0.253317,62
0.254194,97
0.255478,60
0.256292,98
0.258069,63
0.259385,65
0.261364,62
0.262685,62
0.263934,64
0.265558,66
0.267482,61
0.269706,57
0.270905,59
0.272996,57
0.27439,56
0.27568,59
0.277657,59
0.280148,59
0.282606,61
0.285568,58
0.287364,61
0.290364,59
0.292826,60
0.295826,60
0.297481,58
0.299032,58
0.300599,60
0.302678,60
0.305678,58
0.308218,59
0.311218,59
0.313897,59
0.316215,60
0.319215,57
0.321247,59
0.324247,54
0.325472,53
0.326482,54
0.327678,58
0.330364,58
0.333364,56
0.335274,58
0.338274,53
0.339661,56
0.341738,57
0.344738,54
0.346278,55
0.348268,57
0.351268,221
0.368051,144
0.381062,235
0.393924,434
0.412289,345
0.425455,334
0.438748,423
0.458138,267
0.472354,327
0.488536,228
0.502056,246
0.515128,237
0.529206,231
0.542747,249
0.555442,244
0.570206,244
0.583967,280
0.596825,289
0.617172,320
0.634482,259
0.647797,372
0.665773,171
0.679892,256
0.699215,357
0.720338,277
0.739711,241
0.753218,242
0.773528,152
0.786586,347
0.812551,175
0.836285,153
0.857997,260
0.885867,184
0.90821,159
0.923532,147
0.942915,156
0.968594,160
0.994015,164
1.024217,145
1.039634,236
1.066357,244
1.092438,151
1.116766,146
1.136301,152
1.160067,152
1.180656,239
1.205514,230
1.226391,136
1.240531,139
1.256752,142
1.274425,152
1.298834,148
1.320775,144
1.334415,141
1.348414,145
1.365598,143
1.38275,237
1.40286,333
1.416427,541
1.429198,627
1.443337,629
1.456651,535
1.469984,437
1.482621,440
1.49881,1115
1.511649,1198
1.526424,585
1.542234,374
1.558269,388
1.570806,526
1.584868,773
1.597837,720
1.613096,687
1.629488,696
1.643407,587
1.657712,383
1.674003,480
1.689382,279
1.701989,275
1.718199,277
1.733822,377
1.750305,269
1.762926,368
1.776811,459
1.790909,473
1.806458,363
1.822711,384
1.838983,381
1.852312,401
1.865538,387
1.880201,377
1.893975,260
1.906762,252
1.921246,340
1.937134,263
1.953092,365
1.969754,278
1.983773,382
2.000771,287
2.013275,390
2.028204,282
2.04608,410
2.064102,417
2.076697,528
2.090155,673
2.103062,828
2.117387,2308
2.129985,3464
2.142519,6733
2.15526,3890
2.167831,3223
2.180472,2322
2.193059,1525
2.208916,590
2.223377,479
2.237545,462
2.251086,644
2.266067,639
2.281733,636
2.295312,554
2.308433,362
2.32136,365
2.337709,540
2.354933,529
2.367932,682
2.381568,590
2.394331,596
2.407119,619
2.421297,645
2.435639,672
2.450587,362
2.466512,378
2.479123,491
2.493762,573
2.508869,449
2.524901,444
2.538636,333
2.553083,354
2.566925,372
2.580304,273
2.594049,353
2.60851,378
2.624529,269
2.638227,259
