frame,value
0,1
0,1
0,1
0.001086,1
0.001086,1
0.00214,1
0.00214,1
0.00348,1
0.00348,1
0.004702,1
0.004702,1
0.004702,1
0.005796,2
0.005796,2
0.005796,1
0.00712,2
0.00712,2
0.00712,1
0.007986,2
0.007986,2
0.007986,1
0.009004,2
0.009004,2
0.009004,1
0.00982,2
0.00982,2
0.00982,1
0.010798,2
0.010798,2
0.010798,1
0.011627,2
0.011627,2
0.011627,1
0.012409,2
0.012409,2
0.012409,1
0.013239,2
0.013239,2
0.013239,1
0.01403,2
0.01403,2
0.01403,1
0.014804,2
0.014804,2
0.014804,2
0.014804,1
0.015826,2
0.015826,2
0.015826,1
0.016604,2
0.016604,2
0.016604,2
0.016604,1
0.017493,2
0.017493,2
0.017493,2
0.017493,1
0.018271,2
0.018271,2
0.018271,2
0.018271,1
0.019118,2
0.019118,2
0.019118,1
0.020217,2
0.020217,2
0.020217,2
0.020217,2
0.021341,2
0.021341,2
0.021341,2
0.021341,2
0.022408,2
0.022408,2
0.022408,2
0.023387,2
0.023387,2
0.023387,2
0.024247,2
0.024247,2
0.024247,2
0.024247,2
0.025266,2
0.025266,2
0.025266,2
0.025266,2
0.026104,2
0.026104,2
0.026104,2
0.026104,2
0.02692,2
0.02692,2
0.02692,2
0.02692,2
0.02692,2
0.027748,2
0.027748,2
0.027748,2
0.027748,2
0.027748,2
0.028671,2
0.028671,2
0.028671,2
0.028671,2
0.028671,2
0.029694,2
0.029694,2
0.029694,2
0.029694,2
0.030462,2
0.030462,2
0.030462,2
0.031212,2
0.031212,2
0.031212,2
0.031212,2
0.032609,2
0.032609,2
0.032609,2
0.032609,2
0.033388,2
0.033388,2
0.033388,2
0.033388,2
0.034308,2
0.034308,2
0.034308,2
0.034308,2
0.035137,2
0.035137,2
0.035137,2
0.035137,2
0.036344,2
0.036344,2
0.036344,2
0.036344,2
0.037226,2
0.037226,2
0.037226,2
0.037226,2
0.038397,2
0.038397,2
0.038397,2
0.038397,2
0.039204,2
0.039204,2
0.039204,2
0.039204,2
0.040075,2
0.040075,2
0.040075,2
0.040075,2
0.040882,2
0.040882,2
0.040882,2
0.040882,2
0.040882,2
0.04177,2
0.04177,2
0.04177,2
0.04177,2
0.04177,2
0.042552,2
0.042552,2
0.042552,2
0.042552,2
0.042552,2
0.042552,2
0.043344,2
0.043344,2
0.043344,2
0.043344,2
0.043344,2
0.043344,2
0.044189,2
0.044189,2
0.044189,2
0.044189,2
0.044189,2
0.044992,2
0.044992,2
0.044992,2
0.044992,2
0.044992,2
0.044992,2
0.045881,2
0.045881,2
0.045881,2
0.045881,2
0.045881,2
0.04664,2
0.04664,2
0.04664,2
0.04664,2
0.04664,2
0.04741,3
0.04741,2
0.04741,2
0.04741,2
0.04741,2
0.048233,2
0.048233,2
0.048233,2
0.048233,2
0.04903,2
0.04903,2
0.04903,2
0.04903,2
0.050011,2
0.050011,2
0.050011,2
0.050011,2
0.051002,2
0.051002,2
0.051002,2
0.051002,2
0.05179,2
0.05179,2
0.05179,2
0.05179,2
0.05179,2
0.052632,2
0.052632,2
0.052632,2
0.052632,2
0.052632,2
0.053486,2
0.053486,2
0.053486,2
0.053486,2
0.054289,2
0.054289,2
0.054289,2
0.054289,2
0.055101,2
0.055101,2
0.055101,2
0.055101,2
0.055928,2
0.055928,2
0.055928,2
0.055928,2
0.056788,2
0.056788,2
0.056788,2
0.056788,2
0.056788,2
0.057562,2
0.057562,2
0.057562,2
0.057562,2
0.057562,2
0.058475,2
0.058475,2
0.058475,2
0.058475,2
0.058475,2
0.059262,2
0.059262,2
0.059262,2
0.059262,2
0.059262,2
0.060071,2
0.060071,2
0.060071,2
0.060071,2
0.060847,2
0.060847,2
0.060847,2
0.060847,2
0.060847,2
0.060847,2
0.061899,2
0.061899,2
0.061899,2
0.061899,2
0.062705,2
0.062705,2
0.062705,2
0.062705,2
0.062705,2
0.062705,2
0.063489,2
0.063489,2
0.063489,2
0.063489,2
0.063489,2
0.063489,2
0.064555,2
0.064555,2
0.064555,2
0.064555,2
0.064555,2
0.065777,2
0.065777,2
0.065777,2
0.065777,2
0.065777,2
0.066595,2
0.066595,2
0.066595,2
0.066595,2
0.066595,2
0.06736,2
0.06736,2
0.06736,2
0.06736,2
0.06736,2
0.068142,2
0.068142,2
0.068142,2
0.068142,2
0.068142,2
0.068142,2
0.068142,2
0.068142,2
0.069481,2
0.069481,2
0.069481,2
0.069481,2
0.069481,1
0.07044,2
0.07044,2
0.07044,2
0.07044,2
0.07044,2
0.07044,2
0.07044,2
0.071602,2
0.071602,2
0.071602,2
0.072464,2
0.072464,2
0.072464,2
0.072464,2
0.072464,2
0.072464,1
0.073221,2
0.073221,2
0.073221,2
0.073221,2
0.073221,2
0.073221,1
0.073981,2
0.073981,2
0.073981,2
0.073981,2
0.073981,2
0.073981,2
0.073981,2
0.073981,1
0.074759,2
0.074759,2
0.075674,2
0.075674,2
0.075674,2
0.076504,2
0.076504,2
0.076504,2
0.076504,2
0.076504,2
0.076504,2
0.076504,2
0.076504,2
0.07757,2
0.07757,2
0.07757,2
0.07757,2
0.07757,2
0.07757,2
0.07757,2
0.07757,2
0.078393,2
0.078393,2
0.078393,2
0.078393,2
0.078393,2
0.078393,1
0.079288,2
0.079288,2
0.079288,2
0.079288,2
0.079288,1
0.080065,2
0.080065,2
0.080065,2
0.080915,2
0.080915,2
0.080915,2
0.080915,2
0.080915,2
0.080915,2
0.081926,2
0.081926,2
0.081926,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.082678,2
0.083447,2
0.083447,2
0.083447,2
0.083447,2
0.083447,2
0.083447,2
0.083447,2
0.083447,1
0.084207,2
0.084207,2
0.084207,2
0.084207,2
0.084207,2
0.084207,2
0.0856,2
0.0856,2
0.0856,2
0.0856,2
0.0856,1
0.086751,2
0.086751,2
0.086751,2
0.086751,1
0.087896,2
0.087896,2
0.087896,2
0.087896,2
0.087896,1
0.088913,2
0.088913,2
0.088913,2
0.088913,2
0.088913,2
0.088913,1
0.090268,2
0.090268,2
0.090268,1
0.091145,2
0.091145,2
0.091145,2
0.091145,1
0.092002,2
0.092002,2
0.092002,2
0.092002,2
0.092002,1
0.093169,2
0.093169,2
0.093169,2
0.093169,2
0.093169,1
0.093946,2
0.093946,2
0.093946,2
0.093946,2
0.093946,2
0.093946,2
0.093946,2
0.093946,2
0.094984,2
0.094984,2
0.094984,2
0.094984,2
0.094984,2
0.095803,2
0.095803,2
0.095803,2
0.095803,2
0.095803,2
0.096595,2
0.096595,2
0.096595,2
0.096595,2
0.096595,2
0.09735,2
0.09735,2
0.09735,2
0.09735,2
0.09735,2
0.09735,2
0.09735,2
0.098424,2
0.098424,2
0.098424,2
0.098424,2
0.099237,2
0.099237,2
0.099237,2
0.099237,2
0.099237,2
0.100024,2
0.100024,2
0.100024,2
0.100024,2
0.100024,2
0.100024,2
0.100852,2
0.100852,2
0.100852,2
0.100852,2
0.100852,2
0.100852,2
0.100852,2
0.10163,2
0.10163,2
0.10163,2
0.10163,2
0.10163,2
0.102388,2
0.102388,2
0.102388,2
0.102388,2
0.102388,2
0.102388,2
0.10329,2
0.10329,2
0.10329,2
0.10329,2
0.10329,2
0.104071,2
0.104071,2
0.104071,2
0.104071,2
0.104071,2
0.104071,2
0.104995,2
0.104995,2
0.104995,2
0.104995,2
0.104995,2
0.104995,2
0.105857,3
0.105857,3
0.105857,3
0.105857,3
0.105857,3
0.105857,2
0.10667,3
0.10667,3
0.10667,3
0.10667,3
0.10667,3
0.10667,2
0.107611,3
0.107611,3
0.107611,3
0.107611,2
0.108381,3
0.108381,3
0.108381,3
0.108381,2
0.109182,3
0.109182,3
0.109182,3
0.109182,3
0.109182,2
0.109988,3
0.109988,3
0.109988,3
0.109988,3
0.109988,3
0.109988,2
0.110931,3
0.110931,3
0.110931,3
0.110931,3
0.110931,3
0.110931,2
0.111931,3
0.111931,3
0.111931,3
0.111931,3
0.111931,2
0.112726,3
0.112726,3
0.112726,3
0.112726,3
