frame,value
0,0.01889287
0,0.0166305
0,0.01427075
0.001086,0.01801671
0.001086,0.01439928
0.00214,0.01763535
0.00214,0.01458709
0.00348,0.01633
0.00348,0.01276921
0.004702,0.01628017
0.004702,0.01559624
0.004702,0.01064779
0.005796,0.0164634
0.005796,0.0156556
0.005796,0.009791231
0.00712,0.0158927
0.00712,0.01517918
0.00712,0.00947619
0.007986,0.01639797
0.007986,0.01525924
0.007986,0.00923318
0.009004,0.01614616
0.009004,0.01503105
0.009004,0.009147883
0.00982,0.01657944
0.00982,0.01517021
0.00982,0.008945375
0.010798,0.01607987
0.010798,0.01519235
0.010798,0.008850255
0.011627,0.01679026
0.011627,0.01500057
0.011627,0.008498768
0.012409,0.01603928
0.012409,0.01502258
0.012409,0.008789769
0.013239,0.01675458
0.013239,0.01582708
0.013239,0.008601575
0.01403,0.01715394
0.01403,0.01579516
0.01403,0.008540253
0.014804,0.01581918
0.014804,0.01451611
0.014804,0.01381723
0.014804,0.009184338
0.015826,0.01573763
0.015826,0.01461507
0.015826,0.009277913
0.016604,0.01650326
0.016604,0.01400231
0.016604,0.01379294
0.016604,0.009021512
0.017493,0.01697266
0.017493,0.01465934
0.017493,0.01367197
0.017493,0.009564332
0.018271,0.0169134
0.018271,0.01422258
0.018271,0.01383671
0.018271,0.01000973
0.019118,0.01727176
0.019118,0.01476324
0.019118,0.009881225
0.020217,0.01503948
0.020217,0.01368144
0.020217,0.01331009
0.020217,0.01093874
0.021341,0.01532441
0.021341,0.01332909
0.021341,0.01309237
0.021341,0.01148714
0.022408,0.01494932
0.022408,0.01338106
0.022408,0.01181175
0.023387,0.01532604
0.023387,0.01271424
0.023387,0.01197837
0.024247,0.01693921
0.024247,0.01530447
0.024247,0.01329881
0.024247,0.01314015
0.025266,0.0154401
0.025266,0.014315
0.025266,0.01365592
0.025266,0.01250295
0.026104,0.01518379
0.026104,0.01411452
0.026104,0.0134574
0.026104,0.01225705
0.02692,0.01511153
0.02692,0.0143028
0.02692,0.01414751
0.02692,0.01315692
0.02692,0.01255119
0.027748,0.01509269
0.027748,0.01480748
0.027748,0.01408635
0.027748,0.01390421
0.027748,0.01288957
0.028671,0.01504128
0.028671,0.01414193
0.028671,0.01360196
0.028671,0.0131672
0.028671,0.01307539
0.029694,0.01589359
0.029694,0.01509019
0.029694,0.01385687
0.029694,0.01242652
0.030462,0.0163277
0.030462,0.01561478
0.030462,0.01145053
0.031212,0.01579898
0.031212,0.01414386
0.031212,0.01387749
0.031212,0.01233752
0.032609,0.0156625
0.032609,0.01476466
0.032609,0.0142909
0.032609,0.01069765
0.033388,0.01578827
0.033388,0.01450524
0.033388,0.01398267
0.033388,0.01074503
0.034308,0.0157963
0.034308,0.01452012
0.034308,0.01423645
0.034308,0.01077488
0.035137,0.01583163
0.035137,0.01440473
0.035137,0.01419588
0.035137,0.01143113
0.036344,0.01570597
0.036344,0.01486492
0.036344,0.01420763
0.036344,0.01139504
0.037226,0.01690968
0.037226,0.01470988
0.037226,0.01434299
0.037226,0.01188903
0.038397,0.01774883
0.038397,0.01656147
0.038397,0.01600412
0.038397,0.01516338
0.039204,0.02042106
0.039204,0.01894003
0.039204,0.01862098
0.039204,0.01154538
0.040075,0.01890376
0.040075,0.0173943
0.040075,0.01707732
0.040075,0.0109719
0.040882,0.01804656
0.040882,0.01702797
0.040882,0.01669563
0.040882,0.01613894
0.040882,0.01023885
0.04177,0.01812565
0.04177,0.0178737
0.04177,0.01715747
0.04177,0.01657727
0.04177,0.007865929
0.042552,0.01809456
0.042552,0.01761661
0.042552,0.01664487
0.042552,0.01462227
0.042552,0.01435031
0.042552,0.008719552
0.043344,0.01901084
0.043344,0.01868313
0.043344,0.01786365
0.043344,0.01700414
0.043344,0.01658178
0.043344,0.0099862
0.044189,0.02038583
0.044189,0.01990755
0.044189,0.01895719
0.044189,0.01839921
0.044189,0.009007537
0.044992,0.01986079
0.044992,0.01850255
0.044992,0.01796606
0.044992,0.0156671
0.044992,0.01590564
0.044992,0.01159679
0.045881,0.01757524
0.045881,0.01705158
0.045881,0.01584961
0.045881,0.01523912
0.045881,0.01144269
0.04664,0.01747737
0.04664,0.01626297
0.04664,0.01585301
0.04664,0.01502783
0.04664,0.01064531
0.04741,0.01798443
0.04741,0.01776561
0.04741,0.01701829
0.04741,0.01905758
0.04741,0.01221091
0.048233,0.01723834
0.048233,0.015622
0.048233,0.01660642
0.048233,0.01103601
0.04903,0.01738216
0.04903,0.01658581
0.04903,0.01605733
0.04903,0.01612756
0.050011,0.01679602
0.050011,0.01518093
0.050011,0.01559912
0.050011,0.01970467
0.051002,0.01699156
0.051002,0.01576159
0.051002,0.0153002
0.051002,0.01569095
0.05179,0.01753554
0.05179,0.01627552
0.05179,0.01628412
0.05179,0.01845061
0.05179,0.01222412
0.052632,0.01864556
0.052632,0.01822566
0.052632,0.01580296
0.052632,0.01539862
0.052632,0.01054479
0.053486,0.01814331
0.053486,0.01655556
0.053486,0.01579718
0.053486,0.008477872
0.054289,0.01784102
0.054289,0.01657406
0.054289,0.01581243
0.054289,0.008214844
0.055101,0.01752037
0.055101,0.01571693
0.055101,0.01526473
0.055101,0.01149602
0.055928,0.01709038
0.055928,0.01484144
0.055928,0.01426448
0.055928,0.007382439
0.056788,0.01604598
0.056788,0.01466283
0.056788,0.01405359
0.056788,0.01315332
0.056788,0.006386272
0.057562,0.01542866
0.057562,0.01521454
0.057562,0.01366279
0.057562,0.01334016
0.057562,0.006216646
0.058475,0.0141821
0.058475,0.01319295
0.058475,0.01279605
0.058475,0.01168118
0.058475,0.005139851
0.059262,0.01409623
0.059262,0.01380145
0.059262,0.0124082
0.059262,0.01210363
0.059262,0.004872161
0.060071,0.01287032
0.060071,0.01118276
0.060071,0.01098673
0.060071,0.005019832
0.060847,0.01193309
