frame,value
0,0
1,2016
2,2796
3,3899
4,3483
5,4968
6,4920
7,6137
8,2707
9,1979
10,1646
11,1810
12,2947
13,2050
14,1491
15,1983
16,1347
17,493
18,516
19,490
20,517
21,401
22,240
23,148
24,740
25,474
26,345
27,392
28,350
29,346
30,380
31,358
33,496
34,402
35,247
36,264
37,268
38,298
39,280
40,175
41,270
42,155
43,257
44,166
45,346
46,156
47,146
49,253
50,294
52,165
54,171
55,152
56,162
58,161
59,144
60,150
61,138
62,149
64,164
66,162
67,153
69,162
71,173
72,148
73,162
74,246
76,248
77,149
79,166
80,156
82,155
84,166
85,708
86,572
87,355
88,338
89,342
90,252
91,829
92,1100
93,1214
94,522
95,531
96,644
97,1018
98,502
99,646
100,605
101,390
102,848
103,397
104,384
105,488
106,287
107,379
108,376
109,269
110,287
111,379
112,367
113,516
114,343
115,330
116,266
117,260
118,455
119,369
120,473
121,374
122,378
123,898
124,419
125,642
126,567
127,968
128,5252
129,10162
130,5848
131,4426
132,3554
133,676
134,972
135,554
136,429
137,1058
138,444
139,453
140,471
141,345
142,794
143,1138
144,631
145,733
146,954
147,623
148,511
149,476
150,459
151,613
152,770
153,434
154,345
155,446
156,257
157,280
158,289
159,664
160,262
161,255
162,349
163,744
164,2071
165,3816
166,763
167,1040
168,1153
169,359
170,349
171,244
172,240
173,234
174,866
175,452
176,398
177,551
178,479
179,430
180,318
181,1121
182,416
183,402
184,396
185,390
186,519
187,1570
188,730
189,510
190,314
191,306
192,226
193,144
194,149
195,150
197,181
199,160
200,141
201,153
203,148
204,156
207,169
210,174
211,149
213,167
214,150
216,147
217,150
220,167
221,136
223,245
225,166
228,170
229,136
231,244
233,152
236,168
237,131
240,248
