frame,value
0,0
0.001141,9.102138
0.002665,10.51919
0.004195,9.367019
0.005365,9.676578
0.006707,9.344856
0.007873,8.776065
0.009059,8.627437
0.010076,8.307569
0.011139,8.279651
0.012392,8.296685
0.013436,8.158409
0.014497,7.808147
0.015593,7.650732
0.016669,7.800415
0.017703,7.525235
0.018853,7.198351
0.019865,7.085827
0.020959,7.052475
0.022061,7.010542
0.023075,7.131214
0.024262,7.11031
0.025519,7.122485
0.026673,7.148084
0.027702,7.470594
0.028898,7.462995
0.029957,7.552446
0.031038,7.708581
0.032241,7.482763
0.033256,7.722361
0.034351,7.218427
0.0354,8.440221
0.036488,7.891335
0.037505,8.632874
0.038518,9.782636
0.039594,10.42119
0.040642,10.9281
0.041672,11.51438
0.042693,11.47789
0.043739,10.25259
0.044772,8.950006
0.045796,8.238126
0.046797,7.811361
0.04782,7.19669
0.048934,6.660969
0.049992,6.418425
0.05103,5.553245
0.05206,4.781484
0.053191,5.056286
0.054218,4.408334
0.055267,4.188051
0.056551,3.846945
0.057744,3.574063
0.058745,3.180616
0.059842,2.970624
0.060949,2.818789
0.061975,3.077176
0.06307,3.051831
0.06425,3.045719
0.065467,3.03399
0.066553,3.216005
0.067659,3.418944
0.068795,3.359859
0.069904,3.553372
0.070907,3.764013
0.072045,3.611728
0.073138,3.905306
0.074192,3.85009
0.075236,4.335602
0.076279,4.650107
0.077281,4.554415
0.078441,4.764853
0.079488,5.392435
0.080521,4.919294
0.081613,4.984362
0.082633,4.861826
0.083649,5.337108
0.084731,5.852745
0.085746,6.084853
0.086808,7.498046
0.087841,7.375789
0.088902,7.166605
0.089971,6.596243
0.090985,5.726957
0.092111,6.205097
0.093448,4.411181
0.094461,4.292111
0.095722,2.961434
0.096835,2.671636
0.097863,2.674534
0.09887,3.331096
0.099906,2.551651
0.101063,2.499099
0.10208,2.604521
0.103207,2.548684
0.104382,2.482752
0.105433,2.580626
0.10644,2.549305
0.107587,2.608666
0.10867,2.570608
0.11033,2.80745
0.111598,2.759911
0.113116,2.828499
0.114231,2.738544
0.115352,2.651442
0.116359,2.837925
0.117661,3.116638
0.118783,4.424829
0.120453,3.688007
0.121481,4.057213
0.122979,3.865888
0.124281,4.146514
0.125674,4.690374
0.127022,4.16534
0.12806,6.354586
0.129069,6.388437
0.130138,5.205222
0.131139,4.486257
