frame,value
0,0.1298463
0,0.1786278
0,0.09597068
0.001141,0.2439099
0.001141,0.181119
0.001141,0.1046877
0.002665,0.2369539
0.002665,0.1908544
0.002665,0.08698352
0.004195,0.2066005
0.004195,0.108308
0.004195,0.07648005
0.005365,0.1111769
0.005365,0.125157
0.005365,0.1455411
0.005365,0.07547148
0.006707,0.1163523
0.006707,0.02955399
0.006707,0.09843807
0.006707,0.08362275
0.006707,0.04849418
0.007873,0.07913534
0.007873,0.06446213
0.007873,0.0556402
0.007873,0.07519554
0.007873,0.06484164
0.007873,0.05295573
0.009059,0.137096
0.009059,0.02918125
0.009059,0.109808
0.009059,0.05331698
0.010076,0.04965586
0.010076,0.07744316
0.010076,0.0952528
0.010076,0.07438988
0.010076,0.03917363
0.011139,0.1164601
0.011139,0.0378021
0.011139,0.05883092
0.011139,0.04515778
0.011139,0.1011152
0.011139,0.035115
0.012392,0.05604901
0.012392,0.05110446
0.012392,0.04457372
0.012392,0.03627212
0.012392,0.06674425
0.012392,0.03991234
0.012392,0.04583434
0.013436,0.04056106
0.013436,0.04810137
0.013436,0.06127276
0.013436,0.025741
0.013436,0.03841809
0.013436,0.04031565
0.013436,0.04655593
0.013436,0.02755523
0.014497,0.1135499
0.014497,0.02093872
0.014497,0.07172243
0.014497,0.02683662
0.014497,0.07401611
0.014497,0.01855756
0.015593,0.1081837
0.015593,0.02041236
0.015593,0.08612453
0.015593,0.02156764
0.015593,0.03566342
0.015593,0.02977108
0.015593,0.05530704
0.016669,0.02862051
0.016669,0.09656884
0.016669,0.02029067
0.016669,0.08219898
0.016669,0.02274884
0.016669,0.03820786
0.016669,0.02490717
0.017703,0.08702637
0.017703,0.02168862
0.017703,0.02951204
0.017703,0.05635325
0.017703,0.04523589
0.017703,0.02487892
0.017703,0.06438233
0.017703,0.0175152
0.018853,0.08233179
0.018853,0.02149589
0.018853,0.07807923
0.018853,0.01794006
0.018853,0.03736925
0.018853,0.04573525
0.018853,0.0534479
0.019865,0.02189954
0.019865,0.1391033
0.019865,0.01397476
0.019865,0.02119588
0.019865,0.105852
0.019865,0.01730063
0.020959,0.07459981
0.020959,0.02571995
0.020959,0.09459056
0.020959,0.02129492
0.020959,0.09340886
0.020959,0.01277373
0.022061,0.06980086
0.022061,0.01612614
0.022061,0.06501368
0.022061,0.01426365
0.022061,0.1035336
0.022061,0.0125113
0.022061,0.05498767
0.023075,0.02096526
0.023075,0.05904764
0.023075,0.01455975
0.023075,0.09788626
0.023075,0.01271678
0.023075,0.1301709
0.023075,0.01288596
0.024262,0.0438498
0.024262,0.02353704
0.024262,0.1089047
0.024262,0.0123373
0.024262,0.05248428
0.024262,0.02158109
0.024262,0.09987608
0.024262,0.01012502
0.025519,0.1027177
0.025519,0.01350893
0.025519,0.0560085
0.025519,0.01338744
0.025519,0.05927001
0.025519,0.0130709
0.025519,0.07064129
0.025519,0.01165173
0.026673,0.09177691
0.026673,0.01082077
