frame,value
0,1
0.001118,1
0.002313,1
0.00344,1
0.004467,1
0.005552,1
0.006725,1
0.008183,1
0.00925,1
0.010654,1
0.012061,1
0.013401,1
0.014483,1
0.015649,1
0.016759,1
0.017948,1
0.019011,1
0.020163,1
0.021458,1
0.022604,1
0.023668,1
0.02501,1
0.026275,1
0.027293,1
0.028323,1
0.029404,1
0.030611,1
0.031962,1
0.033293,1
0.034425,1
0.0355,1
0.03662,1
0.037814,1
0.038849,1
0.039862,1
0.040939,1
0.042007,1
0.043063,1
0.044191,1
0.045239,1
0.046276,1
0.047336,1
0.048461,1
0.049516,1
0.05063,1
0.051839,1
0.052981,1
0.054033,1
0.05514,1
0.056269,1
0.057411,1
0.058613,1
0.059794,1
0.060965,1
0.062118,1
0.063148,1
0.064161,1
0.065218,1
0.066396,1
0.067604,1
0.06862,1
0.069662,1
0.070837,1
0.071842,1
0.073005,1
0.074173,1
0.07519,1
0.076364,1
0.077371,1
0.078543,1
0.079717,1
0.080762,1
0.082076,1
0.083238,1
0.084326,1
0.085772,1
0.086835,1
0.087976,1
0.08912,1
0.090384,1
0.09158,1
0.09268,1
0.093732,1
0.09519,1
0.096277,1
0.097333,1
0.098408,1
0.099451,1
0.100499,1
0.101525,1
0.102538,1
0.103598,1
0.104668,1
0.105846,1
0.106952,1
0.108003,1
0.109045,1
0.110144,1
0.111176,1
0.112282,1
0.113396,1
0.114413,1
0.115604,1
0.116642,1
0.117678,1
0.118721,1
0.120038,1
0.121084,1
0.122386,1
0.123624,1
0.124863,1
0.125924,1
0.126982,1
0.128001,1
0.129255,1
0.130302,1
0.131342,1
0.132792,1
0.133858,1
0.134862,1
0.135868,1
0.136869,1
0.137895,1
0.138902,1
0.14009,1
0.141216,1
0.142318,1
0.143471,1
0.145018,1
0.146062,1
0.147279,1
0.148329,1
0.149371,1
0.150537,1
0.151551,1
0.152634,1
0.153671,1
0.154701,1
0.155739,1
0.1568,1
0.157821,1
0.158842,1
0.159941,1
0.161007,1
0.162033,1
0.163063,1
0.164288,1
0.165534,1
0.166537,1
0.167727,1
0.168864,1
0.170146,1
0.171287,1
0.172295,1
0.173369,1
0.174419,1
0.17544,1
0.176548,1
0.177958,1
0.179057,1
0.180183,1
0.181205,1
0.182262,1
0.183595,1
0.184814,1
0.185816,1
0.186953,1
0.188201,1
0.189306,1
0.190418,1
0.191499,1
0.192612,1
0.193683,1
0.194823,1
0.195912,1
0.196945,1
0.197948,1
0.198954,1
0.200009,1
0.20118,1
0.202539,1
0.203975,1
0.204996,1
0.206595,1
0.207658,1
0.208676,1
0.209688,1
0.211318,1
0.212377,1
0.213381,1
0.214429,1
0.215434,1
0.216461,1
0.217479,1
0.219124,1
0.220162,1
0.221423,1
0.22248,1
0.223734,1
0.225006,1
0.226031,1
0.22711,1
0.228134,1
0.229156,1
0.230405,1
0.231446,1
0.232462,1
0.233481,1
0.234553,1
0.235688,1
0.236721,1
0.23774,1
0.238781,1
0.239826,1
0.240864,1
0.241944,1
0.242965,1
0.244008,1
0.245055,1
0.246211,1
0.247279,1
0.248358,1
0.249703,1
0.250769,1
0.251811,1
0.252941,1
0.253969,1
0.255079,1
0.256219,1
0.257259,1
0.258267,1
0.259299,1
0.260341,1
0.261545,1
0.262756,1
0.263942,1
0.265085,1
0.266105,1
0.267201,1
0.268233,1
0.269428,1
0.270526,1
0.271604,1
0.272765,1
0.273792,1
0.27486,1
0.275938,1
0.276984,1
0.278102,1
0.279259,1
0.280518,1
0.282023,1
0.283402,1
0.284653,1
0.287242,1
0.288974,1
0.290336,1
0.291467,1
0.293293,1
0.295027,1
0.297301,1
0.298546,1
0.300184,1
0.302945,1
0.304573,1
0.307425,1
0.309793,1
0.31301,1
0.314124,1
0.315142,1
0.317057,1
0.319175,1
0.322548,1
0.325421,1
0.329022,1
0.330685,1
0.332555,1
0.335035,1
0.336792,1
0.340374,1
0.343665,1
0.345668,1
0.347883,1
0.351679,1
0.364767,1
0.380024,1
0.393058,1
0.405588,1
0.41758,1
0.42958,1
0.441375,1
0.453312,1
0.464496,1
0.47987,1
0.495016,1
0.508523,1
0.521536,1
0.533443,1
0.544484,1
0.556821,1
0.571564,1
0.584582,1
0.598895,1
0.610028,1
0.621889,1
0.639975,1
0.657283,1
0.669261,1
0.680415,1
0.69466,1
0.709149,1
0.730351,1
0.742381,1
0.755142,1
0.771048,1
0.79204,1
0.811774,1
0.830125,1
0.844495,1
0.86661,1
0.881463,1
0.904702,1
0.922477,1
0.93721,1
0.960047,1
0.977745,1
1.005811,1
1.020674,1
1.037929,1
1.054726,1
1.071404,1
1.090505,1
1.110887,1
1.126107,1
1.144503,1
1.1622,1
1.18088,1
1.200449,1
1.223469,1
1.243163,1
1.267417,1
1.279462,1
1.297469,1
1.314831,1
1.339688,1
1.362979,1
1.37637,1
1.398557,1
1.411131,1
1.425667,1
1.437297,1
1.451133,1
1.462308,1
1.475339,1
1.490135,1
1.503076,1
1.514919,1
1.52594,1
1.537366,1
1.549056,1
1.560177,1
1.574987,1
1.586586,1
1.598904,1
1.61364,1
1.627718,1
1.640674,1
1.653576,1
1.664666,1
1.679274,1
1.692378,1
1.705511,1
1.717258,1
1.72888,1
1.741021,1
1.753228,1
1.765209,1
1.77786,1
1.792498,1
1.805625,1
1.819268,1
1.832639,1
1.845208,1
1.856811,1
1.872457,1
1.886092,1
1.897531,1
1.910567,1
1.923427,1
1.936803,1
1.948053,1
1.962112,1
1.976266,1
1.988167,1
2.004369,1
2.019818,1
2.032698,1
2.043778,1
2.055978,1
2.067551,1
2.079866,1
2.091409,1
2.102549,1
2.114114,1
2.12556,1
2.136636,1
2.147768,1
2.158868,1
2.170351,1
2.181603,1
2.19312,1
2.20491,1
2.216115,1
2.227424,1
2.240035,1
2.251288,1
2.264179,1
2.276487,1
2.287962,1
2.299249,1
2.311524,1
2.325219,1
2.33647,1
2.350158,1
2.363017,1
2.374643,1
2.387369,1
2.399111,1
2.411436,1
2.423609,1
2.434824,1
2.446965,1
2.459994,1
2.472919,1
2.484396,1
2.49797,1
2.510286,1
2.524181,1
2.537801,1
2.549046,1
2.564571,1
2.57677,1
2.590079,1
2.604586,1
2.620103,1
2.632297,1
2.643862,1
2.658107,1
2.669904,1
2.683623,1
2.697492,1
2.708815,1
2.72019,1
2.732079,1
2.74325,1
2.754561,1
2.766427,1
2.779494,1
2.794013,1
2.807971,1
2.82031,1
2.832961,1
2.847359,1
2.861895,1
2.875427,1
2.889098,1
2.900397,1
2.91265,1
2.925145,1
2.939575,1
2.952671,1
2.965896,1
2.981616,1
2.993396,1
3.005499,1
3.017135,1
3.030154,1
3.042544,1
3.055427,1
3.068208,1
3.080221,1
3.092935,1
3.10517,1
3.117875,1
3.129813,1
3.142102,1
3.153271,1
3.16796,1
3.181321,1
3.195375,1
3.206484,1
3.221246,1
3.235042,1
3.246461,1
3.258583,1
3.270487,1
