frame,value
0,0.02387712
0,0.02204878
0,0.02339185
0,0.02158344
0.001051,0.02610027
0.001051,0.02690778
0.001051,0.01994801
0.002159,0.02554191
0.002159,0.02181
0.003362,0.02582726
0.003362,0.02504305
0.003362,0.02176387
0.004462,0.02586547
0.004462,0.02568676
0.004462,0.0166984
0.005533,0.02615365
0.005533,0.02617108
0.005533,0.02591511
0.005533,0.01494844
0.006784,0.0261891
0.006784,0.02598686
0.006784,0.02511504
0.006784,0.01535437
0.007937,0.02689905
0.007937,0.02618453
0.007937,0.02510524
0.007937,0.02436968
0.007937,0.01564077
0.009019,0.02636817
0.009019,0.02526989
0.009019,0.02560806
0.009019,0.02513104
0.009019,0.01576289
0.01024,0.02594055
0.01024,0.02544822
0.01024,0.02404498
0.01024,0.01458686
0.01124,0.02723869
0.01124,0.02541564
0.01124,0.0239894
0.01124,0.02328233
0.01124,0.01516093
0.012433,0.02686267
0.012433,0.02490314
0.012433,0.0239779
0.012433,0.02279951
0.012433,0.02308836
0.012433,0.01438802
0.013831,0.02593618
0.013831,0.0247144
0.013831,0.02330546
0.013831,0.02329246
0.013831,0.01496178
0.014999,0.0273471
0.014999,0.02515756
0.014999,0.02313744
0.014999,0.02297277
0.014999,0.02250055
0.014999,0.01661704
0.016453,0.02572375
0.016453,0.02416576
0.016453,0.02360964
0.016453,0.02293078
0.016453,0.02260943
0.016453,0.02196642
0.016453,0.01775965
0.017456,0.02695088
0.017456,0.0256547
0.017456,0.02375544
0.017456,0.0222175
0.017456,0.02164217
0.017456,0.01815148
0.018488,0.02455395
0.018488,0.02144233
0.018488,0.02177549
0.018488,0.02137878
0.018488,0.02105645
0.018488,0.01882863
0.019578,0.0261869
0.019578,0.02280011
0.019578,0.02261192
0.019578,0.02082113
0.019578,0.02074664
0.019578,0.02051428
0.019578,0.01839096
0.02074,0.02397879
0.02074,0.02250508
0.02074,0.02147704
0.02074,0.02106095
0.02074,0.0208569
0.02074,0.01748174
0.021838,0.0237537
0.021838,0.02186039
0.021838,0.0207678
0.021838,0.01993268
0.021838,0.01980196
0.021838,0.0171148
0.022971,0.02297728
0.022971,0.01950028
0.022971,0.02046549
0.022971,0.01949081
0.022971,0.01738844
0.02398,0.02397106
0.02398,0.02234356
0.02398,0.0194663
0.02398,0.01998397
0.02398,0.01906659
0.02398,0.01766678
0.025006,0.02402849
0.025006,0.02161309
0.025006,0.02026478
0.025006,0.0201059
0.025006,0.01828203
0.026188,0.02258387
0.026188,0.01956673
0.026188,0.01951743
0.026188,0.01942738
0.026188,0.0191325
0.026188,0.01869188
0.027548,0.02264847
0.027548,0.01975643
0.027548,0.02014843
0.027548,0.01917972
0.027548,0.01915012
0.027548,0.01853501
0.02883,0.02211417
0.02883,0.02096397
0.02883,0.0202516
0.02883,0.01922343
0.02883,0.01911434
0.02883,0.01728886
0.030037,0.02225444
0.030037,0.01965984
0.030037,0.01979444
0.030037,0.02002951
0.030037,0.01954489
0.030037,0.01696478
0.031348,0.02184967
0.031348,0.02003201
0.031348,0.01991668
0.031348,0.01951458
0.031348,0.01927774
0.031348,0.01748805
0.032498,0.02170828
0.032498,0.02027475
0.032498,0.02014207
0.032498,0.020219
0.032498,0.01844124
0.03351,0.0228543
0.03351,0.02111779
0.03351,0.02094193
0.03351,0.02087875
0.03351,0.02088319
0.03351,0.02081122
0.03351,0.0195371
0.034568,0.0232865
0.034568,0.02267609
0.034568,0.02170801
0.034568,0.02167278
0.034568,0.02154967
0.034568,0.02150623
0.034568,0.02024686
0.035842,0.02233147
0.035842,0.0224751
0.035842,0.02254668
0.035842,0.02247376
0.035842,0.02249837
0.035842,0.02106354
0.03686,0.02368318
0.03686,0.0233042
0.03686,0.02309447
0.03686,0.02306069
0.03686,0.02300876
0.03686,0.02115774
0.037981,0.02408532
0.037981,0.02337242
0.037981,0.02336439
0.037981,0.02299929
0.037981,0.02300442
0.037981,0.02153955
0.03912,0.02372667
0.03912,0.02331347
0.03912,0.02305643
0.03912,0.02287193
0.03912,0.02266847
0.03912,0.02222783
0.03912,0.02214535
0.03912,0.02021966
0.040291,0.02356922
0.040291,0.02290481
0.040291,0.02279779
0.040291,0.02266081
0.040291,0.0224691
0.040291,0.0223605
0.040291,0.01840821
0.041296,0.02542369
0.041296,0.02449602
0.041296,0.02385488
0.041296,0.023585
0.041296,0.02329087
0.041296,0.02225733
0.041296,0.0220852
0.041296,0.02197356
0.041296,0.01682874
0.042391,0.02507704
0.042391,0.02221055
0.042391,0.02214371
0.042391,0.0222886
0.042391,0.02274459
0.042391,0.02317573
0.042391,0.0238302
0.042391,0.0182786
0.043526,0.02353907
0.043526,0.0260567
0.043526,0.02530611
0.043526,0.02678025
0.043526,0.02717538
0.043526,0.0278664
0.043526,0.0194265
0.044561,0.02609294
0.044561,0.02599213
0.044561,0.02825508
0.044561,0.02846711
0.044561,0.0294945
0.044561,0.03003001
0.044561,0.03029652
0.044561,0.03038901
0.044561,0.02110535
0.045733,0.02729002
0.045733,0.02901174
0.045733,0.02811762
0.045733,0.03018751
0.045733,0.03081289
0.045733,0.03133662
0.045733,0.02169911
0.046755,0.02831295
0.046755,0.0280618
0.046755,0.02921402
0.046755,0.03178636
0.046755,0.03223429
0.046755,0.0317568
0.046755,0.02190249
0.047841,0.02928183
0.047841,0.02858513
0.047841,0.02965265
0.047841,0.0312905
0.047841,0.03280537
0.047841,0.03306803
0.047841,0.03386701
0.047841,0.02147339
