frame,value
0,35
0,58
0,64
0,66
0,34
0.001321,70
0.001321,69
0.001321,27
0.002323,69
0.002323,67
0.002323,67
0.002323,32
0.003563,70
0.003563,67
0.003563,65
0.003563,65
0.003563,26
0.00459,67
0.00459,65
0.00459,64
0.00459,63
0.00459,29
0.005765,66
0.005765,65
0.005765,65
0.005765,63
0.005765,65
0.005765,64
0.005765,29
0.006935,64
0.006935,65
0.006935,64
0.006935,64
0.006935,65
0.006935,64
0.006935,28
0.007974,66
0.007974,66
0.007974,69
0.007974,65
0.007974,66
0.007974,69
0.007974,28
0.009044,65
0.009044,64
0.009044,70
0.009044,62
0.009044,69
0.009044,61
0.009044,65
0.009044,26
0.010097,64
0.010097,62
0.010097,69
0.010097,59
0.010097,65
0.010097,64
0.010097,66
0.010097,65
0.010097,30
0.011217,66
0.011217,67
0.011217,66
0.011217,67
0.011217,65
0.011217,64
0.011217,30
0.012466,63
0.012466,64
0.012466,64
0.012466,64
0.012466,63
0.012466,63
0.012466,63
0.012466,29
0.013695,65
0.013695,63
0.013695,63
0.013695,62
0.013695,62
0.013695,61
0.013695,62
0.013695,27
0.014805,62
0.014805,60
0.014805,62
0.014805,61
0.014805,61
0.014805,61
0.014805,60
0.014805,26
0.015837,61
0.015837,59
0.015837,61
0.015837,60
0.015837,61
0.015837,61
0.015837,61
0.015837,28
0.017018,62
0.017018,63
0.017018,63
0.017018,63
0.017018,63
0.017018,63
0.017018,63
0.017018,26
0.018081,63
0.018081,62
0.018081,62
0.018081,63
0.018081,63
0.018081,61
0.018081,61
0.018081,29
0.019295,62
0.019295,64
0.019295,63
0.019295,63
0.019295,61
0.019295,62
0.019295,62
0.019295,28
0.020405,65
0.020405,64
0.020405,62
0.020405,64
0.020405,63
0.020405,63
0.020405,62
0.020405,64
0.020405,62
0.020405,30
0.021562,67
0.021562,67
0.021562,66
0.021562,61
0.021562,61
0.021562,62
0.021562,62
0.021562,30
0.022621,69
0.022621,67
0.022621,67
0.022621,65
0.022621,65
0.022621,66
0.022621,66
0.022621,30
0.023724,69
0.023724,68
0.023724,69
0.023724,69
0.023724,69
0.023724,67
0.023724,71
0.023724,30
0.024746,69
0.024746,64
0.024746,67
0.024746,69
0.024746,67
0.024746,65
0.024746,67
0.024746,31
0.02576,76
0.02576,66
0.02576,71
0.02576,66
0.02576,74
0.02576,66
0.02576,72
0.02576,65
0.02576,69
0.02576,31
0.026811,65
0.026811,63
0.026811,64
0.026811,67
0.026811,68
0.026811,69
0.026811,68
0.026811,35
0.027924,66
0.027924,64
0.027924,68
0.027924,67
0.027924,66
0.027924,67
0.027924,70
0.027924,68
0.027924,33
0.028928,63
0.028928,64
0.028928,65
0.028928,66
0.028928,66
0.028928,66
0.028928,67
0.028928,67
0.028928,67
0.028928,67
0.028928,67
0.028928,31
0.029928,63
0.029928,63
0.029928,64
0.029928,64
0.029928,66
0.029928,66
0.029928,66
0.029928,66
