frame,value
0,0.004
0.001037,0.004
0.002163,0.004
0.00337,0.004
0.004453,0.004
0.00551,0.004
0.00677,0.004
0.0079,0.004
0.008933,0.004
0.010255,0.004
0.011373,0.004
0.012548,0.004
0.013598,0.004
0.014928,0.004
0.015993,0.004
0.017009,0.004
0.018116,0.004
0.019154,0.004
0.020352,0.004
0.021601,0.004
0.022605,0.004
0.02383,0.004
0.025037,0.004
0.026072,0.004
0.027084,0.004
0.028171,0.004
0.029387,0.004
0.030439,0.004
0.031633,0.004
0.032796,0.004
0.0338,0.004
0.034866,0.004
0.035963,0.004
0.037093,0.004
0.038322,0.004
0.039639,0.004
0.040661,0.004
0.04168,0.004
0.042692,0.004
0.043713,0.004
0.044793,0.004
0.045996,0.004
0.047026,0.004
0.048032,0.004
0.049111,0.004
0.050144,0.004
0.051156,0.004
0.052182,0.004
0.05331,0.004
0.054319,0.004
0.055362,0.004
0.056499,0.004
0.057507,0.004
0.058701,0.004
0.059878,0.004
0.060882,0.004
0.061893,0.004
0.062909,0.004
0.063964,0.004
0.065028,0.004
0.066043,0.004
0.067244,0.004
0.068262,0.004
0.069269,0.004
0.070289,0.004
0.071319,0.004
0.072377,0.004
0.073552,0.004
0.074553,0.004
0.075762,0.004
0.077013,0.004
0.078019,0.004
0.079152,0.004
0.080384,0.004
0.081603,0.004
0.082677,0.004
0.083872,0.004
0.085172,0.004
0.086322,0.004
0.087376,0.004
0.088425,0.004
0.089477,0.004
0.090664,0.004
0.092019,0.004
0.093309,0.004
0.094346,0.004
0.095792,0.004
0.097039,0.004
0.098577,0.004
0.099597,0.004
0.100848,0.004
0.101853,0.004
0.102969,0.004
0.103993,0.004
0.105012,0.004
0.106102,0.004
0.107319,0.004
0.10839,0.004
0.109449,0.004
0.110507,0.004
0.11155,0.004
0.112582,0.004
0.113619,0.004
0.114845,0.004
0.115903,0.004
0.117168,0.004
0.118203,0.004
0.119237,0.004
0.120299,0.004
0.121305,0.004
0.122435,0.004
0.123532,0.004
0.124759,0.004
0.12579,0.004
0.126821,0.004
0.127879,0.004
0.128988,0.004
0.130181,0.004
0.131235,0.004
0.132277,0.004
0.133342,0.004
0.134941,0.004
0.136067,0.004
0.137255,0.004
0.13856,0.004
0.13959,0.004
0.140637,0.004
0.141719,0.004
0.142834,0.004
0.144035,0.004
0.145369,0.004
0.146425,0.004
0.14753,0.004
0.149399,0.004
0.150486,0.004
0.151611,0.004
0.152852,0.004
0.15389,0.004
0.155469,0.004
0.156551,0.004
0.157593,0.004
0.158676,0.004
0.160031,0.004
0.161171,0.004
0.162221,0.004
0.163255,0.004
0.164488,0.004
0.165716,0.004
0.166763,0.004
0.167841,0.004
0.168892,0.004
0.169973,0.004
0.171007,0.004
0.172091,0.004
0.173174,0.004
0.174328,0.004
0.175353,0.004
0.17667,0.004
0.177692,0.004
0.178844,0.004
0.179871,0.004
0.180929,0.004
0.182043,0.004
0.183149,0.004
0.184363,0.004
0.185524,0.004
0.186716,0.004
0.187717,0.004
0.188851,0.004
0.189929,0.004
0.190959,0.004
0.191986,0.004
0.193076,0.004
0.194155,0.004
0.19536,0.004
0.196379,0.004
0.197414,0.004
0.198464,0.004
0.199676,0.004
0.200871,0.004
0.201928,0.004
0.202943,0.004
0.204279,0.004
0.205327,0.004
0.206764,0.004
0.20787,0.004
0.209282,0.004
0.210373,0.004
0.211448,0.004
0.212469,0.004
0.213485,0.004
0.214694,0.004
0.215813,0.004
0.216911,0.004
0.217957,0.004
0.219126,0.004
0.220205,0.004
0.221319,0.004
0.222345,0.004
0.223472,0.004
0.22451,0.004
0.22555,0.004
0.226646,0.004
0.227654,0.004
0.228895,0.004
0.230002,0.004
0.231136,0.004
0.232303,0.004
0.233311,0.004
0.234346,0.004
0.235554,0.004
0.236693,0.004
0.237705,0.004
0.238888,0.004
0.239935,0.004
0.241066,0.004
0.242087,0.004
0.243342,0.004
0.244392,0.004
0.245465,0.004
0.246591,0.004
0.247801,0.004
0.248823,0.004
0.249873,0.004
0.250901,0.004
0.252166,0.004
0.253295,0.004
0.254308,0.004
0.255476,0.004
0.256485,0.004
0.257493,0.004
0.258901,0.004
0.259971,0.004
0.261095,0.004
0.262158,0.004
0.263317,0.004
0.264321,0.004
0.26567,0.004
0.266886,0.004
0.268086,0.004
0.269143,0.004
0.270221,0.004
0.271246,0.004
0.27228,0.004
0.27339,0.004
0.274517,0.004
0.275647,0.004
0.276868,0.004
0.278038,0.004
0.279181,0.004
0.280664,0.004
0.281999,0.004
0.283291,0.004
0.284438,0.004
0.285926,0.004
0.288081,0.004
0.289967,0.004
0.291627,0.004
0.293229,0.004
0.294581,0.004
0.297103,0.004
0.299158,0.004
0.30065,0.004
0.302939,0.004
0.305894,0.004
0.308358,0.004
0.310075,0.004
0.31208,0.004
0.315546,0.004
0.318677,0.004
0.32013,0.004
0.322777,0.004
0.324473,0.004
0.32819,0.004
0.331674,0.004
0.334374,0.004
0.338325,0.004
0.34035,0.004
0.343011,0.004
0.346157,0.004
0.348912,0.004
0.351771,0.05
0.364683,0.05
0.377895,0.05
0.390459,0.05
0.406167,0.05
0.421793,0.05
0.435758,0.05
0.449896,0.05
0.464486,0.05
0.482566,0.05
0.496774,0.05
0.510534,0.05
0.525489,0.05
0.542245,0.05
0.561137,0.05
0.578959,0.05
0.594475,0.05
0.612448,0.05
0.626862,0.05
0.639816,0.05
0.654635,0.05
0.667634,0.05
0.69068,0.05
0.704308,0.05
0.721191,0.05
0.734633,0.05
0.749761,0.05
0.771017,0.05
0.789023,0.05
0.810208,0.05
0.836189,0.05
0.850816,0.05
0.863958,0.05
0.881742,0.05
0.904797,0.05
0.928086,0.05
0.946628,0.05
0.969975,0.05
0.99178,0.05
1.005084,0.05
1.025113,0.05
1.043753,0.05
1.066825,0.05
1.084611,0.05
1.106503,0.05
1.120202,0.05
1.137835,0.05
1.152395,0.05
1.174588,0.05
1.198617,0.05
1.214809,0.05
1.228238,0.05
1.248078,0.05
1.263122,0.05
1.288382,0.05
1.309131,0.05
1.326295,0.05
1.344107,0.05
1.361208,0.05
1.385042,0.05
1.402676,0.05
1.416938,0.05
1.431277,0.05
1.445587,0.05
1.458541,0.05
1.472104,0.05
1.485545,0.05
1.4983,0.05
1.511867,0.05
1.524938,0.05
1.539073,0.05
1.551702,0.05
1.564764,0.05
1.578262,0.05
1.592179,0.05
1.605762,0.05
1.618432,0.05
1.6317,0.05
1.64586,0.05
1.660786,0.05
1.67799,0.05
1.691012,0.05
1.705861,0.05
1.72026,0.05
1.733784,0.05
1.750453,0.05
1.76861,0.05
1.784501,0.05
1.79759,0.05
1.810417,0.05
1.825939,0.05
1.841029,0.05
1.854753,0.05
1.867739,0.05
1.880656,0.05
1.894185,0.05
1.90796,0.05
1.925015,0.05
1.942743,0.05
1.958349,0.05
1.973111,0.05
1.988615,0.05
2.00127,0.05
2.017923,0.05
2.034316,0.05
2.050741,0.05
2.064151,0.05
2.078941,0.05
2.092653,0.05
2.107803,0.05
2.122094,0.05
2.134799,0.05
2.147476,0.05
2.160064,0.05
2.173076,0.05
2.186137,0.05
2.199633,0.05
2.212264,0.05
2.225458,0.05
2.238763,0.05
2.252574,0.05
2.267027,0.05
2.280902,0.05
2.293857,0.05
2.307947,0.05
2.321815,0.05
2.335776,0.05
2.349302,0.05
2.361936,0.05
2.375789,0.05
2.389957,0.05
2.402882,0.05
2.415948,0.05
2.431931,0.05
2.447018,0.05
2.459528,0.05
2.472632,0.05
2.487754,0.05
2.503138,0.05
2.51722,0.05
2.530474,0.05
2.54524,0.05
2.557994,0.05
2.570779,0.05
2.586432,0.05
2.601138,0.05
2.619467,0.05
2.638255,0.05
2.652201,0.05
2.665582,0.05
2.6805,0.05
2.694154,0.05
2.706692,0.05
2.719682,0.05
2.732435,0.05
2.745465,0.05
2.758511,0.05
2.771297,0.05
2.783842,0.05
2.797931,0.05
2.811708,0.05
2.826814,0.05
2.840941,0.05
2.854395,0.05
2.869582,0.05
2.886614,0.05
2.900323,0.05
2.916369,0.05
2.930207,0.05
2.943678,0.05
2.960061,0.05
2.976095,0.05
2.990785,0.05
3.004909,0.05
3.019556,0.05
3.032315,0.05
3.046248,0.05
3.059063,0.05
3.074097,0.05
3.088006,0.05
3.101267,0.05
3.114584,0.05
3.129183,0.05
3.142483,0.05
3.155613,0.05
3.169963,0.05
3.186698,0.05
3.204189,0.05
3.22033,0.05
3.234122,0.05
3.258715,0.05
3.280221,0.05
3.300428,0.05
3.31332,0.05
3.327816,0.05
3.349766,0.05
3.375162,0.05
3.390794,0.05
3.411831,0.05
3.440728,0.05
3.490728,0.05
3.527929,0.05
3.577929,0.05
3.625349,0.05
3.660879,0.05
3.681108,0.05
3.707294,0.05
