frame,value
0,9.867671e-07
0,9.742923e-07
0.001285,9.854435e-07
0.001285,9.89056e-07
0.003447,9.949688e-07
0.003447,9.902911e-07
0.007447,9.882555e-07
0.007447,9.486013e-07
0.008655,9.790535e-07
0.008655,9.845144e-07
0.010866,9.918934e-07
0.010866,9.803863e-07
0.012959,9.883934e-07
0.012959,9.750577e-07
0.014471,9.846476e-07
0.014471,9.746288e-07
0.016192,9.866326e-07
0.016192,9.702135e-07
0.018929,9.864086e-07
0.018929,9.932676e-07
0.018929,9.974278e-07
0.02151,9.777905e-07
0.02151,9.932247e-07
0.023509,9.815315e-07
0.023509,9.849961e-07
0.023509,9.520149e-07
0.026222,9.418647e-07
0.026222,9.878607e-07
0.026222,9.98386e-07
0.027366,9.905521e-07
0.027366,9.828899e-07
0.027366,9.952212e-07
0.028976,9.916877e-07
0.028976,9.963064e-07
0.028976,9.725696e-07
0.031525,9.469832e-07
0.031525,9.596851e-07
0.033259,9.756982e-07
0.033259,9.55006e-07
0.03428,9.894223e-07
0.03428,9.984567e-07
0.036002,9.911217e-07
0.036002,9.901604e-07
0.036002,9.161606e-07
0.037092,9.746778e-07
0.037092,9.78176e-07
0.037092,9.664917e-07
0.038345,9.991957e-07
0.038345,9.612201e-07
0.03976,9.97674e-07
0.03976,9.830991e-07
0.041182,9.894336e-07
0.041182,9.821525e-07
0.041182,9.575472e-07
0.04244,9.843944e-07
0.04244,9.860765e-07
0.04244,9.567021e-07
0.043535,9.809359e-07
0.043535,9.473204e-07
0.043535,9.725827e-07
0.044656,9.937083e-07
0.044656,9.782522e-07
0.044656,9.946059e-07
0.045975,9.926276e-07
0.045975,9.96584e-07
0.045975,9.917401e-07
0.047035,9.610593e-07
0.047035,9.812841e-07
0.047035,9.900124e-07
0.048313,9.801471e-07
0.048313,9.798978e-07
0.048313,9.160959e-07
0.049402,9.81015e-07
0.049402,9.757795e-07
0.049402,9.990586e-07
0.050805,9.820237e-07
0.050805,9.658946e-07
0.052422,9.611307e-07
0.052422,9.658088e-07
0.053568,9.882621e-07
0.053568,9.541865e-07
0.054681,9.951985e-07
0.054681,9.738642e-07
0.054681,9.974966e-07
0.054681,9.742876e-07
0.056379,9.914045e-07
0.056379,9.466572e-07
0.056379,9.794837e-07
0.056379,9.785015e-07
0.058348,9.778081e-07
0.058348,9.6267e-07
0.058348,9.858205e-07
0.0595,9.329891e-07
0.0595,9.780221e-07
0.060873,9.177379e-07
0.060873,9.541561e-07
0.060873,9.711443e-07
0.060873,9.651739e-07
0.062317,9.713615e-07
0.062317,9.382434e-07
0.064019,9.239695e-07
0.064019,9.999002e-07
0.064019,9.632435e-07
0.064019,9.614902e-07
0.065337,9.71869e-07
0.065337,9.558382e-07
0.066547,9.974085e-07
0.066547,9.706395e-07
0.066547,9.709628e-07
0.066547,9.823125e-07
0.068038,9.926275e-07
0.068038,9.942587e-07
0.068038,9.850663e-07
0.069135,9.374771e-07
0.069135,9.767814e-07
0.069135,9.936318e-07
0.070443,9.716632e-07
0.070443,9.945941e-07
