frame,value
0,2
0.001232,2
0.002913,1
0.003954,2
0.005301,3
0.006909,4
0.008056,4
0.00925,3
0.010276,4
0.011419,4
0.012429,5
0.013479,5
0.014611,5
0.015764,6
0.016846,6
0.017926,5
0.018978,8
0.020059,7
0.021145,5
0.02221,7
0.02324,6
0.024262,6
0.025481,5
0.026558,6
0.027632,5
0.028688,6
0.029867,7
0.031126,5
0.032138,8
0.033199,7
0.034199,8
0.03521,7
0.036225,7
0.037229,9
0.038334,10
0.039434,9
0.040467,9
0.041529,9
0.042562,10
0.043627,10
0.044685,9
0.045718,10
0.046844,9
0.048064,9
0.04925,9
0.050399,8
0.051428,10
0.052636,7
0.053724,7
0.054819,7
0.056016,8
0.057333,8
0.058571,7
0.059576,6
0.060748,7
0.061827,5
0.063137,7
0.064294,5
0.065355,4
0.066489,4
0.067864,7
0.069497,4
0.070628,5
0.071668,3
0.073102,2
0.0743,4
0.075583,4
0.07715,5
0.078256,3
0.079511,5
0.080575,5
0.081677,6
0.082776,8
0.083932,6
0.084948,7
0.086073,7
0.087195,7
0.088353,7
0.089411,8
0.09046,8
0.091623,8
0.092705,8
0.093794,7
0.094894,7
0.095914,7
0.096963,8
0.098159,7
0.099299,5
0.100512,7
0.10165,5
0.102802,5
0.103982,7
0.105287,5
0.106441,7
0.107532,5
0.108752,5
0.109821,6
0.11116,3
0.11219,4
0.113372,6
0.114591,3
0.115628,5
0.117115,4
0.118534,5
0.120131,4
0.121437,3
0.122474,5
0.124079,2
0.125224,4
0.126537,5
0.127705,4
0.129107,5
0.130108,1
0.131273,4
0.132357,3
0.134256,5
0.135296,7
0.136703,6
0.138083,5
0.13927,4
0.140406,4
0.141915,6
0.143089,5
0.144193,3
0.145356,5
0.146443,6
0.147793,5
0.148978,4
0.150117,4
0.151213,3
0.152246,5
0.153264,6
0.154327,6
0.15536,4
0.156363,4
0.157384,5
0.158515,4
0.159686,7
0.16078,5
0.161787,7
0.162916,7
0.163941,6
0.164982,7
0.166031,7
0.167164,5
0.168168,6
0.169269,6
0.170519,5
0.171888,3
0.172979,3
0.173979,3
0.175362,5
0.176667,3
0.177797,5
0.178865,6
0.179884,6
0.181156,5
0.182376,5
0.183636,5
0.184825,5
0.186054,5
0.187392,3
0.188419,4
0.189478,4
0.190658,4
0.191661,6
0.192686,6
0.194077,5
0.195126,4
0.196207,4
0.197296,4
0.198296,4
0.19939,5
0.200785,4
0.201876,4
0.202947,4
0.204005,4
0.205389,4
0.206758,3
0.207822,4
0.209369,4
0.210683,3
0.211961,2
0.212974,4
0.214151,4
0.215344,5
0.216471,3
0.217606,4
0.218798,4
0.219802,5
0.220906,5
0.222096,6
0.22316,6
0.224372,5
0.225519,4
0.226696,3
0.227765,4
0.229165,3
0.230532,2
0.231685,2
0.232886,2
0.234197,1
0.235596,1
0.236662,1
0.238213,1
0.239787,1
0.24103,1
0.243198,1
0.244371,2
0.245909,1
0.248028,1
0.250017,1
0.251243,1
0.253556,1
0.256022,1
0.258766,1
0.26012,1
0.2627,1
0.264004,1
0.266041,1
0.267331,1
0.269493,1
0.271111,1
0.273,1
0.275665,1
0.278856,1
0.281229,1
0.284051,1
0.287394,1
0.289913,1
0.293547,1
0.297131,1
0.298478,1
0.301561,1
0.304058,1
0.308058,1
0.309741,1
0.31297,1
0.31697,1
0.32097,1
0.323509,1
0.326848,1
0.330848,1
0.334848,1
0.338848,1
0.34231,1
0.345946,1
0.349946,1
0.353946,2
0.365799,2
0.377924,3
0.391886,3
0.402866,5
0.41573,2
0.427113,2
0.439378,2
0.450503,3
0.46346,2
0.477671,2
0.491093,4
0.505636,3
0.516056,3
0.526962,4
0.539162,3
0.551207,4
0.564823,3
0.578607,3
0.593905,3
0.60659,2
0.618751,2
0.630522,3
0.644107,2
0.662238,4
0.676951,4
0.689647,3
0.703897,2
0.716652,2
0.727035,1
0.741538,2
0.758892,1
0.774024,1
0.788001,2
0.801293,1
0.817719,1
0.829898,1
0.840366,2
0.854354,2
0.869451,1
0.882607,1
0.893632,1
0.910014,1
0.932168,1
0.95347,1
0.97033,2
0.994842,1
1.016661,1
1.03927,1
1.062491,2
1.086142,1
1.114493,1
1.128203,2
1.159285,1
1.180134,1
1.204789,1
1.231597,1
1.247134,1
1.258767,1
1.271431,2
1.292707,1
1.317186,1
1.330318,1
1.341925,2
1.357286,2
1.374092,1
1.387136,3
1.397569,3
1.40862,4
1.419321,7
1.430171,6
1.441461,7
1.452262,5
1.464129,6
1.476357,9
1.486868,11
1.498594,8
1.509317,8
1.520466,9
1.532857,6
1.543566,5
1.55463,7
1.566209,5
1.576295,7
1.587205,7
1.598897,5
1.609147,5
1.621014,6
1.631978,5
1.64314,4
