frame,value
0,128
0.000286,122
0.000545,253
0.000829,353
0.001093,178
0.00136,117
0.001617,131
0.001906,118
0.002161,138
0.002419,120
0.002672,134
0.002926,135
0.003182,161
0.003507,149
0.003809,107
0.004097,146
0.004375,127
0.004635,109
0.00489,109
0.005187,66
0.005473,94
0.005773,77
0.006047,65
0.00631,94
0.006637,61
0.006932,65
0.007255,67
0.007541,65
0.007793,97
0.00811,169
0.008393,153
0.008678,172
0.008991,115
0.009244,156
0.009528,138
0.009826,183
0.010106,208
0.010408,165
0.010681,158
0.010984,138
0.011285,165
0.01154,176
0.01179,166
0.012087,149
0.01234,194
0.012602,179
0.012873,225
0.013178,160
0.013438,149
0.013757,138
0.01407,139
0.01435,115
0.014602,119
0.014856,140
0.015114,150
0.015369,118
0.015648,142
0.015909,139
0.016222,88
0.016502,107
0.016762,102
0.017044,101
0.017297,100
0.017579,97
0.017898,78
0.018152,112
0.018459,131
0.018742,136
0.019018,132
0.019311,115
0.019603,94
0.01987,94
0.020172,33
0.020435,49
0.020739,51
0.021187,47
0.021461,48
0.021771,47
0.022032,31
0.022374,30
0.022721,29
0.022982,29
0.023441,29
0.023887,31
0.02442,30
0.024886,29
0.025272,31
0.025943,27
0.026211,42
0.026495,45
0.027212,28
0.027577,29
0.027969,30
0.028825,27
0.029153,43
0.029621,29
0.030409,29
0.031018,27
0.031337,28
0.031754,29
0.032245,27
0.032537,29
0.033042,28
0.033335,28
0.033913,26
0.034169,28
0.034629,30
0.03512,41
0.035557,29
0.036053,27
0.036463,29
0.036936,29
0.037484,43
0.037979,27
0.038511,28
0.039017,39
0.039359,40
0.039771,30
0.040643,38
0.041004,39
0.041387,28
0.041991,26
0.042323,28
0.042776,29
0.043269,27
0.043648,28
0.044114,27
0.044379,28
0.045038,27
0.04542,28
0.046171,40
0.046618,28
0.047081,27
0.047489,28
0.048489,26
0.048739,27
0.049127,27
0.049553,26
0.049943,26
0.050274,28
0.051173,39
0.05165,26
0.052027,26
0.052307,27
0.052989,39
0.053362,42
0.054055,38
0.054409,41
0.054928,39
0.055259,39
0.055687,27
0.056199,38
0.056563,38
0.056919,41
0.057689,26
0.057957,29
0.058664,39
0.059026,26
0.059347,27
0.05999,39
0.060387,28
0.06093,25
0.061242,26
0.061761,38
0.062142,42
0.062704,26
0.063082,26
0.063511,26
0.063877,26
0.064366,26
0.064709,27
0.065219,25
0.065486,26
0.065768,28
0.066371,26
0.066623,38
0.066963,40
0.067645,25
0.067908,26
0.068237,27
0.068874,38
0.069247,38
0.0696,26
0.069874,27
0.070874,39
0.071823,25
0.072278,26
0.072762,26
0.073263,37
0.0736,38
0.073927,26
0.074253,26
0.0746,27
0.07516,37
0.075528,39
0.076202,38
0.076635,27
0.077032,27
0.077694,37
0.078052,40
0.078872,38
0.079267,38
0.079757,26
0.080266,27
0.080649,26
0.081268,38
0.081674,39
0.082027,39
0.08254,26
0.082952,26
0.08347,38
0.083844,40
0.084244,26
0.084596,27
0.085143,26
0.085551,27
0.086143,25
0.086455,26
0.086767,27
0.087508,38
0.087922,25
0.088223,28
0.088885,25
0.08932,25
0.089701,26
0.090147,25
0.09048,28
0.09148,37
0.09187,40
0.09287,39
0.093542,28
0.094367,25
0.094652,27
0.09536,26
0.095784,26
0.096243,26
0.096767,25
0.09707,27
0.097627,26
0.098146,25
0.098464,27
0.099237,38
0.099674,27
0.100249,26
0.100656,26
0.101112,25
0.101521,25
0.101882,27
0.102621,37
0.103012,40
0.103543,28
0.104212,25
0.104512,26
0.104965,25
0.105442,25
0.105845,25
0.106234,27
0.10687,37
0.107282,25
0.107601,26
0.108149,26
0.108553,27
0.10927,38
0.109756,26
0.110258,27
0.110999,38
0.111519,26
0.112519,37
0.112903,38
0.113329,27
0.114048,27
0.114622,26
0.115365,37
0.115781,38
0.11629,27
0.116951,25
0.117204,27
0.117719,25
0.11798,25
0.118245,27
0.118736,27
0.119264,25
0.119703,26
0.120239,28
0.120853,38
0.121251,41
0.121969,25
0.122261,27
0.122681,27
0.123403,25
0.123707,26
0.124021,28
0.124983,39
0.125773,25
0.126052,37
0.126466,26
0.126779,28
0.127541,38
0.12807,27
0.128907,27
0.12956,27
0.130071,26
0.130474,27
0.131264,25
0.131548,24
0.131849,27
0.132586,26
0.132979,27
0.133621,25
0.133928,25
0.13426,27
0.13526,38
0.135678,24
0.135948,26
0.136282,26
0.136859,24
0.137173,25
0.137673,25
0.138135,26
0.138723,26
0.139355,36
0.13976,39
0.140679,38
0.141144,25
0.141468,25
0.141774,25
0.142075,26
0.142586,26
0.143229,27
0.143901,25
0.144221,26
0.144624,27
0.145547,37
0.146045,27
0.146832,37
0.147353,26
0.148353,38
0.149033,26
0.149627,25
0.149975,27
0.150784,41
0.153641,68
0.159124,44
0.162423,73
0.165712,75
0.170083,73
0.172901,75
0.177384,73
