frame,value
0,0
0,0
0,0
0,0
0.000783,0
0.000783,0
0.001332,0
0.001332,0
0.001332,0
0.002316,0
0.002316,0
0.00331,0
0.00331,0
0.003885,0
0.003885,0
0.004588,0
0.004588,0
0.005362,0
0.005362,0
0.005362,0
0.005891,0
0.005891,0
0.005891,0
0.006411,0
0.006411,0
0.006411,0
0.006936,0
0.006936,0
0.006936,0
0.007526,0
0.007526,0
0.007526,0
0.007526,0
0.008284,0
0.008284,0
0.008284,0
0.008876,0
0.008876,0
0.008876,0
0.009436,0
0.009436,0
0.009436,0
0.009436,0
0.010605,0
0.010605,2
0.010605,4
0.011228,4
0.011228,4
0.011228,4
0.011228,8
0.012102,8
0.012102,7
0.012102,8
0.012102,18
0.013216,19
0.013216,20
0.013216,23
0.013216,25
0.013878,26
0.013878,35
0.013878,35
0.014456,35
0.014456,35
0.014456,37
0.014456,49
0.015503,49
0.015503,51
0.015503,51
0.016068,50
0.016068,51
0.016068,52
0.016068,52
0.016701,48
0.016701,50
0.016701,53
0.016701,52
0.017372,52
0.017372,53
0.017372,52
0.017954,54
0.017954,54
0.017954,51
0.017954,61
0.018578,61
0.018578,63
0.019146,62
0.019146,62
0.019724,64
0.019724,68
0.019724,81
0.019724,94
0.020479,95
0.020479,103
0.020479,95
0.021012,94
0.021012,96
0.021012,92
0.021579,98
0.021579,101
0.021579,99
0.021579,99
0.022381,98
0.022381,99
0.022381,101
0.022956,107
0.022956,107
0.022956,105
0.022956,108
0.023775,108
0.023775,108
0.023775,128
0.023775,128
0.023775,140
0.024538,137
0.024538,142
0.024538,142
0.024538,144
0.024538,144
0.024538,157
0.02526,159
0.02526,159
0.02526,175
0.025843,177
0.025843,178
0.025843,178
0.025843,176
0.025843,205
0.026479,206
0.026479,207
0.026479,207
0.026479,208
0.027033,199
0.027033,200
0.027033,205
0.027591,210
0.027591,209
0.027591,213
0.027591,226
0.028562,224
0.028562,225
0.028562,232
0.028562,234
0.029123,240
0.029123,241
0.029123,253
0.029123,256
0.029678,258
0.029678,256
0.029678,265
0.029678,266
0.030197,264
0.030197,264
0.030197,275
0.030197,271
0.030714,277
0.030714,280
0.030714,287
0.030714,286
0.030714,299
0.031426,293
0.031426,293
0.032011,296
0.032011,299
0.032011,304
0.03257,303
0.03257,312
0.03257,307
0.03257,331
0.033176,337
0.033176,338
0.033176,338
0.033176,349
0.033176,354
0.033877,349
0.033877,366
0.033877,365
0.033877,415
0.034711,418
0.034711,413
0.034711,417
0.034711,430
0.035562,433
0.035562,434
0.035562,434
0.035562,424
0.036295,427
0.036295,426
0.036295,440
0.036295,442
0.036808,439
0.036808,455
0.036808,455
0.036808,461
0.037507,461
0.037507,487
