frame,value
0,1
0.000532,1.001923
0.001198,1.003829
0.001966,1.00596
0.002723,1.007926
0.004021,1.011044
0.004843,1.01283
0.0059,1.015103
0.006795,1.016843
0.007346,1.017903
0.008013,1.019106
0.008539,1.020029
0.009115,1.021247
0.009767,1.022309
0.010316,1.023391
0.010967,1.024339
0.011502,1.025311
0.012172,1.026209
0.012691,1.027129
0.01335,1.027934
0.014097,1.028869
0.014861,1.029764
0.015579,1.030588
0.016346,1.031432
0.017157,1.032248
0.017793,1.033055
0.018317,1.033885
0.018917,1.034529
0.019524,1.035052
0.0202,1.035637
0.02084,1.036193
0.021413,1.036894
0.021963,1.037343
0.022744,1.037849
0.023513,1.039012
0.024161,1.039388
0.024759,1.039603
0.025346,1.040206
0.025881,1.040372
0.026487,1.040902
0.027203,1.040951
0.027804,1.041318
0.028331,1.041782
0.02892,1.042201
0.029509,1.042105
0.030028,1.041957
0.030594,1.042198
0.031484,1.04209
0.032011,1.042187
0.032867,1.042104
0.03358,1.042211
0.03423,1.042224
0.035267,1.042203
0.03582,1.042551
0.036364,1.043188
0.037091,1.042941
0.037666,1.043279
0.038243,1.044
0.038751,1.043787
0.039321,1.044095
0.03992,1.044633
0.040557,1.04463
0.041145,1.045111
0.041653,1.045498
0.042157,1.045873
0.042671,1.046077
0.043176,1.045766
0.043998,1.045246
0.044618,1.045063
0.045183,1.045822
0.045752,1.046601
0.046431,1.046318
0.047081,1.046483
0.047627,1.046713
0.04822,1.047065
0.049022,1.046861
0.04959,1.046974
0.050165,1.047399
0.051014,1.047448
0.051568,1.048404
0.052353,1.048265
0.052856,1.048374
0.053559,1.04855
0.054335,1.04879
0.055161,1.049101
0.05592,1.049379
0.056572,1.049642
0.057104,1.050486
0.057657,1.050542
0.058169,1.050803
0.058694,1.051369
0.059196,1.051575
0.059799,1.051469
0.060456,1.051695
0.061165,1.051765
0.061705,1.05222
0.062226,1.052214
0.063008,1.052019
0.063688,1.05201
0.064211,1.052096
0.064947,1.05199
0.065792,1.051957
0.066534,1.051861
0.067121,1.051746
0.067629,1.052086
0.068327,1.051876
0.068865,1.051727
0.069377,1.051696
0.070094,1.051445
0.07063,1.051403
0.071206,1.05117
0.071745,1.050994
0.072402,1.0508
0.07298,1.050629
0.073673,1.050449
0.074198,1.050473
0.074879,1.050166
0.075406,1.05079
0.076158,1.050369
0.077009,1.050104
0.077514,1.049991
0.078818,1.049492
0.079418,1.049339
0.079944,1.049206
0.080491,1.04938
0.081829,1.049067
0.082353,1.049624
0.08331,1.049269
0.083866,1.049202
0.084634,1.048933
0.085162,1.049044
0.086277,1.048867
0.086817,1.048724
0.087773,1.048499
0.089187,1.048375
0.090471,1.048381
0.091306,1.048353
0.092215,1.048139
0.092875,1.04815
0.093697,1.048024
0.094321,1.047998
0.094851,1.048094
0.095566,1.047938
0.096327,1.047989
0.097091,1.048033
0.097636,1.048055
0.098185,1.048006
0.099104,1.048088
0.099691,1.048103
0.100213,1.048735
0.100982,1.048636
0.101577,1.048593
0.102269,1.048517
0.102906,1.048562
0.103715,1.048681
0.104241,1.048682
0.104783,1.049297
0.105532,1.049252
0.106127,1.049272
0.106844,1.049446
0.107471,1.049567
0.108098,1.049701
0.108841,1.049876
0.109347,1.050027
0.110059,1.050312
0.110707,1.05042
0.111332,1.050565
0.111991,1.0509
0.112543,1.05104
0.113249,1.051181
0.113859,1.051398
0.114432,1.051562
0.115064,1.05174
0.11561,1.05217
0.116329,1.052264
0.117108,1.052348
0.11774,1.052441
0.118524,1.052396
0.119184,1.052418
0.120008,1.052461
0.120564,1.052428
0.121514,1.052399
0.122057,1.05229
0.122884,1.052191
0.123427,1.052593
0.124549,1.052128
0.125183,1.051876
0.126446,1.051484
0.126978,1.051523
0.127534,1.051364
0.128086,1.051645
0.128824,1.051127
0.129432,1.050997
0.130383,1.05035
0.131026,1.049947
0.132044,1.04945
0.132688,1.049131
0.133822,1.048617
0.134517,1.048278
0.135066,1.048102
0.135687,1.047809
0.136268,1.047502
0.136908,1.047184
0.137418,1.046961
0.137977,1.046883
0.13848,1.047063
0.139316,1.046561
0.140493,1.045908
0.141258,1.045565
0.141817,1.045292
0.14234,1.045564
0.142925,1.045345
0.143515,1.044999
0.144285,1.044634
0.144907,1.044302
0.145897,1.043806
0.14671,1.043447
0.147483,1.043207
0.148022,1.043277
0.148749,1.042959
0.149433,1.042821
0.150687,1.042331
0.151222,1.042679
0.15224,1.042186
0.15282,1.0424
0.153361,1.042473
0.154143,1.041999
0.154738,1.041747
0.155747,1.04137
0.156322,1.041512
0.157058,1.041167
0.157613,1.040968
0.158144,1.040817
0.159687,1.040406
0.160216,1.040581
0.160725,1.040667
0.161324,1.040592
0.161962,1.040406
0.162992,1.039938
0.163678,1.039799
0.164204,1.0397
0.16474,1.039894
0.165456,1.039626
0.165986,1.039854
0.166702,1.039571
