frame,value
0,0.0005321585
0.000532,0.0006659487
0.001198,0.0007678184
0.001966,0.0007566532
0.002723,0.001298261
0.004021,0.0008221757
0.004843,0.001057184
0.0059,0.0008951593
0.006795,0.0005507499
0.007346,0.000666771
0.008013,0.0005259005
0.008539,0.0005759406
0.009115,0.0006527575
0.009767,0.0005486768
0.010316,0.0006504092
0.010967,0.0005350289
0.011502,0.0006701126
0.012172,0.0005188175
0.012691,0.0006592102
0.01335,0.0007471037
0.014097,0.0007645387
0.014861,0.0007176927
0.015579,0.0007664918
0.016346,0.0008111169
0.017157,0.0006362568
0.017793,0.0005243465
0.018317,0.0005999747
0.018917,0.0006066102
0.019524,0.0006760397
0.0202,0.0006404115
0.02084,0.0005724205
0.021413,0.000550253
0.021963,0.0007806964
0.022744,0.0007688573
0.023513,0.0006479807
0.024161,0.0005986348
0.024759,0.0005866888
0.025346,0.0005351302
0.025881,0.0006059126
0.026487,0.0007163904
0.027203,0.0006009103
0.027804,0.0005269735
0.028331,0.0005890185
0.02892,0.0005887094
0.029509,0.0005190111
0.030028,0.0005659814
0.030594,0.000890493
0.031484,0.0005268214
0.032011,0.0008560169
0.032867,0.0007127044
0.03358,0.000650473
0.03423,0.00103656
0.035267,0.0005532695
0.03582,0.0005434337
0.036364,0.0007270671
0.037091,0.0005750585
0.037666,0.0005767589
0.038243,0.0005088341
0.038751,0.0005691543
0.039321,0.0005990846
0.03992,0.0006376064
0.040557,0.0005876785
0.041145,0.0005082472
0.041653,0.0005033744
0.042157,0.0005143815
0.042671,0.0005047824
0.043176,0.0008220183
0.043998,0.0006203644
0.044618,0.0005644775
0.045183,0.0005695357
0.045752,0.0006792223
0.046431,0.0006498157
0.047081,0.0005461533
0.047627,0.0005925075
0.04822,0.0008020741
0.049022,0.0005682646
0.04959,0.0005752179
0.050165,0.0008487561
0.051014,0.000554
0.051568,0.0007846989
0.052353,0.0005033998
0.052856,0.0007025977
0.053559,0.0007761454
0.054335,0.0008258449
0.055161,0.0007591519
0.05592,0.000652094
0.056572,0.0005322637
0.057104,0.000552639
0.057657,0.0005117934
0.058169,0.0005257454
0.058694,0.0005011599
0.059196,0.0006035037
0.059799,0.0006564634
0.060456,0.0007093063
0.061165,0.0005400073
0.061705,0.0005210357
0.062226,0.0007825062
0.063008,0.000679526
0.063688,0.0005229407
0.064211,0.0007362985
0.064947,0.0008452523
0.065792,0.0007411439
0.066534,0.0005876999
0.067121,0.0005079038
0.067629,0.0006982845
0.068327,0.0005373541
0.068865,0.0005122996
0.069377,0.000716629
0.070094,0.000536003
0.07063,0.0005760807
0.071206,0.0005394287
0.071745,0.0006570992
0.072402,0.0005779915
0.07298,0.0006929198
0.073673,0.0005245002
0.074198,0.00068131
0.074879,0.0005271477
0.075406,0.0007515363
