frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002698,0
0.002698,0
0.002698,1
0.002698,1
0.002698,1
0.002698,1
0.002698,1
0.005401,1
0.005401,9
0.005401,10
0.005401,12
0.005401,12
0.005401,23
0.005401,44
0.007909,59
0.007909,64
0.007909,82
0.007909,87
0.007909,107
0.007909,119
0.007909,119
0.007909,126
0.007909,130
0.010539,151
0.010539,160
0.010539,179
0.010539,189
0.010539,204
0.010539,202
0.010539,215
0.010539,218
0.010539,223
0.010539,222
0.010539,223
0.010539,225
0.010539,234
0.013075,252
0.013075,250
0.013075,277
0.013075,307
0.013075,338
0.013075,363
0.013075,394
0.015632,412
0.015632,426
0.015632,451
0.015632,488
0.015632,506
0.015632,540
0.015632,582
0.018458,605
0.018458,620
0.018458,653
0.018458,679
0.018458,690
0.018458,698
0.018458,743
0.021094,757
0.021094,801
0.021094,811
0.021094,836
0.021094,835
0.021094,867
0.024178,879
0.024178,944
0.024178,964
0.024178,1037
0.024178,1056
0.024178,1075
0.027259,1077
0.027259,1121
0.027259,1122
0.027259,1137
0.027259,1142
0.027259,1168
0.027259,1180
0.02993,1187
0.02993,1192
0.02993,1255
0.02993,1263
0.02993,1270
0.02993,1279
0.02993,1321
0.032666,1326
0.032666,1333
0.032666,1334
0.032666,1343
0.032666,1355
0.032666,1371
0.032666,1389
0.035186,1383
0.035186,1389
0.035186,1427
0.035186,1426
0.035186,1466
0.035186,1475
0.035186,1498
0.038122,1498
0.038122,1569
0.038122,1571
0.038122,1578
0.038122,1586
0.038122,1639
0.041067,1637
0.041067,1719
0.041067,1723
0.041067,1749
0.041067,1761
0.041067,1796
0.044306,1804
0.044306,1869
0.044306,1885
0.044306,1970
0.044306,2071
0.046873,2072
0.046873,2142
0.046873,2149
0.046873,2175
0.046873,2187
0.046873,2207
0.049523,2265
0.049523,2287
0.049523,2326
0.049523,2331
0.049523,2381
0.052328,2371
0.052328,2429
0.052328,2439
0.052328,2500
0.054901,2555
0.054901,2574
0.054901,2581
0.054901,2605
0.054901,2628
0.054901,2634
0.058087,2650
0.058087,2715
0.058087,2769
0.058087,2800
0.058087,2858
0.061078,2880
0.061078,2864
0.061078,2916
0.061078,2912
0.061078,2950
0.063661,3030
0.063661,3063
0.063661,3092
0.063661,3132
0.066203,3146
0.066203,3215
0.066203,3221
0.066203,3182
0.068959,3189
0.068959,3213
0.068959,3210
0.068959,3264
0.068959,3263
0.071866,3269
0.071866,3267
0.071866,3271
0.071866,3259
0.074638,3319
0.074638,3328
0.074638,3323
0.074638,3331
0.074638,3335
0.077688,3350
0.077688,3347
0.077688,3356
0.077688,3344
0.077688,3368
0.077688,3364
