frame,value
0,1143
0,1351
0,1420
0,1447
0,1433
0,1362
0,603
0.002698,1399
0.002698,1354
0.002698,1327
0.002698,1331
0.002698,1402
0.002698,1372
0.002698,616
0.005401,1489
0.005401,1259
0.005401,1348
0.005401,1257
0.005401,1268
0.005401,1182
0.005401,530
0.007909,1283
0.007909,1636
0.007909,1401
0.007909,1621
0.007909,1068
0.007909,1233
0.007909,1382
0.007909,993
0.007909,553
0.010539,1014
0.010539,1086
0.010539,1089
0.010539,1087
0.010539,1076
0.010539,1184
0.010539,1268
0.010539,1416
0.010539,1571
0.010539,1739
0.010539,1812
0.010539,1697
0.010539,773
0.013075,1107
0.013075,1086
0.013075,1083
0.013075,1055
0.013075,993
0.013075,1003
0.013075,537
0.015632,1042
0.015632,970
0.015632,939
0.015632,927
0.015632,920
0.015632,911
0.015632,494
0.018458,951
0.018458,888
0.018458,907
0.018458,990
0.018458,896
0.018458,1029
0.018458,549
0.021094,995
0.021094,956
0.021094,953
0.021094,987
0.021094,981
0.021094,566
0.024178,898
0.024178,875
0.024178,863
0.024178,897
0.024178,923
0.024178,556
0.027259,866
0.027259,841
0.027259,876
0.027259,892
0.027259,949
0.027259,902
0.027259,547
0.02993,928
0.02993,941
0.02993,876
0.02993,898
0.02993,877
0.02993,889
0.02993,520
0.032666,930
0.032666,883
0.032666,919
0.032666,805
0.032666,877
0.032666,812
0.032666,575
0.035186,876
0.035186,879
0.035186,860
0.035186,874
0.035186,830
0.035186,879
0.035186,529
0.038122,880
0.038122,820
0.038122,873
0.038122,795
0.038122,872
0.038122,533
0.041067,808
0.041067,778
0.041067,803
0.041067,789
0.041067,821
0.041067,487
0.044306,816
0.044306,805
0.044306,894
0.044306,784
0.044306,454
0.046873,874
0.046873,759
0.046873,768
0.046873,830
0.046873,790
0.046873,524
0.049523,759
0.049523,733
0.049523,728
0.049523,754
0.049523,437
0.052328,742
0.052328,775
0.052328,797
0.052328,462
0.054901,770
0.054901,749
0.054901,691
0.054901,673
0.054901,755
0.054901,488
0.058087,791
0.058087,682
0.058087,692
0.058087,696
0.058087,456
0.061078,764
0.061078,751
0.061078,733
0.061078,729
0.061078,503
0.063661,751
0.063661,722
0.063661,662
0.063661,401
0.066203,722
0.066203,713
0.066203,665
0.066203,507
0.068959,709
0.068959,699
0.068959,687
0.068959,695
0.068959,377
0.071866,730
0.071866,695
0.071866,693
0.071866,387
0.074638,692
0.074638,720
0.074638,696
0.074638,735
0.074638,453
0.077688,706
0.077688,670
0.077688,677
0.077688,716
0.077688,699
0.077688,430
0.080478,715
0.080478,739
0.080478,786
0.080478,682
0.080478,738
0.080478,417
0.083174,686
0.083174,780
0.083174,659
0.083174,664
0.083174,712
0.083174,790
0.083174,358
0.086044,653
0.086044,627
0.086044,634
0.086044,634
0.086044,716
0.086044,698
0.086044,891
0.086044,408
0.089565,589
0.089565,687
0.089565,640
0.089565,679
0.089565,696
0.089565,724
0.089565,793
0.089565,425
0.092699,652
0.092699,652
0.092699,653
0.092699,652
0.092699,680
0.092699,741
0.092699,886
0.092699,967
0.092699,1108
0.092699,655
0.095207,1180
0.095207,644
0.095207,665
0.095207,672
0.095207,672
0.095207,621
0.095207,610
0.095207,391
0.098076,643
0.098076,686
0.098076,723
0.098076,828
0.098076,657
0.098076,675
0.098076,687
0.098076,524
0.100652,690
0.100652,714
0.100652,682
0.100652,724
0.100652,902
