frame,value
0,0.2697796
0.002698,0.2703648
0.005401,0.2507921
0.007909,0.262978
0.010539,0.2535977
0.013075,0.2557227
0.015632,0.2825725
0.018458,0.2636034
0.021094,0.3084264
0.024178,0.3080476
0.027259,0.267075
0.02993,0.2736788
0.032666,0.2520038
0.035186,0.2935749
0.038122,0.2944728
0.041067,0.3238803
0.044306,0.2566874
0.046873,0.2650506
0.049523,0.2805267
0.052328,0.2572277
0.054901,0.3186191
0.058087,0.2991044
0.061078,0.2583078
0.063661,0.2541614
0.066203,0.2756034
0.068959,0.2907052
0.071866,0.2772387
0.074638,0.3050415
0.077688,0.2789687
0.080478,0.2695402
0.083174,0.2870296
0.086044,0.352157
0.089565,0.3133923
0.092699,0.2507983
0.095207,0.2868722
0.098076,0.2576347
0.100652,0.2525354
0.103178,0.273225
0.10591,0.272518
0.108635,0.2595793
0.111231,0.2692016
0.113923,0.2730546
0.116654,0.2900295
0.119554,0.2601089
0.122155,0.2686669
0.124842,0.3070861
0.127912,0.2798828
0.130711,0.2902218
0.133613,0.2594478
0.136208,0.2821104
0.139029,0.3812376
0.142841,0.2686563
0.145528,0.3035123
0.148563,0.3005066
0.151568,0.2511295
0.156591,0.2511406
0.161614,0.3060966
0.167736,0.3450882
0.174637,0.3607569
0.181852,0.2706425
0.187265,0.4131329
0.195528,0.2570301
0.200669,0.5386825
0.211442,0.4344558
0.220131,0.6541196
0.233214,0.3516403
0.240246,0.447665
0.2492,0.7113127
0.263426,0.4001719
0.271429,0.3258535
0.277947,0.3045578
0.284038,0.320747
0.290453,0.2864644
0.296182,0.5405544
0.306993,0.6224425
0.319442,0.6335841
0.332114,0.5606995
0.343328,0.6657739
0.356643,0.6585836
0.369815,0.5557452
0.38093,1
0.40093,0.2992039
0.406914,0.5018536
0.416951,0.7311212
0.431573,0.5575122
0.442723,0.7672705
0.458069,0.4416001
0.466901,0.6478156
0.479857,0.673932
0.493336,0.4668112
0.502672,0.8767503
0.520207,0.2662326
0.525532,0.5662681
0.536857,0.5566103
0.547989,0.4900456
0.55779,0.4989269
0.567769,0.3517993
0.574805,0.7021903
0.588848,0.3182812
0.595214,0.5710075
0.606634,0.6943443
0.620521,0.5279416
0.63108,0.7792236
0.646664,0.3113567
0.652892,0.7838436
0.668568,0.4064841
0.676698,0.6000047
0.688698,0.4810185
0.698319,0.3493571
0.705306,0.3288335
0.711882,0.3134375
0.718151,0.4317523
0.726786,0.2971863
0.73273,0.3720474
0.740171,0.4760508
0.749692,0.6421221
0.762534,0.4163117
0.770861,0.4168945
0.779198,0.6500853
0.7922,0.4397741
0.800996,0.5029267
0.811054,0.4546382
0.820147,0.392004
0.827987,0.7755264
0.843498,0.2512101
0.848522,0.3835955
0.856194,0.9794074
0.875782,0.5779124
0.88734,0.5780253
0.898901,0.2866346
0.904633,0.6303564
0.91724,0.3718983
0.924678,0.6160085
0.936999,0.4214515
0.945428,0.6244965
0.957917,0.4609457
0.967136,0.3360287
0.973857,0.5283094
0.984423,0.3158584
0.99074,0.5570163
1.001881,0.3639137
1.009159,0.5145262
1.019449,0.5263904
1.029977,0.2736724
1.035451,0.3077949
1.041607,0.526132
1.052129,0.3265618
1.05866,0.5507501
1.069675,0.3078564
1.075833,0.4089539
1.084012,0.7629837
1.099271,0.3015743
1.105303,0.5339088
1.115981,0.3679952
1.123341,0.9327029
1.141995,0.2840251
1.147675,0.3933398
1.155542,0.5878776
1.1673,0.3027737
1.173355,1
1.193355,0.5919967
1.205195,0.3558848
1.212313,0.638719
1.225087,0.4685048
1.234457,0.4908741
1.244275,0.6242644
1.25676,0.30488
1.262858,0.2618436
1.268095,0.2809296
1.273713,0.398257
1.281678,0.8249385
1.298177,0.2712947
1.303603,1
1.323603,0.3781343
1.331166,0.7395945
1.345958,0.3839242
1.353636,1
1.373636,0.3226094
1.380088,0.3586331
1.387261,0.8125102
1.403511,0.3267154
1.410045,0.2663983
1.415373,0.607637
1.427526,0.4461893
1.43645,0.3044792
1.44254,0.4659133
1.451858,0.3567362
1.458993,0.4571989
1.468136,0.2947795
1.474032,0.5283508
1.484599,0.414706
1.492893,0.6472835
1.505839,0.3528566
1.512896,0.4103302
1.521103,0.2922219
1.526947,0.2792998
1.532533,0.47955
1.542124,0.2738142
1.5476,0.2936484
1.553473,0.4904928
1.563283,0.4865787
1.573015,0.4780267
1.582575,0.3601166
1.589778,0.3350854
1.596479,0.3630013
1.603739,0.3953842
1.611647,0.3122822
1.617893,0.4953747
1.6278,0.2852718
1.633506,0.2641442
1.638788,0.3113505
1.645015,0.5194793
1.655405,0.3522069
1.662449,0.2992306
1.668434,0.3532218
1.675498,0.3209185
1.681917,0.427801
1.690473,0.3713333
1.697899,0.2863821
1.703627,0.2798758
1.709224,0.3088573
1.715402,0.3815329
1.723032,0.2882441
1.728797,0.4294792
1.737387,0.5332383
1.748052,0.2794944
1.753641,0.4252877
1.762147,0.2500498
1.767148,0.4002482
1.775153,0.2689214
1.780532,0.2820067
1.786172,0.3933619
1.794039,0.3790659
1.80162,0.5075749
1.811772,0.4085032
1.819942,0.2961908
1.825866,0.4924538
1.835715,0.2564006
1.840843,0.2793725
1.84643,0.2515555
1.851461,0.2691107
1.856843,0.2803365
1.86245,0.5039881
1.87253,0.2778807
1.878088,0.2625492
1.883339,0.2982136
1.889303,0.3735952
1.896775,0.4192129
1.905159,0.3420561
1.912,0.3414542
1.918829,0.3005401
1.92484,0.5495614
1.935831,0.6304723
1.948441,0.2871689
1.954184,0.33546
1.960893,0.2561712
1.966017,0.3703346
1.973423,0.4658357
1.98274,0.3791124
1.990322,0.2931253
1.996185,0.3748422
2.003682,0.4830466
2.013343,0.4641317
2.022625,0.3275831
2.029177,0.4004371
2.037186,0.3614372
2.044414,0.2945112
2.050305,0.4542748
2.05939,0.6584053
2.072558,0.2636841
2.077832,0.3607856
2.085048,0.3908627
2.092865,0.3253689
2.099372,0.3893278
2.107159,0.3223889
2.113607,0.308745
2.119781,0.3025088
2.125832,0.3497419
2.132826,0.315127
2.139129,0.2948632
2.145026,0.2983408
2.150993,0.2701026
2.156395,0.341761
2.16323,0.3425233
2.170081,0.2560422
2.175202,0.2896341
2.180994,0.3211648
2.187418,0.4351074
