frame,value
0,1
0.002691,1
0.005388,1
0.008236,1
0.010953,1
0.013468,1
0.016049,1
0.018679,1
0.021287,1
0.024253,1
0.026869,1
0.029423,1
0.032398,1
0.035363,1
0.037895,1
0.040437,1
0.043751,1
0.04634,1
0.049676,1
0.05275,1
0.055298,1
0.057908,1
0.061261,1
0.064665,1
0.067496,1
0.070485,1
0.073924,1
0.076602,1
0.079705,1
0.082404,1
0.085085,1
0.087836,1
0.090887,1
0.09344,1
0.096141,1
0.098849,1
0.101558,1
0.104588,1
0.107471,1
0.110286,1
0.112968,1
0.115932,1
0.118804,1
0.121635,1
0.124595,1
0.127539,1
0.13011,1
0.132623,1
0.13514,1
0.138114,1
0.140659,1
0.143566,1
0.146366,1
0.149747,1
0.153056,1
0.161783,1
0.17278,1
0.18194,1
0.193306,1
0.203883,1
0.212732,1
0.221298,1
0.231965,1
0.242846,1
0.25676,1
0.267057,1
0.281274,1
0.29316,1
0.311301,1
0.3202,1
0.335263,1
0.351863,1
0.364405,1
0.382759,1
0.392799,1
0.40699,1
0.426094,1
0.434922,1
0.446233,1
0.455928,1
0.466285,1
0.477628,1
0.486726,1
0.496192,1
0.504737,1
0.518871,1
0.537739,1
0.545735,1
0.561486,1
0.581598,1
0.590063,1
0.605378,1
0.618213,1
0.636116,1
0.644007,1
0.653109,1
0.671998,1
0.684902,1
0.695218,1
0.706036,1
0.719366,1
0.730246,1
0.754921,1
0.767846,1
0.776801,1
0.794785,1
0.801828,1
0.814273,1
0.82175,1
0.831758,1
0.858463,1
0.868307,1
0.879271,1
0.890737,1
0.906102,1
0.914637,1
0.930342,1
0.947281,1
0.959094,1
0.96945,1
0.990157,1
1.005821,1
1.020839,1
1.030098,1
1.057427,1
1.073543,1
1.081924,1
1.090695,1
1.118695,1
1.12838,1
1.154445,1
1.162189,1
1.176808,1
1.196552,1
1.204746,1
1.218297,1
1.233276,1
1.257252,1
1.270157,1
1.283669,1
1.299398,1
1.309516,1
1.336739,1
1.3455,1
1.35615,1
1.375682,1
1.383671,1
1.401673,1
1.412465,1
1.423928,1
1.433742,1
1.44818,1
1.460881,1
1.471315,1
1.481477,1
1.494438,1
1.504441,1
1.512103,1
1.524138,1
1.532437,1
1.543045,1
1.555514,1
1.570138,1
1.577837,1
1.587219,1
1.595316,1
1.604527,1
1.613334,1
1.622287,1
1.629494,1
1.63682,1
1.645919,1
1.656229,1
1.666737,1
1.674074,1
1.682024,1
1.689504,1
1.69789,1
1.707965,1
1.717925,1
1.726103,1
1.733239,1
1.742658,1
1.749815,1
1.760073,1
1.768116,1
1.777974,1
1.789811,1
1.797339,1
1.80639,1
1.816882,1
1.828379,1
1.84217,1
1.850154,1
1.857399,1
1.865316,1
1.874152,1
1.881801,1
1.892224,1
1.901384,1
1.913056,1
1.922284,1
1.933167,1
1.941053,1
1.952126,1
1.964902,1
1.97337,1
1.987454,1
1.995413,1
2.003095,1
2.014602,1
2.024154,1
2.035938,1
2.049792,1
2.064075,1
2.075416,1
2.083392,1
2.090936,1
2.098522,1
2.107556,1
2.11597,1
2.123341,1
2.131058,1
2.140181,1
2.149502,1
2.157057,1
2.164177,1
2.171245,1
2.178477,1
2.185648,1
2.193645,1
2.201721,1
2.212672,1
2.223028,1
2.233113,1
2.244568,1
2.254178,1
2.262686,1
2.271092,1
2.279531,1
2.287096,1
2.29503,1
2.302714,1
2.31175,1
2.322229,1
2.330704,1
2.338045,1
2.346237,1
2.355,1
2.366588,1
2.374647,1
2.382274,1
2.390215,1
2.399355,1
2.407054,1
2.415115,1
2.425081,1
2.43713,1
2.444485,1
2.452825,1
2.463554,1
2.472225,1
2.479709,1
2.487124,1
2.494835,1
2.502018,1
2.51016,1
2.518232,1
2.527692,1
2.536036,1
2.547844,1
2.556531,1
2.565054,1
2.574541,1
2.583228,1
2.597173,1
2.606284,1
2.616456,1
2.625216,1
2.636573,1
2.647477,1
2.656362,1
2.664205,1
2.672808,1
2.680839,1
2.700893,1
2.710093,1
2.718304,1
2.725486,1
2.734245,1
2.741717,1
2.749123,1
2.756464,1
2.764038,1
2.771455,1
2.780032,1
2.790403,1
2.799965,1
2.807026,1
2.818966,1
2.828513,1
2.837785,1
2.846078,1
2.858093,1
2.868543,1
2.87732,1
2.886141,1
2.896257,1
2.905403,1
2.91492,1
2.922395,1
2.933435,1
2.942971,1
2.952053,1
2.961948,1
2.97222,1
2.982164,1
2.990006,1
3.001293,1
3.008593,1
3.017505,1
3.02692,1
3.037729,1
3.046128,1
3.055251,1
3.063544,1
3.071991,1
3.084847,1
3.092244,1
3.099625,1
3.108833,1
3.119096,1
3.126622,1
3.133959,1
3.141121,1
3.148303,1
3.160588,1
3.171889,1
3.181972,1
3.192039,1
3.208944,1
3.219651,1
3.232234,1
3.25011,1
3.258496,1
3.276224,1
3.300279,1
3.317379,1
3.342318,1
3.366219,1
3.383253,1
3.40162,1
3.425698,1
3.438919,1
3.454649,1
3.482649,1
3.510649,1
3.525199,1
3.536602,1
3.559693,1
3.56842,1
3.581286,1
3.609286,1
3.624538,1
3.6406,1
3.6686,1
3.685376,1
3.706798,1
3.72824,1
3.73868,1
3.76668,1
3.774936,1
3.783902,1
3.792637,1
3.799867,1
3.827867,1
3.837433,1
3.857686,1
3.869696,1
3.880239,1
3.890977,1
3.904804,1
3.929402,1
3.945956,1
3.969085,1
3.987244,1
