frame,value
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.002691,0
0.005546,0
0.005546,0
0.005546,0
0.005546,1e-07
0.005546,2e-07
0.005546,1e-07
0.005546,2e-07
0.005546,4e-07
0.005546,7e-07
0.008101,8e-07
0.008101,9e-07
0.008101,1.5e-06
0.008101,3.5e-06
0.008101,4.6e-06
0.008101,5.3e-06
0.008101,5.4e-06
0.008101,6.1e-06
0.008101,6.9e-06
0.010604,7.9e-06
0.010604,8.6e-06
0.010604,9.3e-06
0.010604,9.9e-06
0.010604,1.19e-05
0.010604,1.65e-05
0.010604,2.17e-05
0.010604,3.02e-05
0.010604,3.5e-05
0.010604,3.95e-05
0.01339,4.2e-05
0.01339,4.32e-05
0.01339,4.56e-05
0.01339,5.27e-05
0.01339,7.42e-05
0.01339,9.69e-05
0.01339,0.0001072
0.015895,0.0001111
0.015895,0.0001176
0.015895,0.0001313
0.015895,0.000145
0.015895,0.0001559
0.015895,0.000163
0.015895,0.0001747
0.01872,0.0001764
0.01872,0.0001844
0.01872,0.0001888
0.01872,0.0002064
0.01872,0.0002181
0.01872,0.0002342
0.021236,0.0002381
0.021236,0.0002611
0.021236,0.0002659
0.021236,0.0002797
0.021236,0.0002869
0.021236,0.0002938
0.024119,0.0003001
0.024119,0.0003075
0.024119,0.0003156
0.024119,0.0003407
0.024119,0.0003509
0.024119,0.0003721
0.026908,0.0003792
0.026908,0.0004168
0.026908,0.0004325
0.026908,0.0004528
0.026908,0.0004572
0.026908,0.0004472
0.029826,0.0004499
0.029826,0.0004629
0.029826,0.0004651
0.029826,0.0004782
0.029826,0.0004891
0.029826,0.0005011
0.032774,0.0005062
0.032774,0.0005158
0.032774,0.0005256
0.032774,0.0005322
0.032774,0.0005372
0.032774,0.0005482
0.032774,0.0005518
0.035312,0.0005545
0.035312,0.0005586
0.035312,0.0005568
0.035312,0.0005604
0.035312,0.0005724
0.035312,0.0005827
0.037835,0.0005864
0.037835,0.0005919
0.037835,0.0006094
0.037835,0.0006216
0.037835,0.0006333
0.040373,0.000639
0.040373,0.0006385
0.040373,0.0006471
0.040373,0.0006537
0.042911,0.0006615
0.042911,0.0006705
0.042911,0.0006826
0.042911,0.0007013
0.045686,0.0007135
0.045686,0.0007255
0.045686,0.0007356
0.045686,0.0007491
0.045686,0.0007662
0.048353,0.0007746
0.048353,0.0007999
0.048353,0.0008118
0.048353,0.0008367
0.048353,0.0008507
0.048353,0.0008597
0.050964,0.0008734
0.050964,0.0008761
0.050964,0.0008936
0.050964,0.0009072
0.050964,0.0009209
