frame,value
0,1
0.002691,1.097836
0.005546,1.098998
0.008101,1.099386
0.010604,1.099198
0.01339,1.099136
0.015895,1.099115
0.01872,1.099258
0.021236,1.099204
0.024119,1.099418
0.026908,1.099233
0.029826,1.099377
0.032774,1.099083
0.035312,1.098116
0.037835,1.097908
0.040373,1.099147
0.042911,1.098729
0.045686,1.098452
0.048353,1.099146
0.050964,1.098262
0.053502,1.097939
0.056189,1.097415
0.058746,1.097492
0.061535,1.097784
0.064652,1.098606
0.06751,1.097255
0.07033,1.097675
0.073043,1.097115
0.076389,1.099387
0.079013,1.098088
0.081913,1.098298
0.084641,1.099344
0.087966,1.097926
0.090588,1.098219
0.093714,1.099483
0.096899,1.099267
0.099543,1.098106
0.102057,1.09917
0.104736,1.098045
0.107265,1.097926
0.10995,1.099379
0.112621,1.099522
0.115783,1.098652
0.118945,1.098935
0.121641,1.097833
0.124501,1.098546
0.127082,1.097908
0.130191,1.098436
0.133978,1.096381
0.136615,1.096201
0.139465,1.094408
0.142103,1.093834
0.145574,1.094407
0.148345,1.093631
0.151324,1.09803
0.15932,1.093703
0.167243,1.094153
0.179802,1.097931
0.187846,1.097034
0.195891,1.097197
0.208617,1.095782
0.221735,1.096162
0.230144,1.097036
0.243589,1.095459
0.256223,1.096199
0.269959,1.095405
0.28719,1.094819
0.298338,1.09662
0.309445,1.096108
0.322855,1.095587
0.335594,1.095837
0.354795,1.093953
0.373433,1.094751
0.382656,1.096411
0.393651,1.095913
0.411999,1.093888
0.430738,1.094499
0.442978,1.095938
0.454015,1.094775
0.467596,1.096992
0.483049,1.0936
0.49751,1.094977
0.510673,1.095448
0.519441,1.096188
0.528562,1.09667
0.545802,1.096801
0.564684,1.093434
0.575493,1.096559
0.590972,1.096211
0.607091,1.09416
0.618399,1.096024
0.643102,1.093748
0.652741,1.095961
0.66271,1.097245
0.683871,1.092975
0.693306,1.095355
0.701473,1.096614
0.70981,1.097168
0.724878,1.095712
0.73631,1.095809
0.757502,1.095343
0.766813,1.097335
0.785942,1.093749
0.793226,1.096597
0.803436,1.095232
0.823785,1.094311
0.839153,1.096702
0.85597,1.096248
0.866174,1.0951
0.887103,1.095654
0.898112,1.094251
0.908467,1.093406
0.922429,1.096684
0.93334,1.097167
0.946484,1.09751
0.956784,1.09721
0.984572,1.09042
0.994114,1.095751
1.005807,1.097427
1.033085,1.092265
1.040447,1.095862
1.051725,1.096085
1.077804,1.093032
1.094522,1.095386
1.10344,1.096599
1.118622,1.095778
1.136025,1.095348
1.146874,1.09646
1.164821,1.094106
1.173478,1.097328
1.184883,1.095734
1.201702,1.0955
1.209134,1.097355
1.219304,1.096301
1.236883,1.094384
1.251447,1.095994
1.267903,1.094732
1.2801,1.096367
1.297533,1.094296
1.306409,1.097114
1.322148,1.096684
1.341757,1.093831
1.349456,1.096482
1.358479,1.096859
1.371191,1.097121
1.381798,1.096615
1.410198,1.087421
1.418579,1.092837
1.434549,1.095401
1.445755,1.095954
1.457055,1.09583
1.467505,1.089856
1.481838,1.089915
1.491911,1.090839
1.501928,1.094657
1.510486,1.096941
1.518366,1.096932
1.53025,1.096973
1.543677,1.093449
1.55687,1.097281
1.564803,1.090918
1.57191,1.091209
1.579556,1.091261
1.592541,1.092234
1.606054,1.091455
1.619458,1.096906
1.628925,1.093218
1.63815,1.094247
1.65206,1.095924
1.661256,1.095761
1.670259,1.094515
1.677599,1.09839
1.685571,1.098309
1.693988,1.097988
1.701851,1.09403
1.709353,1.094104
1.72362,1.098334
1.734183,1.095667
1.747243,1.097164
1.755568,1.098222
1.764412,1.096924
1.772089,1.095103
1.779655,1.098417
1.794103,1.095978
1.804018,1.097589
1.81517,1.098055
1.828771,1.096239
1.836352,1.098476
1.844433,1.097812
1.852678,1.098066
1.860703,1.095132
1.874408,1.096308
1.885093,1.098179
1.89448,1.09425
1.905612,1.098122
1.920959,1.096118
1.930986,1.093753
1.938386,1.096562
1.948929,1.094366
1.959097,1.095788
1.971303,1.097505
1.978683,1.092793
1.993249,1.095389
2.00719,1.096676
2.019659,1.095601
2.033319,1.091347
2.043752,1.096649
2.051839,1.091844
2.059926,1.089933
2.073873,1.092574
2.081293,1.090059
2.090361,1.089979
2.098908,1.090328
2.107471,1.090504
2.115434,1.090095
2.125445,1.090618
2.13613,1.090713
2.145345,1.091157
2.152721,1.094621
2.161278,1.09884
2.168544,1.099847
2.175761,1.099868
2.182949,1.099902
2.190085,1.09991
2.199407,1.093193
2.210144,1.095082
2.220836,1.09694
2.229504,1.094275
2.238502,1.098148
2.246673,1.098546
2.254856,1.092592
2.264674,1.098132
2.273755,1.096405
2.283302,1.097573
2.294874,1.097092
2.305355,1.0928
2.31309,1.093096
2.324033,1.096635
2.337563,1.096282
2.345664,1.097308
2.35649,1.095606
2.36753,1.097207
2.375743,1.097345
2.384468,1.095965
2.392684,1.09758
2.400767,1.094328
2.411146,1.097106
2.424016,1.09644
2.437905,1.095997
2.445273,1.097062
2.456338,1.097663
2.464301,1.097123
2.474801,1.098127
2.483518,1.097674
2.491509,1.097008
