frame,value
0,0.01
0.002691,0.01
0.00552,0.01
0.008176,0.01
0.010686,0.01
0.013251,0.01
0.016288,0.01
0.018891,0.01
0.02178,0.01
0.024963,0.01
0.028255,0.01
0.031096,0.01
0.033679,0.01
0.036224,0.01
0.038771,0.01
0.041948,0.01
0.045336,0.01
0.048207,0.01
0.051202,0.01
0.05416,0.01
0.056921,0.01
0.059945,0.01
0.062887,0.01
0.065923,0.01
0.069069,0.01
0.071939,0.01
0.074831,0.01
0.077397,0.01
0.080277,0.01
0.082921,0.01
0.085884,0.01
0.089141,0.01
0.091805,0.01
0.095003,0.01
0.098008,0.01
0.100617,0.01
0.103549,0.01
0.106642,0.01
0.109244,0.01
0.111942,0.01
0.114576,0.01
0.117286,0.01
0.120722,0.01
0.123913,0.01
0.126513,0.01
0.129951,0.01
0.132659,0.01
0.136259,0.01
0.139637,0.01
0.142382,0.01
0.145327,0.01
0.148332,0.01
0.15156,0.0288
0.161588,0.0288
0.169325,0.0288
0.179033,0.0288
0.189362,0.0288
0.196979,0.0288
0.205708,0.0288
0.218171,0.0288
0.232176,0.0288
0.239432,0.0288
0.249681,0.0288
0.25813,0.0288
0.269416,0.0288
0.281974,0.0288
0.300225,0.0288
0.315548,0.0288
0.331236,0.0288
0.34836,0.0288
0.362576,0.0288
0.371961,0.0288
0.386667,0.0288
0.402419,0.0288
0.414131,0.0288
0.425555,0.0288
0.437445,0.0288
0.44543,0.0288
0.465036,0.0288
0.475417,0.0288
0.490983,0.0288
0.498384,0.0288
0.522257,0.0288
0.531587,0.0288
0.54378,0.0288
0.556727,0.0288
0.572623,0.0288
0.581743,0.0288
0.597758,0.0288
0.618343,0.0288
0.626675,0.0288
0.633993,0.0288
0.644759,0.0288
0.657534,0.0288
0.672176,0.0288
0.684517,0.0288
0.699584,0.0288
0.708432,0.0288
0.718897,0.0288
0.735112,0.0288
0.745934,0.0288
0.754689,0.0288
0.762085,0.0288
0.773139,0.0288
0.794569,0.0288
0.803317,0.0288
0.813738,0.0288
0.829964,0.0288
0.837717,0.0288
0.849645,0.0288
0.878445,0.0288
0.887686,0.0288
0.894967,0.0288
0.911845,0.0288
0.921383,0.0288
0.931456,0.0288
0.952219,0.0288
0.960238,0.0288
0.970296,0.0288
0.982019,0.0288
0.994149,0.0288
1.012291,0.0288
1.020552,0.0288
1.039692,0.0288
1.047477,0.0288
1.063211,0.0288
1.0759,0.0288
1.097243,0.0288
1.106886,0.0288
1.135686,0.0288
1.143511,0.0288
1.152885,0.0288
1.174857,0.0288
1.183353,0.0288
1.197677,0.0288
1.212047,0.0288
1.226005,0.0288
1.240427,0.0288
1.25461,0.0288
1.267146,0.0288
1.285825,0.0288
1.298834,0.0288
1.324477,0.0288
1.33173,0.0288
1.347104,0.0288
1.362574,0.0288
1.38971,0.0288
1.397301,0.0288
1.405949,0.0288
1.415064,0.0288
1.423134,0.0288
1.434147,0.0288
1.446308,0.0288
1.458899,0.0288
1.470812,0.0288
1.485403,0.0288
1.492722,0.0288
1.504969,0.0288
1.523577,0.0288
1.534059,0.0288
1.543338,0.0288
1.555499,0.0288
1.569546,0.0288
1.577001,0.0288
1.585102,0.0288
1.597326,0.0288
1.605753,0.0288
1.614794,0.0288
1.628407,0.0288
1.63929,0.0288
1.648741,0.0288
1.656894,0.0288
1.664847,0.0288
1.673623,0.0288
1.685549,0.0288
1.694405,0.0288
1.702146,0.0288
1.710226,0.0288
1.724305,0.0288
1.737528,0.0288
1.745386,0.0288
1.756277,0.0288
1.768916,0.0288
1.776982,0.0288
1.787478,0.0288
1.79505,0.0288
1.80362,0.0288
1.814989,0.0288
1.823246,0.0288
1.834147,0.0288
1.847584,0.0288
1.856095,0.0288
1.871903,0.0288
1.879461,0.0288
1.889469,0.0288
1.898863,0.0288
1.911202,0.0288
1.919793,0.0288
1.928635,0.0288
1.936534,0.0288
1.945182,0.0288
1.955789,0.0288
1.964304,0.0288
1.973194,0.0288
1.983285,0.0288
1.993419,0.0288
2.001173,0.0288
2.011838,0.0288
2.024111,0.0288
2.041788,0.0288
2.054494,0.0288
2.065457,0.0288
2.076488,0.0288
2.084008,0.0288
2.096451,0.0288
2.105411,0.0288
2.113264,0.0288
2.121213,0.0288
2.13151,0.0288
2.139311,0.0288
2.146756,0.0288
2.154087,0.0288
2.161304,0.0288
2.168568,0.0288
2.176008,0.0288
2.183703,0.0288
2.191613,0.0288
2.199742,0.0288
2.207025,0.0288
2.214322,0.0288
2.22328,0.0288
2.231093,0.0288
2.238412,0.0288
2.253131,0.0288
2.260618,0.0288
2.270394,0.0288
2.278784,0.0288
2.287526,0.0288
2.295928,0.0288
2.307159,0.0288
2.319249,0.0288
2.330774,0.0288
2.3387,0.0288
2.348466,0.0288
2.360868,0.0288
2.370187,0.0288
2.379233,0.0288
2.389592,0.0288
2.399647,0.0288
2.407395,0.0288
2.417568,0.0288
2.429443,0.0288
2.441754,0.0288
2.45082,0.0288
2.459417,0.0288
2.470716,0.0288
2.478403,0.0288
2.488663,0.0288
2.497418,0.0288
2.507327,0.0288
2.514914,0.0288
2.522605,0.0288
2.531678,0.0288
2.545905,0.0288
2.553384,0.0288
2.562093,0.0288
2.570789,0.0288
2.581749,0.0288
2.592136,0.0288
2.601576,0.0288
2.613109,0.0288
2.622993,0.0288
2.633829,0.0288
2.642616,0.0288
2.65218,0.0288
2.65996,0.0288
2.675528,0.0288
2.686672,0.0288
2.694812,0.0288
2.708384,0.0288
2.717387,0.0288
2.725648,0.0288
2.73579,0.0288
2.743822,0.0288
2.751088,0.0288
2.759264,0.0288
2.767798,0.0288
2.775243,0.0288
2.784413,0.0288
2.793649,0.0288
2.802725,0.0288
2.811028,0.0288
2.823765,0.0288
2.83318,0.0288
2.842649,0.0288
2.851561,0.0288
2.863345,0.0288
2.872603,0.0288
2.885864,0.0288
2.893178,0.0288
2.902707,0.0288
2.91395,0.0288
2.924432,0.0288
2.931657,0.0288
2.942634,0.0288
2.950875,0.0288
2.958152,0.0288
2.973876,0.0288
2.982021,0.0288
2.990258,0.0288
2.99979,0.0288
3.009124,0.0288
3.020467,0.0288
3.029041,0.0288
3.036552,0.0288
3.044796,0.0288
3.054001,0.0288
3.06462,0.0288
3.076156,0.0288
3.08371,0.0288
3.101885,0.0288
3.111184,0.0288
3.119282,0.0288
3.126872,0.0288
3.135338,0.0288
3.148759,0.0288
3.156935,0.0288
3.165819,0.0288
3.17427,0.0288
3.188931,0.0288
3.200374,0.0288
3.218296,0.0288
3.231501,0.0288
3.252079,0.0288
3.26789,0.0288
3.291845,0.0288
3.309814,0.0288
3.330121,0.0288
3.355066,0.0288
3.375141,0.0288
3.396703,0.0288
3.4141,0.0288
3.4429,0.0288
3.453946,0.0288
3.480961,0.0288
3.491213,0.0288
3.501856,0.0288
3.510593,0.0288
3.532815,0.0288
3.558642,0.0288
3.587442,0.0288
3.602177,0.0288
3.616125,0.0288
3.644925,0.0288
3.659164,0.0288
3.668209,0.0288
3.678936,0.0288
3.694203,0.0288
3.723003,0.0288
3.737914,0.0288
3.766714,0.0288
3.783172,0.0288
3.797862,0.0288
3.824297,0.0288
3.838055,0.0288
3.855823,0.0288
3.874383,0.0288
3.886371,0.0288
3.898977,0.0288
3.927777,0.0288
3.939604,0.0288
3.948347,0.0288
3.959712,0.0288
3.983749,0.0288
