frame,value
0,0.03269569
0,0.04446358
0,0.05571287
0,0.05459026
0,0.05556129
0,0.05745315
0,0.03007314
0.002689,0.0613797
0.002689,0.05854404
0.002689,0.05730075
0.002689,0.0567488
0.002689,0.05532113
0.002689,0.0547805
0.002689,0.0538765
0.002689,0.05351222
0.002689,0.0510799
0.002689,0.02366058
0.005686,0.05376441
0.005686,0.05294367
0.005686,0.05287094
0.005686,0.0520702
0.005686,0.05213093
0.005686,0.05151454
0.005686,0.05164745
0.005686,0.05106405
0.005686,0.05112945
0.005686,0.05060754
0.005686,0.02150369
0.008322,0.05458423
0.008322,0.05221999
0.008322,0.05126553
0.008322,0.04903381
0.008322,0.04940252
0.008322,0.04740367
0.008322,0.02055079
0.01086,0.05261824
0.01086,0.05135361
0.01086,0.04945316
0.01086,0.04745486
0.01086,0.04425266
0.01086,0.04400289
0.01086,0.04260792
0.01086,0.0425402
0.01086,0.02023021
0.013459,0.04735216
0.013459,0.04672121
0.013459,0.04354372
0.013459,0.04121722
0.013459,0.03973448
0.013459,0.0374042
0.013459,0.03530283
0.013459,0.01831228
0.016277,0.0399638
0.016277,0.03693082
0.016277,0.035169
0.016277,0.03453671
0.016277,0.0319323
0.016277,0.03106621
0.016277,0.01838575
0.018826,0.03414905
0.018826,0.02949231
0.018826,0.02904945
0.018826,0.02889813
0.018826,0.02795267
0.018826,0.01837946
0.02152,0.02791901
0.02152,0.02809994
0.02152,0.02756669
0.02152,0.02723205
0.02152,0.02713095
0.02152,0.02616468
0.02152,0.01808332
0.024055,0.02824574
0.024055,0.02732057
0.024055,0.02448018
0.024055,0.02476362
0.024055,0.02394409
0.024055,0.02328186
0.024055,0.0170526
0.027266,0.02270017
0.027266,0.0221771
0.027266,0.02169776
0.027266,0.02101426
0.027266,0.02099224
0.027266,0.01666742
0.030394,0.02157807
0.030394,0.01994078
0.030394,0.01982515
0.030394,0.01876746
0.030394,0.01850609
0.030394,0.01623225
0.032995,0.01851455
0.032995,0.01820565
0.032995,0.01743001
0.032995,0.01727905
0.032995,0.01694856
0.032995,0.015415
0.035564,0.01707708
0.035564,0.01568022
0.035564,0.01557271
0.035564,0.01531644
0.035564,0.01490796
0.038128,0.01714124
0.038128,0.0168923
0.038128,0.01549651
0.038128,0.01527325
0.038128,0.01454941
0.038128,0.01533465
0.040687,0.01647921
0.040687,0.01627619
0.040687,0.01549163
0.040687,0.01520146
0.040687,0.0144543
0.040687,0.01417909
0.0432,0.01578154
0.0432,0.01559514
0.0432,0.01465865
0.0432,0.01429273
0.0432,0.01526001
0.046159,0.01531132
0.046159,0.01468624
0.046159,0.01440955
0.046159,0.01489183
0.048812,0.01479781
0.048812,0.01385004
0.048812,0.01372573
0.048812,0.01397334
0.05189,0.01460159
0.05189,0.01426007
0.05189,0.01435938
0.05189,0.01661725
0.05189,0.01525372
0.05189,0.01570697
0.055412,0.01436576
0.055412,0.01430952
0.055412,0.014023
0.055412,0.0141802
0.055412,0.01364008
0.055412,0.01373431
0.05812,0.01477008
0.05812,0.01469853
0.05812,0.01458486
0.05812,0.01352736
0.05812,0.01329911
0.061297,0.01422614
0.061297,0.01456289
0.061297,0.01471773
0.061297,0.01358045
0.061297,0.01490875
0.064367,0.01360543
0.064367,0.01412147
0.064367,0.01238954
0.064367,0.01178533
0.067288,0.01420883
0.067288,0.01381583
0.067288,0.01805227
0.067288,0.01603943
0.067288,0.01652315
0.070421,0.01817082
0.070421,0.01514157
0.070421,0.01660557
0.070421,0.01523773
0.070421,0.02260469
0.070421,0.01628025
0.070421,0.02536086
0.07315,0.01941713
0.07315,0.01625223
0.07315,0.02271269
0.07315,0.01568667
0.07315,0.02161486
0.075847,0.01627409
0.075847,0.01888506
0.075847,0.01697705
0.075847,0.01519599
0.075847,0.02031511
0.075847,0.01680538
0.078604,0.01983968
0.078604,0.01820054
0.078604,0.02067252
0.078604,0.01849236
0.078604,0.0205499
0.078604,0.01508758
0.081875,0.01745747
0.081875,0.01917915
0.081875,0.01540555
0.081875,0.01736471
0.081875,0.02289553
0.081875,0.0183966
0.081875,0.02332733
0.081875,0.0159842
0.084453,0.02158195
0.084453,0.01701833
0.084453,0.0254507
0.084453,0.01805625
0.084453,0.01577209
0.084453,0.01592609
0.084453,0.01686485
0.087166,0.01809837
0.087166,0.02030332
0.087166,0.01496024
0.087166,0.01783904
0.087166,0.01386908
0.087166,0.01437286
0.087166,0.01998888
0.087166,0.01678508
0.089859,0.01675444
0.089859,0.01601804
0.089859,0.02005526
0.089859,0.02097338
0.089859,0.01914738
0.089859,0.02051449
0.089859,0.01660137
0.089859,0.01730127
0.092467,0.01618389
0.092467,0.02495734
0.092467,0.01531984
0.092467,0.02698478
0.092467,0.01737132
0.092467,0.01795296
0.095178,0.0260007
0.095178,0.02277088
0.095178,0.01467924
0.095178,0.01470231
0.095178,0.02207979
0.095178,0.01991843
0.095178,0.01485992
0.095178,0.01517605
0.095178,0.01850711
0.097713,0.021981
0.097713,0.01533965
0.097713,0.01895042
0.097713,0.01651079
0.097713,0.01698139
0.097713,0.01693217
0.097713,0.01837471
0.100513,0.01660764
0.100513,0.02047974
0.100513,0.01617399
0.100513,0.01979078
0.100513,0.01621957
0.100513,0.01665753
0.100513,0.01624043
0.100513,0.01789385
0.103065,0.02140352
0.103065,0.01992644
0.103065,0.01635475
0.103065,0.02185522
0.103065,0.01606267
0.103065,0.01944627
0.103065,0.0159455
0.103065,0.01964934
0.103065,0.01425248
0.103065,0.01624345
0.105762,0.01639346
0.105762,0.01699504
0.105762,0.01609586
0.105762,0.01857665
0.105762,0.01698149
0.105762,0.02551557
0.105762,0.02610231
0.105762,0.01657088
0.108487,0.02421466
0.108487,0.02331357
0.108487,0.02322979
0.108487,0.01842841
0.108487,0.01697618
0.108487,0.01787986
0.108487,0.01479407
0.111003,0.0172261
0.111003,0.01717081
0.111003,0.01764736
0.111003,0.02114777
0.111003,0.02258035
0.111003,0.02804832
0.111003,0.02280656
0.111003,0.02078344
0.111003,0.01529637
0.113509,0.01704363
0.113509,0.01600273
0.113509,0.02852624
0.113509,0.03249392
0.113509,0.03036357
0.113509,0.02055184
0.113509,0.01690911
0.113509,0.01960049
0.116022,0.02160449
0.116022,0.03335521
0.116022,0.02929484
0.116022,0.01948834
0.116022,0.01988989
0.116022,0.01876536
0.116022,0.02038995
0.116022,0.01633131
0.118951,0.01897062
0.118951,0.02015003
0.118951,0.02275194
0.118951,0.0328827
0.118951,0.02790685
