frame,value
0,0
0.002689,6.2499
0.005686,6.563327
0.008322,6.076434
0.01086,5.953784
0.013459,5.631578
0.016277,4.933573
0.018826,3.988389
0.02152,3.404193
0.024055,3.511247
0.027266,2.936576
0.030394,2.574239
0.032995,2.328586
0.035564,2.020495
0.038128,2.150401
0.040687,2.088157
0.0432,1.941072
0.046159,1.768916
0.048812,1.693068
0.05189,1.682088
0.055412,1.859405
0.05812,1.949832
0.061297,1.768997
0.064367,1.813185
0.067288,1.644596
0.070421,1.796235
0.07315,1.66517
0.075847,2.154788
0.078604,1.766735
0.081875,2.355659
0.084453,1.732941
0.087166,1.980432
0.089859,1.693716
0.092467,1.816834
0.095178,1.805153
0.097713,1.821778
0.100513,1.844241
0.103065,1.859063
0.105762,1.937673
0.108487,1.701348
0.111003,1.848828
0.113509,2.001315
0.116022,2.144718
0.118951,2.108804
0.121814,2.704475
0.124651,2.635654
0.127732,2.45027
0.130477,2.864214
0.133632,2.228017
0.137441,2.335567
0.140051,2.438295
0.143016,2.314961
0.146376,2.404147
0.149188,2.416768
0.152154,2.336185
0.160089,0.8717721
0.169928,0.6563977
0.180527,0.6084077
0.188663,0.5448926
0.198916,0.4205928
0.211835,0.3740717
0.222558,0.4042298
0.230971,0.4301472
0.241181,0.3472243
0.252627,0.3077226
0.267752,0.2515879
0.289499,0.226615
0.301266,0.1955987
0.311668,0.17728
0.332466,0.1719112
0.345402,0.1745747
0.356487,0.1778006
0.369009,0.1909333
0.386519,0.1960979
0.408413,0.2082561
0.428503,0.2312998
0.440099,0.2786513
0.449396,0.3135388
0.460237,0.3342949
0.477448,0.3285908
0.49179,0.2541198
0.499856,0.264333
0.509858,0.2629973
0.519642,0.2309051
0.52762,0.2373069
0.542675,0.2176171
0.55921,0.1940922
0.580627,0.1611622
0.598468,0.1494313
0.611595,0.1791676
0.630265,0.1471835
0.641633,0.1603621
0.651849,0.1882494
0.665549,0.1319107
0.687207,0.141037
0.696938,0.1795686
0.709311,0.1662142
0.717324,0.1540592
0.73922,0.132096
0.750179,0.1767328
0.760228,0.2578468
0.768934,0.144181
0.783031,0.1233704
0.800432,0.1072611
0.809521,0.1913126
0.819981,0.177918
0.849781,0.1230573
0.861212,0.2163276
0.875806,0.1322351
0.894258,0.1342361
0.906192,0.1768625
0.930654,0.1233521
0.942595,0.1928991
0.953204,0.2161845
0.968508,0.1232575
0.97981,0.1644575
1.006079,0.1145876
1.017923,0.2015533
1.030821,0.1763032
1.051611,0.1210301
1.06575,0.1704905
1.075575,0.17592
1.105375,0.1242749
1.112834,0.2907281
1.125932,0.1616433
1.147833,0.1306381
1.158899,0.2216869
1.178387,0.1238845
1.187193,0.1704848
1.212533,0.1325466
1.223907,0.2212314
1.246253,0.1352021
1.25493,0.1989506
1.270638,0.1265369
1.283661,0.1633956
1.305363,0.1235346
1.313281,0.2176872
1.3224,0.1721001
1.343197,0.1383456
1.351098,0.2789209
1.380898,0.09754293
1.388424,0.3442434
1.411087,0.1297672
1.421784,0.3263681
1.438775,0.339567
1.450012,0.4297266
1.459723,0.4667128
1.469664,0.3598784
1.481074,0.5943672
1.489586,0.594172
1.504937,0.3549355
1.515925,0.4800579
1.526799,0.6141778
1.536994,0.3824196
1.549136,0.4741978
1.558303,0.6130984
1.569694,0.574091
