frame,value
0,0
1,5669
2,2697
3,1860
4,1563
5,2169
6,2711
7,3425
8,1465
9,1084
10,451
11,539
12,445
13,300
14,352
15,216
16,217
17,145
18,130
19,282
20,133
21,130
22,133
23,145
24,150
25,145
26,132
27,259
28,140
29,146
30,266
31,133
32,354
33,148
34,158
35,147
36,144
37,155
38,140
39,133
41,305
42,278
43,123
44,155
45,215
46,438
48,390
49,344
50,258
51,211
52,222
53,133
54,140
55,166
56,221
57,216
58,221
60,302
61,220
63,356
64,349
66,161
67,337
68,142
69,204
70,222
71,130
72,159
73,221
74,224
75,131
76,143
77,139
78,147
79,257
80,135
81,124
82,254
83,125
84,235
85,131
86,221
87,136
88,349
89,351
90,137
91,373
92,139
93,267
94,224
95,456
96,358
97,217
98,217
99,339
100,336
101,350
102,423
103,301
104,512
105,334
106,133
107,342
108,416
109,214
110,139
111,265
112,260
113,424
114,135
115,125
116,271
117,348
118,226
119,128
120,346
121,263
122,146
123,267
124,210
125,541
126,611
127,300
128,1166
129,3493
130,6212
131,3715
132,1162
133,204
134,463
135,644
136,136
137,443
138,130
139,444
140,472
141,330
142,356
143,509
144,301
145,431
146,416
147,551
148,508
149,209
150,326
151,408
152,337
153,344
154,139
155,340
156,350
157,138
158,262
159,139
160,269
161,423
162,220
163,442
164,582
165,1171
166,1110
167,808
168,123
169,203
170,251
171,404
172,427
173,216
174,266
175,273
176,357
177,301
178,364
179,448
180,455
181,138
182,407
183,483
184,338
185,368
186,440
187,418
188,127
189,389
190,388
191,420
192,232
193,138
194,130
195,130
196,211
197,144
198,133
199,148
200,129
202,147
203,131
204,259
205,139
206,142
208,146
209,138
210,130
212,151
214,277
216,147
217,135
218,133
220,143
221,241
223,147
224,134
225,127
227,139
228,239
230,136
231,104
232,201
233,129
234,121
236,132
237,108
238,179
239,128
240,119
