frame,value
0,673
0.002688,1171
0.005655,962
0.008202,877
0.010995,821
0.013636,543
0.016181,525
0.019014,351
0.021566,417
0.02453,343
0.027046,493
0.029976,479
0.0326,469
0.036069,397
0.039431,376
0.042856,295
0.045548,389
0.048086,235
0.050797,281
0.054157,229
0.056671,359
0.059784,231
0.062662,285
0.065668,225
0.068409,224
0.071032,223
0.073711,518
0.076214,677
0.079424,275
0.082,733
0.08476,276
0.08745,549
0.089952,511
0.0925,530
0.095098,529
0.098284,556
0.10094,398
0.103664,428
0.10682,364
0.109344,471
0.112067,442
0.114779,473
0.117596,400
0.120655,321
0.123517,305
0.126362,198
0.129111,243
0.131859,269
0.134635,203
0.13782,203
0.140563,136
0.143448,151
0.146112,205
0.149766,152
0.152798,311
0.163003,215
0.17305,301
0.186305,297
0.19692,200
0.209853,118
0.218865,119
0.227311,199
0.239366,198
0.252909,141
0.273458,208
0.285934,197
0.300552,127
0.312387,139
0.331815,133
0.34921,125
0.362545,139
0.380611,121
0.389276,131
0.40264,130
0.419249,135
0.436723,207
0.451223,221
0.468976,143
0.493009,145
0.510674,129
0.521397,136
0.531944,130
0.541156,135
0.551025,148
0.568979,130
0.577436,134
0.587308,135
0.599472,139
0.613416,141
0.626727,144
0.641322,160
0.673322,221
0.690263,155
0.718123,218
0.732421,128
0.743303,140
0.760153,131
0.773634,131
0.784648,150
0.810502,117
0.818766,209
0.832221,132
0.843407,154
0.867999,212
0.88103,214
0.893587,144
0.911707,209
0.923575,123
0.93289,155
0.955601,128
0.964823,136
0.977448,165
1.007875,127
1.016062,215
1.028382,135
1.038743,173
1.070743,224
1.086021,150
1.108557,214
1.122712,148
1.146795,209
1.159205,251
1.1912,123
1.200212,215
1.212865,239
1.239668,126
1.248382,151
1.27419,126
1.284095,131
1.294666,164
1.324457,218
1.339159,136
1.352359,168
1.384359,215
1.397493,132
1.409252,137
1.423025,225
1.440298,224
1.457428,137
1.469801,214
1.482475,131
1.491599,230
1.514104,138
1.527646,218
1.542085,222
1.554282,218
1.565582,228
1.579955,209
1.589107,207
1.600336,207
1.61375,212
1.630189,127
1.639367,126
1.64803,209
1.656846,218
1.669098,208
1.678076,212
1.688609,209
1.698256,293
1.709432,208
1.719585,121
1.728272,206
1.738204,290
1.752128,122
1.761398,204
1.772339,202
1.781488,217
1.79322,204
1.801929,203
1.810793,138
1.823905,136
1.836504,139
1.85227,125
1.862212,127
1.870845,128
1.881746,208
1.891315,212
1.904786,203
1.914713,125
1.923081,125
1.934023,124
1.943178,133
1.954394,125
1.964974,127
1.977978,126
1.988068,127
1.999664,123
2.008588,125
2.01866,219
2.034952,129
2.044416,135
2.058387,218
2.072703,221
2.085296,212
2.093694,378
2.103432,213
2.111609,306
2.124242,219
2.135692,366
2.144441,1185
2.152507,2402
2.160723,2225
2.168934,5887
2.177026,4317
2.185039,2107
2.193132,754
2.202744,205
2.210967,223
2.220627,229
2.228723,308
2.238972,314
2.250356,226
2.261743,208
2.270365,223
2.281536,226
2.291174,324
2.301235,228
2.310625,222
2.326653,141
2.33522,237
2.347011,215
2.355826,214
2.367791,133
2.376745,212
2.386302,212
2.396219,285
2.405028,289
2.417855,288
2.432765,298
2.443509,272
2.454184,312
2.472998,217
2.482015,206
2.491098,207
2.500052,206
2.511321,203
2.520412,132
2.530448,206
2.539178,207
2.552039,197
2.562219,212
2.572976,213
2.582068,219
2.593433,137
2.604389,127
2.61354,131
2.622667,136
2.635472,127
2.645451,136
2.657391,211
2.667544,129
2.675947,221
2.69061,131
2.699514,137
2.712925,125
2.721427,364
2.731301,427
2.74067,750
2.749761,786
2.759213,348
2.767492,521
2.775565,431
2.78382,452
2.792312,200
2.800581,212
2.816397,214
2.826007,205
2.835986,203
2.845918,209
2.859402,149
2.878105,136
2.89016,216
2.900848,135
2.91134,222
2.924712,129
2.93289,223
2.945158,230
2.95723,132
2.966041,232
2.976482,235
2.989271,231
2.998842,221
3.007513,228
3.020449,221
3.032367,210
3.042828,135
3.054724,204
3.062954,210
3.071858,131
3.080509,204
3.088993,205
3.100132,205
3.109949,201
3.122241,198
3.131389,267
3.144606,202
3.15791,262
3.16984,123
3.181034,199
3.194699,137
3.212419,137
3.228863,206
3.243946,133
3.256585,128
3.267775,142
3.282704,152
3.310425,125
3.326161,139
3.358161,133
3.376969,114
3.385616,202
3.403089,122
3.414923,141
3.446923,119
3.455711,212
3.473913,136
3.495725,142
3.525871,136
3.546566,143
3.575244,109
3.587877,142
3.619243,123
3.634163,118
3.646483,142
3.671159,198
3.687902,126
3.702264,141
3.732165,116
3.744022,121
3.758632,143
3.790632,106
3.798837,186
3.814516,115
3.827432,137
3.854075,121
3.86827,126
3.883871,138
3.911094,117
3.924069,106
3.932338,108
3.941152,112
3.952818,140
3.981688,193
3.99961,139
