frame,value
0,78
0,87
0,92
0,94
0,93
0,93
0,43
0.002688,139
0.002688,81
0.002688,87
0.002688,93
0.002688,91
0.002688,96
0.002688,90
0.002688,98
0.002688,98
0.002688,113
0.002688,37
0.005636,86
0.005636,85
0.005636,86
0.005636,86
0.005636,82
0.005636,84
0.005636,102
0.005636,82
0.005636,81
0.005636,42
0.008183,104
0.008183,83
0.008183,94
0.008183,107
0.008183,83
0.008183,89
0.008183,92
0.008183,46
0.010891,106
0.010891,96
0.010891,69
0.010891,73
0.010891,71
0.010891,78
0.010891,81
0.010891,77
0.010891,39
0.01378,75
0.01378,73
0.01378,67
0.01378,70
0.01378,68
0.01378,66
0.01378,34
0.016345,61
0.016345,62
0.016345,59
0.016345,66
0.016345,65
0.016345,60
0.016345,32
0.019089,60
0.019089,58
0.019089,58
0.019089,66
0.019089,65
0.019089,65
0.019089,41
0.022345,66
0.022345,63
0.022345,66
0.022345,63
0.022345,64
0.022345,38
0.025065,66
0.025065,69
0.025065,54
0.025065,56
0.025065,61
0.025065,59
0.025065,37
0.028267,55
0.028267,57
0.028267,58
0.028267,60
0.028267,62
0.028267,38
0.031006,59
0.031006,64
0.031006,61
0.031006,62
0.031006,61
0.031006,57
0.031006,37
0.033583,60
0.033583,55
0.033583,58
0.033583,63
0.033583,57
0.033583,58
0.033583,41
0.037043,55
0.037043,57
0.037043,56
0.037043,55
0.037043,57
0.037043,41
0.04054,58
0.04054,56
0.04054,61
0.04054,53
0.04054,54
0.04054,32
0.043614,55
0.043614,54
0.043614,58
0.043614,52
0.043614,54
0.043614,35
0.046119,52
0.046119,47
0.046119,48
0.046119,48
0.046119,52
0.046119,26
0.048727,46
0.048727,47
0.048727,51
0.048727,54
0.048727,50
0.048727,53
0.048727,29
0.05178,47
0.05178,46
0.05178,51
0.05178,45
0.05178,45
0.05178,34
0.055636,46
0.055636,50
0.055636,46
0.055636,51
0.055636,55
0.055636,37
0.05878,52
0.05878,48
0.05878,48
0.05878,43
0.05878,30
0.061902,52
0.061902,53
0.061902,56
0.061902,47
0.061902,37
0.065318,50
0.065318,52
0.065318,48
0.065318,34
0.067855,46
0.067855,55
0.067855,52
0.067855,52
0.067855,30
0.0707,49
0.0707,40
0.0707,40
0.0707,48
0.0707,32
0.073486,50
0.073486,51
0.073486,48
0.073486,48
0.073486,49
0.073486,28
0.076078,52
0.076078,42
0.076078,61
0.076078,68
0.076078,25
0.078672,49
0.078672,47
0.078672,50
0.078672,46
0.078672,48
0.078672,29
0.081317,48
0.081317,51
0.081317,55
0.081317,45
0.081317,52
0.081317,49
0.081317,57
0.081317,25
0.084757,43
0.084757,48
0.084757,47
0.084757,48
0.084757,49
0.084757,27
0.087268,47
0.087268,49
0.087268,48
0.087268,48
0.087268,50
0.087268,52
0.087268,31
0.089914,51
0.089914,51
0.089914,53
0.089914,53
0.089914,61
0.089914,58
0.089914,65
0.089914,32
0.092498,57
0.092498,46
0.092498,50
0.092498,43
0.092498,42
0.092498,44
0.092498,29
0.09531,48
0.09531,47
0.09531,49
0.09531,49
0.09531,49
0.09531,24
0.098291,51
0.098291,52
0.098291,55
0.098291,55
0.098291,66
0.098291,44
0.098291,59
0.098291,25
0.100994,44
0.100994,46
0.100994,40
0.100994,39
0.100994,37
0.100994,38
0.100994,39
0.100994,21
0.10417,37
0.10417,37
0.10417,39
0.10417,39
0.10417,40
0.10417,24
0.106857,46
0.106857,45
0.106857,51
0.106857,47
0.106857,55
0.106857,57
0.106857,44
0.106857,28
0.109682,42
0.109682,40
0.109682,49
0.109682,36
0.109682,38
0.109682,46
0.109682,52
0.109682,27
0.112284,48
0.112284,50
0.112284,50
0.112284,47
0.112284,48
0.112284,47
0.112284,39
0.112284,37
0.112284,25
0.114894,45
0.114894,45
0.114894,46
0.114894,42
0.114894,32
0.114894,38
0.114894,41
0.114894,24
0.117529,40
0.117529,39
0.117529,37
0.117529,38
0.117529,44
0.117529,45
0.117529,42
0.117529,44
0.117529,30
0.120244,36
0.120244,39
0.120244,38
0.120244,43
0.120244,44
0.120244,45
0.120244,30
0.122756,39
0.122756,40
0.122756,40
0.122756,45
0.122756,38
0.122756,46
0.122756,28
0.125846,41
0.125846,38
0.125846,39
0.125846,23
0.128558,36
0.128558,35
0.128558,41
0.128558,26
0.131871,40
0.131871,36
0.131871,36
0.131871,25
0.134636,36
0.134636,39
0.134636,23
0.137494,40
0.137494,44
0.137494,20
0.140169,38
0.140169,38
0.140169,22
0.143376,38
0.143376,43
0.143376,43
0.143376,24
0.146718,42
0.146718,41
0.146718,24
0.150086,68
0.150086,74
0.150086,41
0.160008,75
0.160008,72
0.160008,37
0.16893,71
0.16893,75
0.16893,40
0.178025,69
0.178025,69
0.178025,71
0.178025,73
0.178025,52
0.19145,65
0.19145,61
0.19145,40
0.200746,62
0.200746,65
0.200746,43
0.212372,62
0.212372,66
0.212372,61
0.212372,46
0.226071,67
0.226071,67
0.226071,44
0.24055,59
0.24055,39
0.252511,59
0.252511,62
0.252511,61
0.277657,63
0.277657,51
0.295734,60
0.295734,61
0.31796,59
0.31796,42
0.332175,60
0.332175,55
0.355764,59
0.355764,46
0.372333,57
0.372333,58
0.372333,43
0.385027,63
0.385027,64
0.385027,59
0.40653,67
0.40653,45
0.420889,67
0.420889,40
0.432901,64
0.432901,37
0.442686,67
0.442686,71
0.442686,52
0.461407,72
0.461407,56
