frame,value
0,1
0.000579,1
0.001331,1
0.0024,1
0.003441,1
0.00479,1
0.005809,1
0.006416,1
0.007345,1
0.008238,1
0.008782,1
0.009398,1
0.009989,1
0.010554,1
0.011173,1
0.011959,1
0.012657,1
0.01325,1
0.014142,1
0.014668,1
0.015506,1
0.016833,1
0.017725,1
0.018377,1
0.018988,1
0.019809,1
0.020378,1
0.021024,1
0.021614,1
0.022168,1
0.023011,1
0.023758,1
0.024324,1
0.024927,1
0.025491,1
0.026098,1
0.026618,1
0.027458,1
0.028381,1
0.029411,1
0.029941,1
0.030546,1
0.031181,1
0.031839,1
0.032469,1
0.032984,1
0.033544,1
0.034103,1
0.034904,1
0.035455,1
0.03624,1
0.036944,1
0.037473,1
0.038162,1
0.038835,1
0.039388,1
0.039969,1
0.040902,1
0.041975,1
0.042535,1
0.04318,1
0.044088,1
0.044929,1
0.04577,1
0.046709,1
0.047256,1
0.048208,1
0.048893,1
0.049457,1
0.050022,1
0.05066,1
0.051417,1
0.052046,1
0.052614,1
0.053118,1
0.053821,1
0.05449,1
0.055287,1
0.055943,1
0.056638,1
0.057553,1
0.058098,1
0.058614,1
0.059131,1
0.059756,1
0.060277,1
0.060803,1
0.061322,1
0.06204,1
0.062593,1
0.063554,1
0.064089,1
0.064804,1
0.065341,1
0.066009,1
0.066575,1
0.067124,1
0.067726,1
0.068273,1
0.068782,1
0.069357,1
0.070262,1
0.070824,1
0.071626,1
0.072176,1
0.072695,1
0.073258,1
0.074309,1
0.074874,1
0.075929,1
0.076501,1
0.077545,1
0.078147,1
0.078905,1
0.079411,1
0.080013,1
0.080564,1
0.081064,1
0.081794,1
0.082295,1
0.082844,1
0.083411,1
0.083923,1
0.085427,1
0.086018,1
0.086527,1
0.087049,1
0.087737,1
0.088425,1
0.089027,1
0.090391,1
0.091094,1
0.091628,1
0.09214,1
0.092642,1
0.093186,1
0.093691,1
0.094674,1
0.095368,1
0.095976,1
0.097093,1
0.098655,1
0.099246,1
0.099793,1
0.101061,1
0.101592,1
0.102099,1
0.102853,1
0.103369,1
0.104334,1
0.105052,1
0.105558,1
0.106106,1
0.108048,1
0.109126,1
0.109753,1
0.111074,1
0.111847,1
0.112799,1
0.113346,1
0.114,1
0.114557,1
0.115194,1
0.115748,1
0.116282,1
0.117183,1
0.117823,1
0.118455,1
0.118988,1
0.119726,1
0.120652,1
0.121363,1
0.121902,1
0.12275,1
0.123259,1
0.124211,1
0.12472,1
