frame,value
0,0.2896531
0.000579,0.3758062
0.001331,0.534602
0.0024,0.5203427
0.003441,0.6747684
0.00479,0.5092655
0.005809,0.303318
0.006416,0.4646235
0.007345,0.4468676
0.008238,0.2719181
0.008782,0.307614
0.009398,0.2958119
0.009989,0.2825252
0.010554,0.3093044
0.011173,0.3929449
0.011959,0.3490496
0.012657,0.2967773
0.01325,0.4457637
0.014142,0.2628129
0.014668,0.4192815
0.015506,0.6634374
0.016833,0.4458697
0.017725,0.3260313
0.018377,0.3056344
0.018988,0.410475
0.019809,0.2846569
0.020378,0.3227418
0.021024,0.2951354
0.021614,0.2770377
0.022168,0.4212446
0.023011,0.3738111
0.023758,0.2830018
0.024324,0.3015896
0.024927,0.2816919
0.025491,0.303419
0.026098,0.2603276
0.026618,0.4198963
0.027458,0.4616263
0.028381,0.5147601
0.029411,0.2649357
0.029941,0.3027121
0.030546,0.31725
0.031181,0.3292293
0.031839,0.3147798
0.032469,0.2574292
0.032984,0.28007
0.033544,0.2797585
0.034103,0.4006238
0.034904,0.2754505
0.035455,0.3923034
0.03624,0.3517929
0.036944,0.2645974
0.037473,0.3445672
0.038162,0.336514
0.038835,0.2767154
0.039388,0.290492
0.039969,0.4661821
0.040902,0.5364141
0.041975,0.2803209
0.042535,0.3221787
0.04318,0.4544334
0.044088,0.4201594
0.044929,0.4205781
0.04577,0.4696663
0.046709,0.2735917
0.047256,0.4755742
0.048208,0.3425507
0.048893,0.2823106
0.049457,0.2825871
0.050022,0.3189076
0.05066,0.3783289
0.051417,0.3144128
0.052046,0.2841534
0.052614,0.25193
0.053118,0.3515992
0.053821,0.334518
0.05449,0.3982125
0.055287,0.3280067
0.055943,0.347898
0.056638,0.4574219
0.057553,0.2723094
0.058098,0.2579193
0.058614,0.2586729
0.059131,0.31265
0.059756,0.2601544
0.060277,0.2634211
0.060803,0.2591851
0.061322,0.3588742
0.06204,0.2765636
0.062593,0.4808463
0.063554,0.2672809
0.064089,0.3577167
0.064804,0.2682909
0.065341,0.3339486
0.066009,0.2832925
0.066575,0.2744788
0.067124,0.3008409
0.067726,0.2734345
0.068273,0.2544764
0.068782,0.287543
0.069357,0.4524701
0.070262,0.2808253
0.070824,0.4009742
0.071626,0.2750775
0.072176,0.2594456
0.072695,0.2817575
0.073258,0.5256497
0.074309,0.2823659
0.074874,0.5272112
0.075929,0.2861735
0.076501,0.5219963
0.077545,0.3010144
0.078147,0.3792512
0.078905,0.2528061
0.079411,0.3011463
0.080013,0.2752124
0.080564,0.2501832
0.081064,0.3649036
0.081794,0.2505666
0.082295,0.2746721
0.082844,0.2833939
0.083411,0.2560411
0.083923,0.752056
0.085427,0.2951185
0.086018,0.2546786
0.086527,0.2612277
0.087049,0.3438291
0.087737,0.343977
0.088425,0.3011962
0.089027,0.6817651
0.090391,0.3516321
0.091094,0.2670573
0.091628,0.2557179
0.09214,0.251102
0.092642,0.2718148
0.093186,0.2526329
0.093691,0.4917215
0.094674,0.3466362
0.095368,0.3040849
0.095976,0.5587697
0.097093,0.7808776
0.098655,0.295371
0.099246,0.2735803
0.099793,0.6341359
0.101061,0.2652046
0.101592,0.253882
0.102099,0.3768874
0.102853,0.2579982
0.103369,0.4824289
0.104334,0.3589272
0.105052,0.2528968
0.105558,0.274366
0.106106,0.9710319
0.108048,0.5385359
0.109126,0.3137028
0.109753,0.6604592
0.111074,0.3866997
0.111847,0.475812
0.112799,0.2735599
0.113346,0.3269484
0.114,0.2782967
0.114557,0.3185902
0.115194,0.2773626
0.115748,0.2666936
0.116282,0.450456
0.117183,0.3202936
0.117823,0.3159254
0.118455,0.2664301
0.118988,0.368834
0.119726,0.4630225
0.120652,0.3554698
0.121363,0.2697054
0.121902,0.4239362
0.12275,0.2544702
0.123259,0.4762711
0.124211,0.2543969
0.12472,0.3672049
0.125455,0.399945
0.126255,0.2637694
0.126782,0.3746085
0.127531,0.2623206
0.128056,0.2671849
0.12859,0.2554158
0.129101,0.276884
0.129655,0.2702052
0.130195,0.2582765
0.130712,0.2522285
0.131216,0.343847
0.131904,0.256455
0.132417,0.3345043
0.133086,0.3154466
0.133717,0.3126151
0.134342,0.3477384
0.135038,0.3251006
0.135688,0.276421
0.136241,0.3343862
0.136909,0.3993939
0.137708,0.3815849
0.138471,0.4288711
0.139329,0.5165183
0.140362,0.4215478
0.141205,0.543501
0.142292,0.4374428
0.143167,0.2753075
0.143718,0.2986771
0.144315,0.299354
0.144914,0.5029424
0.14592,0.2874341
0.146494,0.2614862
0.147017,0.3580388
0.147734,0.4207379
0.148575,0.3407651
0.149257,0.2539101
0.149764,0.283324
0.150331,0.4286853
0.151188,0.2600792
0.151709,0.2969442
0.152302,0.2636213
0.15283,0.2632679
0.153356,0.2898142
0.153936,0.4253485
0.154787,0.2655939
0.155318,0.4429587
0.156204,0.2576514
0.156719,0.3660299
0.157451,0.2502916
0.157952,0.4653122
0.158882,0.5075017
0.159897,0.2918644
0.160481,0.277053
0.161035,0.3989476
0.161833,0.3876806
0.162608,0.520057
0.163648,0.2534538
0.164155,0.5374779
0.16523,0.4350832
0.1661,0.2600144
0.16662,0.2674288
0.167155,0.2608469
0.167677,0.2970092
0.168271,0.3235677
0.168918,0.4090665
0.169736,0.28259
0.170302,0.3153729
0.170932,0.4211884
0.171775,0.2891837
0.172353,0.4122187
0.173177,0.4356909
0.174049,0.2572274
0.174563,0.2788692
0.175121,0.2770028
0.175675,0.2599099
0.176195,0.5073379
0.17721,0.4203412
0.17805,0.3602083
0.178771,0.2658456
0.179302,0.2502056
0.179803,0.2856554
0.180374,0.3272519
0.181029,0.2559521
0.18154,0.3138744
0.182168,0.2810717
0.18273,0.3596911
0.18345,0.2546259
0.183959,0.2550675
0.184469,0.3068261
0.185083,0.3041335
0.185691,0.3742488
0.18644,0.2836171
0.187007,0.2633286
0.187533,0.3009007
0.188135,0.4151369
0.188965,0.2936323
0.189553,0.4213168
0.190395,0.3111269
0.191018,0.3852574
0.191788,0.3949147
0.192578,0.2788218
0.193136,0.2546666
0.193645,0.2826302
0.19421,0.4910299
0.195192,0.3404347
0.195873,0.4890347
0.196851,0.4263295
0.197704,0.2530481
0.19821,0.3481029
0.198906,0.2617995
0.19943,0.494228
0.200418,0.3312325
0.201081,0.2832155
0.201647,0.2557811
0.202159,0.392925
0.202945,0.2766124
0.203498,0.5434193
0.204585,0.2506375
0.205086,0.2845528
0.205655,0.3865079
0.206428,0.5408827
0.20751,0.2743891
0.208059,0.2533055
0.208565,0.3438165
0.209253,0.3202995
0.209893,0.4831419
0.21086,0.3079913
0.211476,0.2744606
0.212025,0.3762622
0.212777,0.5607218
0.213899,0.338046
0.214575,0.4198521
0.215414,0.2929642
0.216,0.2734658
0.216547,0.3798552
0.217307,0.2851253
0.217877,0.3933906
0.218664,0.4361407
0.219536,0.2581416
0.220052,0.2887161
0.22063,0.2870205
0.221204,0.2859095
0.221776,0.2917726
0.222359,0.293269
0.222946,0.3083928
0.223563,0.2586342
0.22408,0.2613801
0.224603,0.274726
0.225152,0.3328356
0.225818,0.2770988
0.226372,0.27596
0.226924,0.2805142
0.227485,0.3028704
0.228091,0.3058935
0.228702,0.3259521
0.229354,0.3243603
0.230003,0.3055646
0.230614,0.2875709
0.231189,0.3418968
0.231873,0.2633979
0.2324,0.3616388
0.233123,0.2918213
0.233707,0.3158327
0.234339,0.2704764
0.23488,0.4343977
0.235748,0.2878952
0.236324,0.3178725
0.23696,0.2708848
0.237502,0.3422971
