frame,value
0,0.002
0.000579,0.002
0.001331,0.002
0.0024,0.002
0.003441,0.002
0.004791,0.002
0.005809,0.002
0.006415,0.002
0.00736,0.002
0.008245,0.002
0.00877,0.002
0.009342,0.002
0.009948,0.002
0.010511,0.002
0.0112,0.002
0.011887,0.002
0.012495,0.002
0.013463,0.002
0.014022,0.002
0.014939,0.002
0.015611,0.002
0.016651,0.002
0.017327,0.002
0.017829,0.002
0.018701,0.002
0.019217,0.002
0.019782,0.002
0.020306,0.002
0.021156,0.002
0.021685,0.002
0.022496,0.002
0.023074,0.002
0.023647,0.002
0.024165,0.002
0.024744,0.002
0.02551,0.002
0.026049,0.002
0.026604,0.002
0.027237,0.002
0.027862,0.002
0.028377,0.002
0.029223,0.002
0.030022,0.002
0.030568,0.002
0.031309,0.002
0.031834,0.002
0.032519,0.002
0.033142,0.002
0.033667,0.002
0.034388,0.002
0.035122,0.002
0.035765,0.002
0.036282,0.002
0.037084,0.002
0.037786,0.002
0.038318,0.002
0.038881,0.002
0.039594,0.002
0.040198,0.002
0.040711,0.002
0.041323,0.002
0.042523,0.002
0.043086,0.002
0.043701,0.002
0.044249,0.002
0.045033,0.002
0.045582,0.002
0.046085,0.002
0.046727,0.002
0.047343,0.002
0.047887,0.002
0.048453,0.002
0.049013,0.002
0.049561,0.002
0.050227,0.002
0.050852,0.002
0.051472,0.002
0.052013,0.002
0.052842,0.002
0.053344,0.002
0.053877,0.002
0.054472,0.002
0.055217,0.002
0.055746,0.002
0.056527,0.002
0.057226,0.002
0.057791,0.002
0.058378,0.002
0.058895,0.002
0.059449,0.002
0.059974,0.002
0.060601,0.002
0.06149,0.002
0.062179,0.002
0.062695,0.002
0.063297,0.002
0.06391,0.002
0.064425,0.002
0.064978,0.002
0.065751,0.002
0.066318,0.002
0.066822,0.002
0.067427,0.002
0.068063,0.002
0.068769,0.002
0.069418,0.002
0.069938,0.002
0.07049,0.002
0.071219,0.002
0.071749,0.002
0.072258,0.002
0.072782,0.002
0.073317,0.002
0.073837,0.002
0.074365,0.002
0.074912,0.002
0.075709,0.002
0.076303,0.002
0.077093,0.002
0.077624,0.002
0.07819,0.002
0.079276,0.002
0.079922,0.002
0.080493,0.002
0.081145,0.002
0.081672,0.002
0.082706,0.002
0.083211,0.002
0.083755,0.002
0.084306,0.002
0.084907,0.002
0.085997,0.002
0.086633,0.002
