frame,value
0,0.1636921
0,0.2416787
0,0.233712
0.000732,0.5116101
0.000732,0.1425856
0.001755,0.5051767
0.001755,0.1596535
0.002765,0.5925999
0.002765,0.1206664
0.00395,0.5692173
0.00395,0.0862849
0.005089,0.2567188
0.005089,0.1137244
0.005602,0.4673173
0.005602,0.0987872
0.006537,0.6130441
0.006537,0.08109419
0.007763,0.3690031
0.007763,0.09912131
0.008501,0.2403808
0.008501,0.1449986
0.008501,0.1658888
0.009202,0.1628393
0.009202,0.2674589
0.009202,0.06911659
0.009976,0.280717
0.009976,0.07541495
0.010537,0.4719055
0.010537,0.07279778
0.011481,0.1485276
0.011481,0.2385318
0.011481,0.06684749
0.012184,0.1558785
0.012184,0.1428762
0.012184,0.1575489
0.012737,0.1019479
0.012737,0.3101858
0.012737,0.07037339
0.013498,0.3359954
0.013498,0.05155388
0.01417,0.2321619
0.01417,0.1887215
0.01417,0.06887766
0.014924,0.2027957
0.014924,0.08681542
0.014924,0.1444362
0.015468,0.07584321
0.015468,0.4203288
0.015468,0.06796686
0.016397,0.6430855
0.016397,0.05265091
0.017683,0.1912374
0.017683,0.0904329
0.017683,0.1202765
0.018212,0.146578
0.018212,0.1276754
0.018212,0.05585501
0.018723,0.2673087
0.018723,0.04358538
0.019257,0.1569232
0.019257,0.0962439
0.019257,0.146908
0.019257,0.05069451
0.019957,0.3539124
0.019957,0.04039276
0.020665,0.1879016
0.020665,0.09567229
0.020665,0.1003876
0.021196,0.1387959
0.021196,0.1162569
0.021196,0.09442469
0.021196,0.08846779
0.021818,0.1326308
0.021818,0.09839781
0.021818,0.1122056
0.021818,0.06766923
0.022429,0.2727954
0.022429,0.04115233
0.022975,0.1386165
0.022975,0.09198277
0.022975,0.1880827
0.022975,0.0514531
0.023705,0.3523816
0.023705,0.03914512
0.02441,0.1196139
0.02441,0.13685
0.02441,0.1046732
0.02441,0.06340595
0.025049,0.3208089
0.025049,0.03887857
0.025691,0.2322882
0.025691,0.06638801
0.025691,0.163958
0.026257,0.05827872
0.026257,0.4745044
0.026257,0.03960323
0.027267,0.1968991
0.027267,0.0663952
0.027267,0.1462859
0.027768,0.05686212
0.027768,0.2009369
0.027768,0.05265895
0.027768,0.1224193
0.02834,0.0627136
0.02834,0.2297272
0.02834,0.04682494
0.028896,0.2753963
0.028896,0.04660247
0.029447,0.2230092
0.029447,0.04852758
0.029447,0.129128
0.029968,0.03405258
0.029968,0.1932234
0.029968,0.0627766
0.029968,0.1357098
0.030507,0.03957527
0.030507,0.1956015
0.030507,0.03920301
0.030507,0.1121333
0.031023,0.03587176
0.031023,0.1907915
0.031023,0.03821047
0.031023,0.2081339
0.031023,0.03580781
0.031834,0.121387
0.031834,0.07391197
0.031834,0.400427
0.031834,0.0352552
0.032859,0.07307251
0.032859,0.1385601
0.032859,0.03512954
0.032859,0.334924
0.032859,0.02792338
0.033834,0.06272267
0.033834,0.1153623
0.033834,0.07843883
0.033834,0.2724951
0.033834,0.03470749
0.034722,0.1383542
0.034722,0.1203126
0.034722,0.1095889
0.034722,0.0541283
0.035372,0.1797314
0.035372,0.05171526
0.035372,0.3056116
0.035372,0.04353644
0.036292,0.1299337
0.036292,0.1680622
0.036292,0.1132447
0.036844,0.06579965
0.036844,0.2901274
0.036844,0.04436304
0.037518,0.2328602
0.037518,0.05505569
0.037518,0.1993591
0.038068,0.03920778
0.038068,0.2843101
