frame,value
0,0
0,0
0,0
0.000932,0
0.000932,0
0.002218,0
0.002218,0
0.003374,0
0.003374,0
0.004868,0
0.004868,0
0.005696,0
0.005696,0
0.006743,0
0.006743,0
0.008023,0
0.008023,2e-07
0.008983,2e-07
0.008983,4e-07
0.009689,4e-07
0.009689,6e-07
0.010436,6e-07
0.010436,9e-07
0.011522,1.2e-06
0.011522,1.6e-06
0.012213,1.6e-06
0.012213,1.9e-06
0.012879,1.8e-06
0.012879,2e-06
0.013505,2e-06
0.013505,2.2e-06
0.014757,2.3e-06
0.014757,2.9e-06
0.015356,2.7e-06
0.015356,3.3e-06
0.015356,3.2e-06
0.015964,3.5e-06
0.015964,3.6e-06
0.017066,3.6e-06
0.017066,3.9e-06
0.017066,4e-06
0.017613,4e-06
0.017613,4.3e-06
0.017613,4.9e-06
0.018232,5.1e-06
0.018232,5.8e-06
0.018951,5.6e-06
0.018951,5.4e-06
0.018951,5.4e-06
0.01956,5.6e-06
0.01956,5.6e-06
0.01956,6.3e-06
0.020223,6.5e-06
0.020223,6.4e-06
0.020223,6.4e-06
0.020223,6.3e-06
0.020835,6.3e-06
0.020835,7.9e-06
0.02151,7.7e-06
0.02151,9.5e-06
0.022099,8.8e-06
0.022099,9.6e-06
0.02264,9.4e-06
0.02264,9.4e-06
0.02264,9.4e-06
0.02318,1.02e-05
0.02318,9.5e-06
0.02318,9.7e-06
0.02395,8.9e-06
0.02395,9.9e-06
0.024519,1.02e-05
0.024519,1.05e-05
0.024519,1e-05
0.024519,1.11e-05
0.025317,1.09e-05
0.025317,1.18e-05
0.025317,1.15e-05
0.025875,1.15e-05
0.025875,1.15e-05
0.025875,1.24e-05
0.02643,1.27e-05
0.02643,1.25e-05
0.02643,1.26e-05
0.02695,1.27e-05
0.02695,1.25e-05
0.02695,1.32e-05
0.027791,1.24e-05
0.027791,1.67e-05
0.027791,1.65e-05
0.028347,1.68e-05
0.028347,1.66e-05
0.028347,1.68e-05
0.028347,1.77e-05
0.029081,1.71e-05
0.029081,1.97e-05
0.029582,1.9e-05
0.029582,2.07e-05
0.030178,2.04e-05
0.030178,2.27e-05
0.030178,2.2e-05
0.030737,2.34e-05
0.030737,2.23e-05
0.030737,2.42e-05
0.031601,2.25e-05
0.031601,2.3e-05
0.031601,2.36e-05
0.031601,2.51e-05
0.032259,2.46e-05
0.032259,2.49e-05
0.032259,2.51e-05
0.032778,2.62e-05
0.032778,2.53e-05
0.032778,3.07e-05
0.033767,2.75e-05
0.033767,2.74e-05
0.033767,2.64e-05
0.034278,2.64e-05
0.034278,2.72e-05
0.034278,2.74e-05
0.034278,3.27e-05
0.035238,3.02e-05
0.035238,3.03e-05
