frame,value
0,0.0009319988
0.000932,0.001286001
0.002218,0.001155761
0.003374,0.001494562
0.004868,0.0008272661
0.005696,0.0010475
0.006743,0.001279708
0.008023,0.0009602075
0.008983,0.0007064427
0.009689,0.0007469988
0.010436,0.001085535
0.011522,0.0006909104
0.012213,0.000666174
0.012879,0.0006256654
0.013505,0.001252529
0.014757,0.0005987389
0.015356,0.0006080485
0.015964,0.001102352
0.017066,0.0005468315
0.017613,0.0006189735
0.018232,0.0007192195
0.018951,0.0006081905
0.01956,0.0006632066
0.020223,0.0006122992
0.020835,0.0006752387
0.02151,0.0005886211
0.022099,0.0005407678
0.02264,0.0005399456
0.02318,0.0007707156
0.02395,0.0005686986
0.024519,0.0007979638
0.025317,0.0005574407
0.025875,0.0005557959
0.02643,0.0005201705
0.02695,0.0008405217
0.027791,0.0005556815
0.028347,0.0007342544
0.029081,0.000500882
0.029582,0.0005959987
0.030178,0.0005592313
0.030737,0.0008644401
0.031601,0.0006571457
0.032259,0.0005198047
0.032778,0.0009882072
0.033767,0.0005115548
0.034278,0.0009601597
0.035238,0.0005665756
0.035805,0.0006425778
0.036448,0.0006497274
0.037097,0.0005373191
0.037635,0.0007478014
0.038382,0.0005508731
0.038933,0.0009256066
0.039859,0.0006940165
0.040553,0.0005310553
0.041084,0.0007113678
0.041795,0.0005449295
0.04234,0.0008656793
0.043206,0.0005183733
0.043724,0.0008992675
0.044624,0.0005362816
0.04516,0.0008461282
0.046006,0.0009055799
0.046912,0.0006295073
0.047541,0.0005058257
0.048047,0.0007392948
0.048786,0.0006185364
0.049405,0.0006433695
0.050048,0.0005141914
0.050562,0.000507261
0.05107,0.0005082579
0.051578,0.0005007188
0.052078,0.0005517858
0.05263,0.0005871832
0.053217,0.0007603369
0.053978,0.0007337701
0.054712,0.0005236408
0.055235,0.0005018628
0.055737,0.0007943499
0.056531,0.0005224023
0.057054,0.0005989073
0.057653,0.0005388265
0.058192,0.0006263918
0.058818,0.0005297644
0.059348,0.0005338559
0.059882,0.0006876723
0.060569,0.0005968395
0.061166,0.0007403534
0.061906,0.0006654258
0.062572,0.0005907379
0.063163,0.0006311317
0.063794,0.0006830206
0.064477,0.0006845475
0.065161,0.0006673462
0.065829,0.0005244945
0.066353,0.0009414734
0.067295,0.0008801192
0.068175,0.0005119207
0.068687,0.0005257155
0.069212,0.0007249026
0.069937,0.0005272977
0.070465,0.0005093005
0.070974,0.0005555251
0.071529,0.0006885878
0.072218,0.0005678819
0.072786,0.0007674056
0.073553,0.0007146618
0.074268,0.001165684
0.075434,0.0005752385
0.076009,0.0005265673
0.076535,0.0005357864
0.077071,0.000500255
0.077571,0.0005139815
0.078085,0.0007935477
0.078879,0.0005686699
0.079448,0.0006710797
0.080119,0.0005036235
0.080622,0.0005368655
0.081159,0.0007649784
0.081924,0.0005992334
0.082523,0.0006825452
0.083206,0.0005242622
0.08373,0.0006094277
0.08434,0.0006088185
0.084948,0.0008202318
0.085769,0.0007344381
0.086503,0.0005923579
0.087096,0.0005629578
0.087658,0.0005225664
0.088181,0.0007908996
0.088972,0.0009412455
0.089913,0.0006246826
0.090538,0.0006221508
0.09116,0.0008840438
0.092044,0.0005659488
0.09261,0.000601381
0.093211,0.0005418724
0.093753,0.0005029867
0.094256,0.0008942495
0.09515,0.0006782029
0.095829,0.0005130508
0.096342,0.0008595827
0.097201,0.0006051998
0.097807,0.0005051506
0.098312,0.0005081276
0.09882,0.0005063917
0.099326,0.0006381361
0.099964,0.0005669469
0.100531,0.0006958793
0.101227,0.0005287841
0.101756,0.0005644949
0.10232,0.0007539538
0.103074,0.0005113223
0.103586,0.0005653074
0.104151,0.0007482233
0.104899,0.0005279274
0.105427,0.0005437697
0.105971,0.0005879053
0.106559,0.0005599999
0.107119,0.0005576792
0.107677,0.0005833811
0.10826,0.0006395477
0.108899,0.0005815523
0.109481,0.0005809565
0.110062,0.0005211881
0.110583,0.0006524695
0.111236,0.0006843639
0.11192,0.0007451556
0.112665,0.0006365514
0.113302,0.0006119335
0.113914,0.0006373544
0.114551,0.0006039482
0.115155,0.0005803939
0.115735,0.0006108558
0.116346,0.0006458389
0.116992,0.0005496506
0.117542,0.0008487651
0.11839,0.000527224
0.118918,0.000808758
0.119726,0.000545059
0.120271,0.0006263854
0.120898,0.0006576041
0.121555,0.0006363339
0.122192,0.0005785008
0.12277,0.0007207854
0.123491,0.0007305266
0.124222,0.0005877406
0.124809,0.0006069824
0.125416,0.0006037642
0.12602,0.0006487016
0.126669,0.000619144
0.127288,0.0005376724
0.127826,0.0005368694
0.128362,0.0007116796
0.129074,0.0005255376
0.1296,0.0005274077
0.130127,0.0007980936
0.130925,0.0005005749
0.131426,0.0005399244
0.131966,0.0005471519
0.132513,0.0007866375
0.1333,0.0006644581
0.133964,0.0006495389
0.134613,0.0009981497
0.135612,0.000537099
0.136149,0.0005431197
0.136692,0.0008354728
0.137527,0.0007745739
0.138302,0.0005379481
0.13884,0.001057097
0.139897,0.0009605144
0.140857,0.0005039228
0.141361,0.0006198297
0.141981,0.0009859899
0.142967,0.0005220396
0.143489,0.0006447552
0.144134,0.0005860025
0.14472,0.0005534363
0.145273,0.0008877391
0.146161,0.0005114019
0.146673,0.0006488273
0.147321,0.0006489892
0.14797,0.001299326
0.14927,0.0005293923
0.149799,0.001134973
0.150934,0.0006922767
0.151626,0.000736051
0.152362,0.000670822
0.153033,0.0005398513
0.153573,0.0005095999
0.154083,0.0006453327
0.154728,0.0006415796
0.15537,0.0005681811
0.155938,0.0008829078
0.156821,0.0005324223
0.157353,0.001074188
0.158427,0.0005448938
0.158972,0.0005376875
0.15951,0.0005496296
0.16006,0.0005112684
0.160571,0.0005259597
0.161097,0.0006365376
0.161733,0.000764409
0.162498,0.0006491793
0.163147,0.0007999892
0.163947,0.001027695
0.164975,0.0005768309
0.165551,0.0009040593
0.166455,0.0009026498
0.167358,0.0005289337
0.167887,0.0005264475
0.168413,0.0005395508
0.168953,0.0005176195
0.169471,0.00050929
0.16998,0.0005142348
0.170494,0.0006657735
0.17116,0.0005685964
0.171729,0.0005290115
0.172258,0.0007054998
0.172963,0.0007418865
0.173705,0.0005656527
0.174271,0.0005266149
0.174797,0.0006510968
0.175448,0.0009668053
0.176415,0.0007171558
0.177132,0.0007432231
0.177875,0.0007351779
0.178611,0.000744181
0.179355,0.0005450371
