frame,value
0,0.1260903
0,0.1871627
0,0.1791334
0.000579,0.3758654
0.000579,0.119499
0.001331,0.5345358
0.001331,0.1286106
0.0024,0.5201634
0.0024,0.09505631
0.00344,0.6748328
0.00344,0.08432685
0.00479,0.508836
0.00479,0.0689579
0.005808,0.3036862
0.005808,0.07367598
0.006415,0.4542898
0.006415,0.06722811
0.007324,0.4428893
0.007324,0.07253022
0.00821,0.2971701
0.00821,0.06161072
0.008804,0.2804069
0.008804,0.06458087
0.009365,0.3376717
0.009365,0.06382266
0.01004,0.1685388
0.01004,0.1635244
0.01004,0.1188973
0.010649,0.2123012
0.010649,0.1040709
0.010649,0.09250033
0.011238,0.172786
0.011238,0.1231411
0.011238,0.1095692
0.011787,0.1628585
0.011787,0.1655661
0.011787,0.06285106
0.01239,0.155518
0.01239,0.1166487
0.01239,0.1194299
0.012898,0.1026506
0.012898,0.3195352
0.012898,0.05977364
0.013677,0.1240771
0.013677,0.174038
0.013677,0.1343352
0.01423,0.1112336
0.01423,0.4075686
0.01423,0.03545206
0.015177,0.1216956
0.015177,0.2477682
0.015177,0.05071166
0.015855,0.3290321
0.015855,0.03860624
0.016513,0.1651156
0.016513,0.374526
0.016513,0.05171309
0.017295,0.2378322
0.017295,0.04367461
0.017295,0.08949177
0.017832,0.2205769
0.017832,0.09096642
0.017832,0.1407633
0.018415,0.09739308
0.018415,0.1398249
0.018415,0.07431412
0.018415,0.143938
0.018978,0.1155968
0.018978,0.1816403
0.018978,0.04005898
0.01953,0.4898675
0.01953,0.05591995
0.020239,0.3642799
0.020239,0.04257035
0.020938,0.3337975
0.020938,0.08613805
0.020938,0.09502254
0.021562,0.3204489
0.021562,0.05897104
0.022065,0.2932856
0.022065,0.05014005
0.022652,0.2297285
0.022652,0.1146953
0.022652,0.1005773
0.023288,0.05402057
0.023288,0.6011238
0.023288,0.06300652
0.023802,0.2356866
0.023802,0.06597742
0.023802,0.1434637
0.024374,0.1161298
0.024374,0.139632
0.024374,0.06144496
0.024374,0.1364066
0.024947,0.1230553
0.024947,0.09857614
0.024947,0.1323678
0.024947,0.06961172
0.025575,0.2184902
0.025575,0.07774823
0.025575,0.1162245
0.026077,0.1689963
0.026077,0.08658575
0.026077,0.1727209
0.026077,0.04244977
0.026821,0.4647235
0.026821,0.06264313
0.027751,0.08054962
0.027751,0.08952201
0.027751,0.0811256
0.027751,0.08180425
0.027751,0.09616099
0.028338,0.06318907
0.028338,0.2016058
0.028338,0.02669846
0.028842,0.1059121
0.028842,0.0556995
0.028842,0.3451399
0.028842,0.02747829
0.029737,0.04519974
0.029737,0.6946288
0.029737,0.08533216
0.030264,0.1258889
0.030264,0.09234243
0.030264,0.07191269
0.030264,0.09018848
0.030792,0.1983223
0.030792,0.05189117
0.030792,0.3288144
0.030792,0.04321164
0.031771,0.1707305
0.031771,0.1289297
0.031771,0.1104103
0.032326,0.1495325
0.032326,0.06942149
0.032326,0.1339967
0.032326,0.064192
0.032956,0.1809187
0.032956,0.04672464
0.032956,0.1636385
0.032956,0.03704077
0.03365,0.1699806
0.03365,0.05541191
0.03365,0.1430738
0.03365,0.01968861
0.034306,0.1153593
0.034306,0.02285574
0.034306,0.1626566
0.034306,0.01541348
0.034858,0.04216911
0.034858,0.06294658
0.034858,0.02799643
0.034858,0.3231975
0.034858,0.0119336
0.035677,0.01338857
0.035677,0.09066968
0.035677,0.01780558
0.035677,0.1007926
0.035677,0.01475118
0.035677,0.0997142
0.035677,0.03035399
0.036272,0.1983757
0.036272,0.02117799
0.036272,0.05110034
0.036272,0.1170825
0.036783,0.0637929
0.036783,0.1670057
0.036783,0.03811738
0.036783,0.20991
0.036783,0.04269066
0.037597,0.06531759
0.037597,0.1269511
0.037597,0.04566806
0.037597,0.5490593
0.037597,0.04038052
0.038582,0.07199755
0.038582,0.3356501
0.038582,0.06832128
0.039349,0.1286963
0.039349,0.1720326
0.039349,0.1777358
0.039906,0.0660636
0.039906,0.3669541
0.039906,0.04189031
0.040474,0.2477431
0.040474,0.04592205
0.040474,0.1845065
0.041038,0.04475579
0.041038,0.2690468
0.041038,0.04110672
0.041642,0.1913096
0.041642,0.05487183
0.041642,0.3701001
0.041642,0.03641201
0.042536,0.1322851
0.042536,0.07357274
0.042536,0.4116715
0.042536,0.028868
0.04359,0.2742604
0.04359,0.08567302
0.04359,0.1833056
0.044096,0.05123584
0.044096,0.1496793
0.044096,0.03775931
0.044096,0.2809092
0.044096,0.0437305
0.04498,0.2191338
0.04498,0.03374474
0.04498,0.08293586
0.04498,0.1530933
0.045596,0.03726285
0.045596,0.3783037
0.045596,0.1077855
0.046188,0.1254209
0.046188,0.0570279
0.046188,0.3892567
0.046188,0.0565028
0.047078,0.1208036
0.047078,0.06782535
0.047078,0.3636315
0.047078,0.03946159
0.04803,0.06174362
0.04803,0.2483141
0.04803,0.1204514
0.048599,0.07529877
0.048599,0.398969
0.048599,0.05148808
0.049176,0.2829072
0.049176,0.04783762
0.049176,0.1841919
0.049683,0.05625471
0.049683,0.4020343
0.049683,0.05380534
0.049683,0.1780741
0.05025,0.05297296
0.05025,0.258522
0.05025,0.0570619
0.05025,0.4570807
0.05025,0.0483252
0.051098,0.2773596
0.051098,0.09697374
0.051098,0.3114709
0.051098,0.05311249
0.051812,0.2190579
0.051812,0.04395725
0.051812,0.3682822
0.051812,0.1198639
0.052478,0.08609369
0.052478,0.08378068
0.052478,0.04689242
0.052478,0.3114529
0.052478,0.2058473
0.053024,0.05140643
0.053024,0.09001692
0.053024,0.05926613
0.053024,0.1972074
0.053024,0.1157763
0.053606,0.06233654
0.053606,0.1264614
0.053606,0.036718
0.053606,0.3548358
0.053606,0.06304346
0.054446,0.1608725
0.054446,0.04120356
0.054446,0.3710192
0.054446,0.07363655
0.055298,0.09451973
0.055298,0.06048604
0.055298,0.2098327
0.055298,0.05070604
0.055916,0.2867973
0.055916,0.06789081
0.056489,0.2186762
0.056489,0.09311441
0.056489,0.09010065
0.057,0.08347948
0.057,0.04302019
0.057,0.2735309
0.057,0.05582054
0.057726,0.1550095
0.057726,0.03577673
0.057726,0.2846527
0.057726,0.04654378
0.05856,0.09565891
0.05856,0.08917665
0.05856,0.05511541
0.05856,0.05763514
0.05856,0.1143207
0.059094,0.04047446
0.059094,0.222988
0.059094,0.09425524
0.059602,0.1577663
0.059602,0.07168788
0.059602,0.08933674
0.059602,0.08583458
0.060178,0.07025792
0.060178,0.04622095
0.060178,0.1598174
0.060178,0.08631681
0.060688,0.09877411
0.060688,0.05834585
0.060688,0.1332502
0.060688,0.07500158
0.061217,0.1285493
0.061217,0.0492859
0.061217,0.1232558
0.061217,0.07804634
0.061764,0.2052682
0.061764,0.03325657
0.061764,0.1792412
0.061764,0.05321425
0.062503,0.1636796
0.062503,0.04981371
0.062503,0.2513617
0.062503,0.04306891
0.063313,0.05990583
0.063313,0.08406197
0.063313,0.04671423
0.063313,0.2811197
0.063313,0.05082178
0.064133,0.1000596
0.064133,0.03842431
0.064133,0.4395918
0.064133,0.02929038
0.065069,0.2133202
0.065069,0.03813607
0.065069,0.1846944
0.065069,0.09259109
0.065835,0.1108168
0.065835,0.0454087
0.065835,0.1912603
0.065835,0.05896838
0.066462,0.2737294
0.066462,0.05684649
0.066462,0.1315001
0.066462,0.07459722
0.067123,0.1369514
0.067123,0.03308328
0.067123,0.1721945
0.067123,0.06804605
0.067742,0.2227472
0.067742,0.0237077
0.067742,0.0935047
0.067742,0.07734577
0.068366,0.1024462
0.068366,0.05836977
0.068366,0.2349436
0.068366,0.04745636
0.069054,0.126893
0.069054,0.0326184
0.069054,0.3531857
0.069054,0.05075349
0.069781,0.1852404
0.069781,0.02753861
0.069781,0.1774949
0.069781,0.04496965
0.070477,0.106065
0.070477,0.04364047
0.070477,0.1124588
0.070477,0.02567136
0.070477,0.1813502
0.070999,0.04706637
0.070999,0.1106
0.070999,0.0289535
0.070999,0.5414636
0.070999,0.04154717
0.071763,0.2443406
0.071763,0.04136083
0.071763,0.1290969
0.072314,0.07896274
0.072314,0.08548175
0.072314,0.02931457
0.072314,0.3554867
0.072314,0.03118892
0.073158,0.07948869
0.073158,0.04694044
0.073158,0.1678937
0.073158,0.02397701
0.073698,0.06012091
0.073698,0.03642446
0.073698,0.1568792
0.073698,0.01747059
0.073698,0.05348211
0.073698,0.06080131
0.074278,0.055943
0.074278,0.05087824
0.074278,0.05111725
0.074278,0.06306439
0.074278,0.03658217
0.074278,0.02705979
0.074278,0.07849545
0.074785,0.04423758
0.074785,0.2494902
0.074785,0.01847462
0.07535,0.03932007
0.07535,0.332359
0.07535,0.02307819
0.076067,0.02482899
0.076067,0.09370691
0.076067,0.0191454
0.076067,0.1535857
0.076067,0.03650884
0.0766,0.1193727
0.0766,0.02007523
0.0766,0.1071091
0.0766,0.03375609
0.0766,0.1000251
0.077111,0.03256435
0.077111,0.2530326
0.077111,0.02686623
0.077665,0.04807581
0.077665,0.01718781
0.077665,0.2158559
0.077665,0.01723822
0.078198,0.03638802
0.078198,0.2004904
0.078198,0.01761019
0.078198,0.04827551
0.078198,0.02363736
0.078758,0.09176223
0.078758,0.07596779
0.078758,0.03002472
0.078758,0.07528219
0.078758,0.0159538
0.078758,0.1719536
0.079276,0.01689762
0.079276,0.1799305
0.079276,0.0258846
0.079276,0.1157781
0.079276,0.0418478
0.079887,0.1751756
0.079887,0.01156285
0.079887,0.01760152
0.079887,0.07628036
0.079887,0.02782713
0.080408,0.0432232
0.080408,0.02031319
0.080408,0.1943254
0.080408,0.0195118
0.080408,0.08567484
0.080927,0.02859374
0.080927,0.2961018
0.080927,0.02187659
0.081559,0.04644801
0.081559,0.04854819
0.081559,0.019493
0.081559,0.1554879
0.081559,0.01405081
0.081559,0.09396546
0.082078,0.02994472
0.082078,0.07005028
0.082078,0.01481485
0.082078,0.125693
0.082078,0.02089286
0.082078,0.1235557
0.082078,0.03589645
0.082744,0.137316
0.082744,0.008907792
0.082744,0.01371484
0.082744,0.07363409
0.082744,0.0281856
0.082744,0.01529087
0.082744,0.1006984
0.083249,0.009337906
0.083249,0.01620515
0.083249,0.1057471
0.083249,0.007258014
0.083249,0.04705017
0.083249,0.02880754
0.083249,0.09625053
0.083249,0.01703483
0.083802,0.08042055
0.083802,0.00803462
0.083802,0.1145542
0.083802,0.009562906
0.083802,0.02911843
0.083802,0.09360595
0.083802,0.01319553
0.084394,0.03217124
0.084394,0.01364515
0.084394,0.1880712
0.084394,0.008900493
0.084394,0.007248663
0.084394,0.01482248
0.084394,0.08272626
0.084394,0.01269042
0.085015,0.1427942
0.085015,0.008240899
0.085015,0.0133968
0.085015,0.4012925
0.085015,0.02313255
0.086011,0.03071291
0.086011,0.1084207
0.086011,0.03077427
0.086011,0.03850215
0.086011,0.02991812
0.086011,0.05832662
0.086011,0.02413798
0.08654,0.2952579
0.08654,0.02043898
0.08713,0.03538613
0.08713,0.01054982
0.08713,0.5339236
0.08713,0.02269784
0.08824,0.01775876
0.08824,0.06242779
0.08824,0.02818465
0.08824,0.0602546
0.08824,0.053478
0.08824,0.01826123
0.08824,0.2285531
0.08824,0.01051152
0.089035,0.008360907
0.089035,0.01272642
0.089035,0.08331598
0.089035,0.04190689
0.089035,0.01410808
0.089035,0.04260674
0.089035,0.008605504
0.089035,0.05815704
0.089035,0.006518863
0.089035,0.01703316
0.089035,0.06721393
0.089555,0.008326516
0.089555,0.02553219
0.089555,0.0117273
0.089555,0.196929
0.089555,0.009038159
0.089555,0.006772036
0.089555,0.01078558
0.089555,0.2696343
0.090061,0.0141776
0.090061,0.01421367
0.090061,0.06294517
0.090061,0.02928758
0.090061,0.06779058
0.090061,0.02027821
0.090061,0.356679
0.090061,0.01557678
0.091022,0.02046445
0.091022,0.02492879
0.091022,0.0142634
0.091022,0.09760664
0.091022,0.009869033
0.091022,0.01114567
0.091022,0.2407742
0.091022,0.01284303
0.091759,0.01439783
0.091759,0.1413544
0.091759,0.02039604
0.091759,0.04194447
0.091759,0.04004563
0.091759,0.009473984
0.091759,0.4769816
0.091759,0.01762141
0.092969,0.03526767
0.092969,0.2356522
0.092969,0.02490616
0.093494,0.04689031
0.093494,0.02324114
0.093494,0.1244521
0.093494,0.008731549
0.093494,0.0187124
0.093494,0.09481023
0.093494,0.0138477
0.094059,0.03302195
0.094059,0.05464549
0.094059,0.01803923
0.094059,0.7973975
0.094059,0.02126295
0.095695,0.01834605
0.095695,0.03502452
0.095695,0.009780234
0.095695,0.2779104
0.095695,0.01933506
0.096341,0.009762695
0.096341,0.01647659
0.096341,0.03031824
0.096341,0.01076691
0.096341,0.4647588
0.096341,0.02036817
0.097341,0.06322532
0.097341,0.1740151
0.097341,0.01000236
0.097341,0.008216829
0.097341,0.02316093
0.097341,0.02300674
0.097856,0.02707913
0.097856,0.009890845
0.097856,0.9920776
0.097856,0.02505176
0.099841,0.02207682
0.099841,0.02559067
0.099841,0.02015821
0.099841,0.02881478
0.099841,0.01680158
0.099841,0.390815
0.099841,0.01799645
0.100755,0.01690958
0.100755,0.03988114
0.100755,0.009965977
0.100755,0.1347314
0.100755,0.009326954
0.100755,0.01041307
0.100755,0.1768597
0.100755,0.01456643
0.10145,0.02076095
0.10145,0.1288375
0.10145,0.02351288
0.10145,0.01696676
0.10145,0.04553426
0.10145,0.009551723
0.10145,0.3548585
0.10145,0.0219893
0.102451,0.1062842
0.102451,0.03728413
0.102451,0.0433943
0.102451,0.01047788
0.102451,0.3310328
0.102451,0.02043479
0.103361,0.1242504
0.103361,0.04168849
0.103361,0.03866552
0.103361,0.04268443
0.103361,0.03953485
0.103361,0.07798471
0.103878,0.02385022
0.103878,0.4497017
0.103878,0.02250405
0.104803,0.0335326
0.104803,0.01339953
0.104803,0.1123896
0.104803,0.009564405
0.104803,0.01159148
0.104803,0.1396218
0.104803,0.03673947
0.105378,0.09636468
0.105378,0.009634617
0.105378,0.01474483
0.105378,0.0650071
0.105378,0.009030456
0.105378,0.02252388
0.105378,0.01581376
0.105378,0.03816317
0.105378,0.008445499
0.105378,0.2537884
0.105879,0.01609626
0.105879,0.01690586
0.105879,0.0206954
0.105879,0.01603737
0.105879,0.03023941
0.105879,0.01127534
0.105879,0.7468517
0.105879,0.02324067
0.107426,0.01705054
0.107426,0.04696497
0.107426,0.01049951
0.107426,0.09763636
0.107426,0.01079272
0.107426,0.03094621
0.107426,0.07506047
0.107426,0.01479804
0.107943,0.05935612
0.107943,0.009229657
0.107943,0.03002811
0.107943,0.01109612
0.107943,1
0.107943,0.02509406
0.109943,0.02116345
0.109943,0.1302386
0.109943,0.04630375
0.109943,0.05814539
0.109943,0.02922908
0.109943,0.2378937
0.110458,0.01696109
0.110458,0.0808125
0.110458,0.03352123
0.110458,0.4264052
0.110458,0.02251172
0.111456,0.05360054
0.111456,0.02566914
0.111456,0.1444898
0.111456,0.01048851
0.111456,0.02018646
0.111456,0.4279165
0.111456,0.02727029
0.11236,0.08619693
0.11236,0.08806958
0.11236,0.04929928
0.11236,0.01215935
0.11236,0.5638831
0.11236,0.02525592
0.11323,0.07665651
0.11323,0.03886552
0.11323,0.05639984
0.11323,0.0297003
0.11323,0.1399499
0.11323,0.01299342
0.113832,0.0122823
0.113832,0.3546149
0.113832,0.02587672
0.114507,0.05933881
0.114507,0.0223699
0.114507,0.01757151
0.114507,0.03488839
0.114507,0.01088061
0.114507,0.5954159
0.114507,0.02403536
0.115447,0.05186307
0.115447,0.01138376
0.115447,0.4614238
0.115447,0.02861461
0.115963,0.06421695
0.115963,0.009518351
0.115963,0.03919058
0.115963,0.01329804
0.115963,0.7237248
0.115963,0.02632228
0.116726,0.09757999
0.116726,0.01209552
0.116726,0.04636288
0.116726,0.009354056
0.116726,0.09961481
0.116726,0.01015831
0.116726,0.01550666
0.116726,0.2397234
0.117248,0.0177138
0.117248,0.02502866
0.117248,0.01458199
0.117248,0.06988971
0.117248,0.01496296
0.117248,0.03332983
0.117248,0.01187191
0.117248,0.7179364
0.117248,0.02639661
0.117983,0.05537127
0.117983,0.0120065
0.117983,0.1151983
0.117983,0.01260529
0.117983,0.0363068
0.117983,0.09465869
0.117983,0.02497545
0.118561,0.576823
0.118561,0.01555656
0.118561,0.1987465
0.119081,0.04300072
0.119081,0.0823101
0.119081,0.03923933
0.119081,0.324123
0.119081,0.03614581
0.119688,0.3596729
0.119688,0.03036475
0.119688,0.3380311
0.119688,0.033997
0.120355,0.2526007
0.120355,0.02674939
0.120355,0.2925574
0.120355,0.02222423
0.121205,0.05067635
0.121205,0.01307122
0.121205,0.2776012
0.121205,0.02636084
0.121205,0.03940275
0.121205,0.0317879
0.12176,0.06192034
0.12176,0.04806594
0.12176,0.1111353
0.12176,0.009771057
0.12176,0.1141968
0.12176,0.02093074
0.122367,0.1100155
0.122367,0.03251798
0.122367,0.2609403
0.122367,0.01472029
0.123094,0.01014723
0.123094,0.02028383
0.123094,0.08215533
0.123094,0.009978313
0.123094,0.02761054
0.123094,0.02821834
0.123094,0.02511603
0.123094,0.0338176
0.123094,0.01729214
0.123094,0.1240671
0.123094,0.01450453
0.123744,0.01771718
0.123744,0.1395529
0.123744,0.01407088
0.123744,0.01422242
0.123744,0.4439937
0.123744,0.02540086
0.124542,0.08797799
0.124542,0.01203947
0.124542,0.04067669
0.124542,0.02846156
0.124542,0.3538263
0.124542,0.02630435
0.125206,0.3155103
0.125206,0.03977315
0.125206,0.04653589
0.125206,0.01280482
0.125206,0.2296373
0.125206,0.01912295
0.126009,0.04395009
0.126009,0.08235268
0.126009,0.02458065
0.126009,0.3237193
0.126009,0.03225201
0.126708,0.211891
0.126708,0.01701109
0.126708,0.141925
0.126708,0.04988556
0.127379,0.1972723
0.127379,0.026472
0.127379,0.06462547
