frame,value
0,1
0.000579,1.001951
0.001331,1.003878
0.0024,1.006531
0.00344,1.009014
0.00479,1.011994
0.005808,1.01404
0.006415,1.015263
0.007324,1.016957
0.00821,1.018508
0.008804,1.019489
0.009365,1.020385
0.01004,1.0214
0.010649,1.022504
0.011238,1.023438
0.011787,1.024339
0.01239,1.025148
0.012898,1.025984
0.013677,1.026916
0.01423,1.027817
0.015177,1.028786
0.015855,1.02954
0.016513,1.030173
0.017295,1.031034
0.017832,1.031706
0.018415,1.032568
0.018978,1.033386
0.01953,1.0338
0.020239,1.034319
0.020938,1.034787
0.021562,1.035449
0.022065,1.035849
0.022652,1.036222
0.023288,1.036852
0.023802,1.037227
0.024374,1.037895
0.024947,1.038507
0.025575,1.038844
0.026077,1.039288
0.026821,1.039511
0.027751,1.0397
0.028338,1.040118
0.028842,1.040163
0.029737,1.040274
0.030264,1.040538
0.030792,1.040815
0.031771,1.040869
0.032326,1.041178
0.032956,1.041235
0.03365,1.041153
0.034306,1.041028
0.034858,1.040913
0.035677,1.040762
0.036272,1.040773
0.036783,1.041134
0.037597,1.041061
0.038582,1.040977
0.039349,1.040975
0.039906,1.04161
0.040474,1.041394
0.041038,1.041938
0.041642,1.041618
0.042536,1.041322
0.04359,1.041063
0.044096,1.0418
0.04498,1.041503
0.045596,1.041979
0.046188,1.042059
0.047078,1.041775
0.04803,1.04155
0.048599,1.041931
0.049176,1.041847
0.049683,1.042584
0.05025,1.04312
0.051098,1.042776
0.051812,1.04273
0.052478,1.043155
0.053024,1.044076
0.053606,1.044256
0.054446,1.044066
0.055298,1.044122
0.055916,1.04417
0.056489,1.044258
0.057,1.044584
0.057726,1.044653
0.05856,1.04479
0.059094,1.045392
0.059602,1.045678
0.060178,1.045972
0.060688,1.046248
0.061217,1.046467
0.061764,1.046718
0.062503,1.04684
0.063313,1.04702
0.064133,1.047339
0.065069,1.047511
0.065835,1.048202
0.066462,1.048474
0.067123,1.048876
0.067742,1.049175
0.068366,1.049497
0.069054,1.049677
0.069781,1.049915
0.070477,1.050109
0.070999,1.050885
0.071763,1.050831
0.072314,1.051147
0.073158,1.051056
0.073698,1.05097
0.074278,1.051045
0.074785,1.051143
0.07535,1.050882
0.076067,1.050593
0.0766,1.050515
0.077111,1.050621
0.077665,1.050357
0.078198,1.050115
0.078758,1.049912
0.079276,1.050207
0.079887,1.049948
0.080408,1.049706
0.080927,1.04964
0.081559,1.049258
0.082078,1.049253
0.082744,1.049033
0.083249,1.04904
0.083802,1.048782
0.084394,1.04853
0.085015,1.048267
0.086011,1.04794
0.08654,1.047796
0.08713,1.047526
0.08824,1.047083
0.089035,1.046973
0.089555,1.047015
0.090061,1.047592
0.091022,1.047198
0.091759,1.046935
0.092969,1.046729
0.093494,1.046564
0.094059,1.046435
0.095695,1.046017
0.096341,1.045879
0.097341,1.045677
0.097856,1.045623
0.099841,1.045121
0.100755,1.0451
0.10145,1.04509
0.102451,1.045156
0.103361,1.04515
0.103878,1.045316
0.104803,1.045098
0.105378,1.045127
0.105879,1.04589
0.107426,1.045367
0.107943,1.045302
0.109943,1.045053
0.110458,1.045825
0.111456,1.045551
0.11236,1.045526
0.11323,1.045514
0.113832,1.045465
0.114507,1.045351
0.115447,1.045356
0.115963,1.045345
0.116726,1.045351
0.117248,1.046203
0.117983,1.046026
0.118561,1.045951
0.119081,1.046513
0.119688,1.046373
0.120355,1.04628
0.121205,1.046209
0.12176,1.046226
0.122367,1.046241
0.123094,1.046237
0.123744,1.046331
0.124542,1.046486
0.125206,1.046636
0.126009,1.046863
0.126708,1.047075
0.127379,1.047388
0.127917,1.047801
0.128497,1.047927
0.129134,1.048127
0.129636,1.048905
0.130342,1.049002
0.130927,1.049184
0.131481,1.049328
0.132229,1.049679
0.132768,1.050261
0.133502,1.05052
0.134285,1.050845
0.134909,1.051056
0.135504,1.051216
0.13629,1.05148
0.136808,1.051916
0.137355,1.051912
0.137877,1.051924
0.138442,1.051948
0.139062,1.05194
0.139595,1.052016
0.14032,1.051904
0.141227,1.051856
0.142132,1.051727
0.14277,1.051547
0.143385,1.051302
0.144371,1.050997
0.144911,1.050878
0.145423,1.051179
0.145926,1.051159
0.146795,1.050512
0.147335,1.05039
0.148593,1.049482
0.149187,1.049108
0.150216,1.048537
0.150747,1.048315
0.15142,1.047885
0.152042,1.047541
0.152687,1.047137
0.153319,1.046813
0.154076,1.046345
0.154615,1.046405
0.155193,1.046303
0.156057,1.045717
0.157284,1.044924
0.157853,1.045067
0.158418,1.044712
0.159282,1.044207
0.159799,1.043961
0.160412,1.043597
0.161247,1.043176
0.161841,1.042952
0.162379,1.042679
0.163363,1.042207
0.164281,1.04176
0.16483,1.04186
0.165744,1.041447
0.166279,1.041255
0.166866,1.041172
0.167766,1.040801
0.168711,1.040424
0.169412,1.040192
0.17048,1.039896
0.171198,1.039679
0.171906,1.039617
0.172548,1.039481
0.173489,1.039125
0.174248,1.038947
0.17497,1.038712
0.175542,1.038882
0.176228,1.038652
0.177256,1.038382
0.17782,1.038284
0.178409,1.038547
0.179061,1.038385
0.179723,1.038149
0.180251,1.038401
0.18077,1.038378
0.181369,1.03814
0.181988,1.037892
0.182634,1.037821
0.183228,1.038016
0.183814,1.038089
0.184364,1.037862
0.184926,1.037645
0.18565,1.037527
0.186193,1.037375
0.186972,1.03722
0.187917,1.036916
0.188443,1.036954
0.18896,1.037176
0.189548,1.037004
0.190121,1.036837
0.190666,1.036951
0.19148,1.036708
0.192031,1.036907
0.192625,1.036752
0.193213,1.036583
0.193729,1.036789
0.194527,1.036527
0.195687,1.036323
0.196261,1.036281
0.196983,1.036129
0.197806,1.036081
0.198674,1.035912
0.199326,1.035946
0.199992,1.035853
0.200493,1.035994
0.201244,1.035877
0.201748,1.03612
0.203048,1.035739
0.20365,1.035689
0.204157,1.035654
0.20494,1.035487
0.205451,1.035751
0.206273,1.03561
0.206807,1.035874
0.2079,1.035552
0.208806,1.035413
0.209684,1.035343
0.210258,1.03575
0.21125,1.03547
0.211821,1.035758
0.212495,1.035667
0.213519,1.035425
0.214074,1.035549
0.214579,1.035538
0.215383,1.03541
0.215888,1.035513
0.216611,1.035468
0.217208,1.035566
0.217783,1.035854
0.218515,1.035793
0.219103,1.035893
0.21974,1.035951
0.220313,1.036228
0.220912,1.036143
0.221413,1.036355
0.222043,1.036253
0.222638,1.036458
0.223229,1.036371
0.223806,1.03647
0.224427,1.03642
0.224933,1.036413
0.225443,1.036505
0.225958,1.03649
0.226542,1.036698
0.227307,1.036569
0.227861,1.036628
0.228522,1.036552
0.229057,1.036698
0.229618,1.036573
0.23017,1.036498
0.230811,1.036427
0.231343,1.036488
0.231929,1.036334
0.232515,1.036369
0.233187,1.036149
0.234003,1.035926
0.234675,1.035774
0.23529,1.035764
0.236067,1.035496
0.236661,1.035308
0.237332,1.035106
0.237878,1.035116
0.238676,1.034822
0.239505,1.03451
0.240177,1.03437
0.24093,1.034101
0.241579,1.033963
0.242285,1.03371
0.242859,1.033763
0.243607,1.0336
0.244294,1.033311
0.244954,1.033059
0.245711,1.032769
0.246324,1.032673
0.24729,1.032319
0.247947,1.032386
0.248717,1.032129
0.249258,1.032088
0.25022,1.031718
0.264064,1.027491
0.28221,1.023696
0.295024,1.022041
0.309546,1.021207
0.322067,1.020855
0.336082,1.02047
0.353952,1.019904
0.368891,1.019372
0.382163,1.01891
0.396553,1.018517
0.411064,1.018196
0.428686,1.017857
0.44179,1.017637
0.455187,1.017484
0.469872,1.017487
0.484428,1.017352
0.498317,1.017286
0.512069,1.017168
0.526401,1.017075
0.542267,1.017017
0.555538,1.016977
0.568175,1.016962
0.583022,1.016965
0.596098,1.016926
0.610894,1.016901
0.62686,1.016879
0.641361,1.01689
0.654511,1.016848
0.669383,1.016862
0.690446,1.016861
0.705385,1.016814
0.71991,1.016789
0.733399,1.01677
0.749735,1.01677
0.765356,1.016765
0.782874,1.016764
0.79945,1.01675
0.81611,1.016739
0.830755,1.016723
0.844962,1.016733
0.859668,1.016728
0.875109,1.016718
0.88918,1.016704
0.901718,1.016693
0.915842,1.016688
0.928997,1.016671
0.941795,1.016655
0.958493,1.016648
0.971691,1.016623
0.986916,1.016627
1.00008,1.016615
1.014893,1.016605
1.028094,1.016586
1.042373,1.016593
1.056156,1.016584
1.0719,1.016583
1.089622,1.016609
1.111241,1.016613
1.128479,1.016585
1.14242,1.016567
1.161915,1.016588
1.176752,1.016582
1.192809,1.016569
1.219658,1.016644
1.236117,1.016587
1.256073,1.016576
1.279745,1.016589
1.294581,1.016557
1.321163,1.016599
1.34317,1.016593
1.362093,1.016542
1.385492,1.016572
1.403655,1.016613
1.419177,1.0166
1.43251,1.016501
1.449966,1.016575
1.463898,1.016579
1.477986,1.016668
1.492118,1.016816
1.504686,1.017016
1.518303,1.017169
1.530831,1.017375
1.547288,1.017464
1.562673,1.017768
1.578989,1.017951
1.592285,1.018444
1.608191,1.018628
1.621442,1.018723
1.635927,1.018673
1.655483,1.018848
1.66911,1.019616
1.683193,1.020183
1.696026,1.020559
1.71165,1.020722
1.724903,1.020567
1.74404,1.019599
1.760992,1.018654
1.779807,1.017852
1.805151,1.017158
1.822123,1.016913
1.837514,1.016563
1.852803,1.016581
1.87157,1.01637
1.889507,1.016648
1.904928,1.01695
1.92102,1.017323
1.939257,1.017917
1.953813,1.019044
1.967202,1.019647
1.988062,1.019379
2.00366,1.020023
2.019989,1.020408
2.033202,1.020489
2.049084,1.020011
2.063156,1.019506
2.076082,1.019235
2.090908,1.018928
2.107946,1.01851
2.121185,1.01831
2.133985,1.018301
2.146507,1.018428
2.159078,1.018818
2.171719,1.018771
2.184354,1.018562
2.197533,1.018326
2.210854,1.018042
2.2267,1.018014
2.242655,1.018449
2.257014,1.018642
2.2736,1.01883
2.288414,1.018861
2.306222,1.018591
2.324485,1.018258
2.343385,1.017612
2.356668,1.017141
2.376579,1.016407
2.389628,1.015996
2.403284,1.015678
2.419294,1.01542
2.431912,1.015359
2.444631,1.015388
2.460737,1.015224
2.474641,1.015541
2.492127,1.016042
2.51302,1.016212
2.528244,1.01699
2.54813,1.017084
2.56771,1.017135
2.584201,1.017473
2.599936,1.017902
2.623048,1.017904
2.638983,1.017935
2.66056,1.017493
2.674716,1.017179
2.689426,1.016883
2.703644,1.016557
2.719557,1.015919
2.732334,1.015702
2.744948,1.01566
2.75745,1.015638
2.771012,1.015545
2.784737,1.015476
2.803728,1.015772
2.817364,1.016512
2.833868,1.017069
2.848598,1.018098
2.86447,1.018296
2.884983,1.018437
2.902303,1.018885
2.915197,1.019192
2.930567,1.019617
2.948993,1.019535
2.962345,1.019762
2.977497,1.019868
2.995694,1.019453
3.008991,1.019409
3.029039,1.018754
3.046666,1.018608
3.059567,1.018496
3.072695,1.018416
3.089809,1.017996
3.103956,1.017757
3.118684,1.017502
3.133354,1.017442
3.14595,1.017396
3.159487,1.017304
3.177543,1.017044
3.198046,1.016619
3.225136,1.016083
3.240164,1.015475
3.270152,1.015565
3.305212,1.01556
3.340159,1.015405
3.373584,1.015326
3.409372,1.015298
3.439864,1.015278
3.489864,1.015353
3.506132,1.015262
3.530444,1.015263
3.579596,1.015362
3.592827,1.015259
3.638322,1.015354
3.662717,1.015382
3.712717,1.015453
3.739832,1.015413
3.771275,1.015426
3.821275,1.015481
3.843103,1.015456
3.893103,1.015505
3.913489,1.015481
3.963489,1.015536
3.976557,1.015471
