frame,value
0,2
0,2
0,2
0.000579,2
0.000579,2
0.001331,2
0.001331,2
0.0024,2
0.0024,2
0.00344,2
0.00344,2
0.00479,2
0.00479,2
0.005808,2
0.005808,2
0.006415,2
0.006415,2
0.007324,2
0.007324,2
0.00821,2
0.00821,2
0.008804,2
0.008804,2
0.009365,2
0.009365,2
0.01004,2
0.01004,2
0.01004,2
0.010649,2
0.010649,2
0.010649,2
0.011238,2
0.011238,2
0.011238,2
0.011787,2
0.011787,2
0.011787,2
0.01239,2
0.01239,2
0.01239,2
0.012898,2
0.012898,2
0.012898,2
0.013677,2
0.013677,2
0.013677,2
0.01423,2
0.01423,2
0.01423,2
0.015177,2
0.015177,2
0.015177,2
0.015855,2
0.015855,2
0.016513,2
0.016513,2
0.016513,2
0.017295,2
0.017295,2
0.017295,2
0.017832,2
0.017832,2
0.017832,2
0.018415,2
0.018415,2
0.018415,2
0.018415,2
0.018978,2
0.018978,2
0.018978,2
0.01953,2
0.01953,2
0.020239,2
0.020239,2
0.020938,2
0.020938,2
0.020938,2
0.021562,2
0.021562,2
0.022065,2
0.022065,2
0.022652,2
0.022652,2
0.022652,2
0.023288,2
0.023288,2
0.023288,2
0.023802,2
0.023802,2
0.023802,2
0.024374,2
0.024374,2
0.024374,2
0.024374,2
0.024947,2
0.024947,2
0.024947,2
0.024947,2
0.025575,2
0.025575,2
0.025575,2
0.026077,2
0.026077,2
0.026077,2
0.026077,2
0.026821,2
0.026821,2
0.027751,2
0.027751,2
0.027751,2
0.027751,2
0.027751,2
0.028338,2
0.028338,2
0.028338,2
0.028842,2
0.028842,2
0.028842,2
0.028842,2
0.029737,2
0.029737,2
0.029737,2
0.030264,2
0.030264,2
0.030264,2
0.030264,2
0.030792,2
0.030792,2
0.030792,2
0.030792,2
0.031771,2
0.031771,2
0.031771,2
0.032326,2
0.032326,2
0.032326,2
0.032326,2
0.032956,2
0.032956,2
0.032956,2
0.032956,2
0.03365,2
0.03365,2
0.03365,2
0.03365,2
0.034306,2
0.034306,2
0.034306,2
0.034306,2
0.034858,2
0.034858,2
0.034858,2
0.034858,2
0.034858,2
0.035677,2
0.035677,2
0.035677,2
0.035677,2
0.035677,2
0.035677,2
0.035677,2
0.036272,2
0.036272,2
0.036272,2
0.036272,2
0.036783,2
0.036783,2
0.036783,2
0.036783,2
0.036783,2
0.037597,2
0.037597,2
0.037597,3
0.037597,2
0.037597,2
0.038582,2
0.038582,3
0.038582,2
0.039349,2
0.039349,2
0.039349,3
0.039906,2
0.039906,3
0.039906,3
0.040474,2
0.040474,3
0.040474,2
0.041038,2
0.041038,3
0.041038,3
0.041642,2
0.041642,3
0.041642,3
0.041642,3
0.042536,2
0.042536,3
0.042536,3
0.042536,3
0.04359,2
0.04359,3
0.04359,3
0.044096,2
0.044096,3
0.044096,3
0.044096,3
0.044096,3
0.04498,2
0.04498,3
0.04498,3
0.04498,3
0.045596,2
0.045596,3
0.045596,3
0.046188,2
0.046188,3
0.046188,3
0.046188,3
0.047078,3
0.047078,3
0.047078,3
0.047078,3
0.04803,3
0.04803,3
0.04803,3
0.048599,3
0.048599,3
0.048599,3
0.049176,3
0.049176,3
0.049176,3
0.049683,3
0.049683,3
0.049683,3
0.049683,3
0.05025,2
0.05025,3
0.05025,3
0.05025,3
0.05025,3
0.051098,3
0.051098,3
0.051098,3
0.051098,3
0.051812,3
0.051812,3
0.051812,3
0.051812,3
0.052478,3
0.052478,3
0.052478,3
0.052478,3
0.052478,3
0.053024,3
0.053024,3
0.053024,3
0.053024,3
0.053024,3
0.053606,3
0.053606,3
0.053606,3
0.053606,3
0.053606,3
0.054446,3
0.054446,3
