frame,value
0,2
0.000579,1
0.001331,1
0.0024,1
0.00344,1
0.00479,1
0.005808,1
0.006415,1
0.007324,1
0.00821,1
0.008804,1
0.009365,1
0.01004,2
0.010649,2
0.011238,2
0.011787,2
0.01239,2
0.012898,2
0.013677,2
0.01423,2
0.015177,2
0.015855,1
0.016513,2
0.017295,2
0.017832,2
0.018415,3
0.018978,2
0.01953,1
0.020239,1
0.020938,2
0.021562,1
0.022065,1
0.022652,2
0.023288,2
0.023802,2
0.024374,3
0.024947,3
0.025575,2
0.026077,3
0.026821,1
0.027751,4
0.028338,2
0.028842,3
0.029737,2
0.030264,3
0.030792,3
0.031771,2
0.032326,3
0.032956,3
0.03365,3
0.034306,3
0.034858,4
0.035677,6
0.036272,3
0.036783,4
0.037597,4
0.038582,2
0.039349,2
0.039906,2
0.040474,2
0.041038,2
0.041642,3
0.042536,3
0.04359,2
0.044096,4
0.04498,3
0.045596,2
0.046188,3
0.047078,3
0.04803,2
0.048599,2
0.049176,2
0.049683,3
0.05025,4
0.051098,3
0.051812,3
0.052478,4
0.053024,4
0.053606,4
0.054446,3
0.055298,3
0.055916,1
0.056489,2
0.057,3
0.057726,3
0.05856,4
0.059094,2
0.059602,3
0.060178,3
0.060688,3
0.061217,3
0.061764,3
0.062503,3
0.063313,4
0.064133,3
0.065069,3
0.065835,3
0.066462,3
0.067123,3
0.067742,3
0.068366,3
0.069054,3
0.069781,3
0.070477,4
0.070999,4
0.071763,2
0.072314,4
0.073158,3
0.073698,5
0.074278,6
0.074785,2
0.07535,2
0.076067,4
0.0766,4
0.077111,2
0.077665,3
0.078198,4
0.078758,5
0.079276,4
0.079887,4
0.080408,4
0.080927,2
0.081559,5
0.082078,6
0.082744,6
0.083249,7
0.083802,6
0.084394,7
0.085015,4
0.086011,6
0.08654,1
0.08713,3
0.08824,7
0.089035,10
0.089555,7
0.090061,7
0.091022,7
0.091759,7
0.092969,2
0.093494,6
0.094059,4
0.095695,4
0.096341,5
0.097341,5
0.097856,3
0.099841,6
0.100755,7
0.10145,7
0.102451,5
0.103361,5
0.103878,2
0.104803,6
0.105378,9
0.105879,7
0.107426,7
0.107943,5
0.109943,5
0.110458,4
0.111456,6
0.11236,5
0.11323,5
0.113832,2
0.114507,6
0.115447,3
0.115963,5
0.116726,7
0.117248,8
0.117983,6
0.118561,2
0.119081,4
0.119688,3
0.120355,3
0.121205,5
0.12176,5
0.122367,3
0.123094,10
0.123744,5
0.124542,5
0.125206,5
0.126009,4
0.126708,3
0.127379,3
0.127917,4
0.128497,6
0.129134,4
0.129636,5
0.130342,6
0.130927,1
0.131481,4
0.132229,2
0.132768,4
0.133502,3
0.134285,3
0.134909,3
0.135504,3
0.13629,4
0.136808,2
0.137355,3
0.137877,4
0.138442,2
0.139062,4
0.139595,1
0.14032,4
0.141227,4
0.142132,3
0.14277,1
0.143385,3
0.144371,3
0.144911,3
0.145423,4
0.145926,3
0.146795,3
0.147335,2
0.148593,2
0.149187,3
0.150216,3
0.150747,2
0.15142,3
0.152042,1
0.152687,3
0.153319,1
0.154076,2
0.154615,4
0.155193,4
0.156057,4
0.157284,6
0.157853,2
0.158418,3
0.159282,2
0.159799,2
0.160412,3
0.161247,4
0.161841,1
0.162379,4
0.163363,2
0.164281,3
0.16483,2
0.165744,3
0.166279,3
0.166866,4
0.167766,3
0.168711,3
0.169412,3
0.17048,3
0.171198,3
0.171906,3
0.172548,1
0.173489,4
0.174248,1
0.17497,3
0.175542,2
0.176228,3
0.177256,3
0.17782,3
0.178409,4
0.179061,1
0.179723,2
0.180251,4
0.18077,2
0.181369,1
0.181988,3
0.182634,3
0.183228,3
0.183814,2
0.184364,1
0.184926,3
0.18565,1
0.186193,3
0.186972,1
0.187917,2
0.188443,3
0.18896,2
0.189548,1
0.190121,2
0.190666,2
0.19148,2
0.192031,2
0.192625,1
0.193213,2
0.193729,2
0.194527,3
0.195687,2
0.196261,1
0.196983,3
0.197806,1
0.198674,2
0.199326,1
0.199992,2
0.200493,2
0.201244,2
0.201748,2
0.203048,1
0.20365,1
0.204157,1
0.20494,2
0.205451,2
0.206273,2
0.206807,2
0.2079,2
0.208806,1
0.209684,2
0.210258,2
0.21125,2
0.211821,2
0.212495,1
0.213519,2
0.214074,1
0.214579,1
0.215383,1
0.215888,1
0.216611,1
0.217208,2
0.217783,2
0.218515,2
0.219103,2
0.21974,2
0.220313,2
0.220912,2
0.221413,2
0.222043,2
0.222638,2
0.223229,2
0.223806,2
0.224427,1
0.224933,2
0.225443,2
0.225958,2
0.226542,2
0.227307,2
0.227861,2
0.228522,2
0.229057,2
0.229618,1
0.23017,1
0.230811,2
0.231343,2
0.231929,2
0.232515,2
0.233187,1
0.234003,1
0.234675,2
0.23529,2
0.236067,1
0.236661,1
0.237332,2
0.237878,2
0.238676,1
0.239505,2
0.240177,2
0.24093,2
0.241579,2
0.242285,2
0.242859,3
0.243607,2
0.244294,1
0.244954,1
0.245711,2
0.246324,2
0.24729,2
0.247947,3
0.248717,2
0.249258,2
0.25022,3
0.264064,4
0.28221,3
0.295024,3
0.309546,3
0.322067,3
0.336082,3
0.353952,3
0.368891,3
0.382163,3
0.396553,5
0.411064,4
0.428686,3
0.44179,3
0.455187,4
0.469872,4
0.484428,4
0.498317,4
0.512069,3
0.526401,3
0.542267,4
0.555538,3
0.568175,4
0.583022,4
0.596098,4
0.610894,3
0.62686,4
0.641361,2
0.654511,4
0.669383,4
0.690446,3
0.705385,3
0.71991,3
0.733399,3
0.749735,3
0.765356,3
0.782874,3
0.79945,3
0.81611,1
0.830755,3
0.844962,3
0.859668,3
0.875109,3
0.88918,3
0.901718,4
0.915842,4
0.928997,4
0.941795,4
0.958493,1
0.971691,4
0.986916,3
1.00008,1
1.014893,1
1.028094,2
1.042373,1
1.056156,2
