frame,value
0,10
0,7
0,7
0.000664,7
0.000664,7
0.001562,7
0.001562,7
0.002363,7
0.002363,7
0.003304,7
0.003304,7
0.004381,7
0.004381,7
0.005446,7
0.005446,7
0.006479,7
0.006479,7
0.007454,7
0.007454,7
0.008164,7
0.008164,7
0.009085,7
0.009085,7
0.009665,7
0.009665,7
0.010484,7
0.010484,7
0.01133,7
0.01133,8
0.011893,7
0.011893,7
0.012623,7
0.012623,7
0.013394,7
0.013394,8
0.013394,7
0.014026,7
0.014026,7
0.014026,7
0.01557,7
0.01557,7
0.016272,7
0.016272,7
0.016272,7
0.016853,7
0.016853,8
0.016853,7
0.017784,7
0.017784,8
0.018408,7
0.018408,7
0.019386,7
0.019386,7
0.019386,7
0.020021,7
0.020021,7
0.020021,7
0.02086,7
0.02086,7
0.021504,7
0.021504,7
0.022389,7
0.022389,7
0.022977,7
0.022977,8
0.022977,7
0.024401,7
0.024401,7
0.024401,7
0.025003,7
0.025003,8
0.025604,7
0.025604,8
0.025604,8
0.026286,7
0.026286,8
0.026901,7
0.026901,8
0.026901,7
0.02743,7
0.02743,8
0.02743,8
0.027956,7
0.027956,8
0.027956,8
0.028587,7
0.028587,8
0.028587,8
0.02923,7
0.02923,7
0.029905,7
0.029905,8
0.030447,7
0.030447,8
0.031207,7
0.031207,8
0.031207,8
0.031805,7
0.031805,8
0.031805,8
0.033137,7
0.033137,8
0.033967,7
0.033967,8
0.034485,7
0.034485,8
0.03525,7
0.03525,8
0.035752,7
0.035752,8
0.036369,8
0.036369,8
0.036877,7
0.036877,8
0.037449,7
0.037449,8
0.03849,8
0.03849,8
0.03849,8
0.03849,8
0.039358,8
0.039358,8
0.039358,8
0.039358,8
0.040167,8
0.040167,8
0.040167,8
0.040167,8
0.040736,8
0.040736,8
0.040736,8
0.040736,8
0.041762,8
0.041762,8
0.041762,8
0.04243,8
0.04243,8
0.04243,8
0.042991,8
0.042991,8
0.042991,8
0.042991,8
0.043552,8
0.043552,8
0.043552,8
0.044303,8
0.044303,8
0.044932,8
0.044932,8
0.044932,8
0.045452,8
0.045452,8
0.045452,8
0.046239,8
0.046239,8
0.046916,8
0.046916,8
0.047504,8
0.047504,8
0.048076,8
0.048076,8
0.048076,8
0.048649,8
0.048649,8
0.048649,8
0.049286,8
0.049286,8
0.049974,8
0.049974,8
0.05048,8
0.05048,8
0.05048,8
0.050993,8
0.050993,8
0.050993,8
0.051628,8
0.051628,8
0.051628,8
0.052202,8
0.052202,8
0.052202,8
0.052202,8
0.052862,8
0.052862,8
0.052862,8
0.052862,8
0.052862,8
0.053722,8
0.053722,8
0.053722,8
0.053722,8
0.054285,8
0.054285,8
0.054285,8
0.054835,8
0.054835,8
0.054835,8
0.054835,8
0.055379,8
0.055379,8
0.055379,8
0.055379,8
0.055379,8
0.056021,8
0.056021,8
0.056021,8
0.056021,8
0.056758,8
0.056758,8
0.056758,8
0.056758,8
0.057381,8
0.057381,8
0.057381,8
0.057381,8
0.058081,8
0.058081,8
0.058081,8
0.058644,8
0.058644,8
0.058644,8
0.059337,8
0.059337,8
0.059337,8
0.059337,8
0.060279,8
0.060279,8
0.060279,8
0.06078,8
0.06078,8
0.06078,8
0.06078,8
0.061303,8
0.061303,8
0.061303,8
0.061303,8
0.061303,8
0.062455,8
0.062455,8
0.062455,8
0.062455,8
0.062987,8
0.062987,8
0.062987,8
0.06363,8
0.06363,8
0.064148,8
0.064148,8
0.064745,8
0.064745,8
0.065316,8
0.065316,8
0.065316,8
0.065316,8
0.066008,8
0.066008,8
0.066008,8
0.066008,8
0.066835,8
0.066835,8
0.066835,8
0.066835,8
0.067949,8
0.067949,8
0.067949,8
0.067949,8
0.068666,8
0.068666,8
0.068666,8
0.068666,8
0.069306,8
0.069306,8
0.069306,8
0.069306,8
0.069857,8
0.069857,8
0.069857,8
0.069857,8
0.069857,8
0.070621,8
0.070621,8
0.071341,8
0.071341,8
0.071341,9
0.071341,8
0.072166,8
0.072166,9
0.072166,8
0.072166,8
0.072887,8
0.072887,9
0.072887,9
0.072887,8
0.073614,8
0.073614,9
0.073614,8
0.073614,9
0.074414,8
0.074414,9
0.074414,9
0.074414,9
0.074414,9
0.07507,8
0.07507,9
0.07507,9
0.07507,9
0.075837,9
0.075837,9
0.075837,9
0.075837,9
0.076754,9
0.076754,9
0.076754,9
0.076754,9
0.076754,9
0.077342,9
0.077342,9
0.077342,9
0.077342,9
0.077342,9
0.077342,9
0.077973,9
0.077973,9
0.077973,9
0.077973,9
0.078636,9
0.078636,9
0.079233,9
0.079233,9
0.079233,9
0.079233,9
0.080049,9
0.080049,9
0.080049,9
0.080049,9
0.080686,9
0.080686,9
0.080686,9
0.080686,9
0.080686,9
0.081208,9
0.081208,9
0.081208,9
0.081208,9
0.081208,9
0.08212,9
0.08212,9
0.08212,9
0.08212,9
0.082838,9
0.082838,9
0.082838,9
0.082838,9
0.083597,9
0.083597,9
0.083597,9
0.083597,9
0.08412,9
0.08412,9
0.08412,9
0.08412,9
0.08412,9
0.084662,9
0.084662,9
0.084662,9
0.084662,9
0.084662,9
0.084662,9
0.085307,9
0.085307,9
0.085307,9
0.085307,9
0.086362,9
0.086362,9
0.086362,9
0.086362,9
0.086362,9
0.086362,9
0.08691,9
0.08691,9
0.08691,9
0.08691,9
0.08691,9
0.08691,9
0.08763,9
0.08763,9
0.08763,9
0.08763,9
0.088186,9
0.088186,9
0.088186,9
0.088186,9
0.088186,9
0.088186,9
0.088186,9
0.088733,9
0.088733,9
0.088733,9
0.088733,9
0.089382,9
0.089382,9
0.089382,9
0.089382,9
0.089382,9
0.089897,9
0.089897,9
0.089897,9
0.089897,9
0.089897,9
0.090448,9
0.090448,9
0.090448,9
0.090448,9
0.091611,9
0.091611,9
0.091611,9
0.091611,9
0.092116,9
0.092116,9
0.092116,9
0.092623,9
0.092623,9
0.092623,9
0.092623,9
0.092623,9
0.093196,9
0.093196,9
0.093196,9
0.093196,9
0.093196,9
0.093196,9
0.093795,9
0.093795,9
0.093795,9
0.093795,9
0.094497,9
0.094497,9
0.094497,9
0.094497,9
0.095319,9
0.095319,9
0.095319,9
0.095319,9
0.095319,9
0.095319,9
0.095911,9
0.095911,9
0.095911,9
0.095911,9
0.095911,9
0.09642,9
0.09642,9
0.09642,9
0.09642,9
0.09642,9
0.097005,9
0.097005,9
0.097005,9
0.097005,9
0.097005,9
0.097521,9
0.097521,9
0.097521,9
0.097521,9
0.097521,9
0.098728,9
0.098728,9
0.098728,9
0.098728,9
0.098728,9
0.098728,9
0.098728,9
0.099246,9
0.099246,9
0.099246,9
0.099246,9
0.099797,9
0.099797,9
0.099797,9
0.099797,9
0.099797,9
0.100338,9
0.100338,9
0.100338,9
0.100338,9
0.100338,9
0.100338,9
0.100861,9
0.100861,9
0.100861,9
0.101585,9
0.101585,9
0.101585,9
0.101585,9
0.101585,9
0.101585,9
0.102368,9
0.102368,9
0.102368,9
0.102368,9
0.102368,9
0.102368,9
0.103218,9
0.103218,9
0.103218,9
0.103218,9
0.103218,9
0.103218,9
0.103218,9
0.104055,9
0.104055,9
0.104055,9
0.104055,9
0.104055,9
0.104055,9
0.104055,9
0.104704,9
0.104704,9
0.104704,9
0.104704,9
0.104704,9
0.104704,9
0.105402,9
0.105402,9
0.105402,9
0.105402,9
0.105402,9
0.105914,9
0.105914,9
0.105914,9
0.105914,9
0.105914,9
0.105914,9
0.105914,9
0.105914,9
0.106553,9
0.106553,9
