frame,value
0,73
0.000664,49
0.001562,50
0.002363,51
0.003304,52
0.004381,52
0.005446,52
0.006479,50
0.007454,50
0.008164,51
0.009085,49
0.009665,51
0.010484,51
0.01133,49
0.011893,50
0.012623,50
0.013394,78
0.014026,82
0.01557,49
0.016272,76
0.016853,78
0.017784,48
0.018408,50
0.019386,76
0.020021,79
0.02086,48
0.021504,50
0.022389,48
0.022977,81
0.024401,75
0.025003,48
0.025604,77
0.026286,48
0.026901,76
0.02743,82
0.027956,78
0.028587,81
0.02923,49
0.029905,47
0.030447,50
0.031207,75
0.031805,83
0.033137,50
0.033967,48
0.034485,49
0.03525,49
0.035752,49
0.036369,47
0.036877,49
0.037449,51
0.03849,106
0.039358,115
0.040167,113
0.040736,110
0.041762,80
0.04243,79
0.042991,112
0.043552,86
0.044303,51
0.044932,79
0.045452,86
0.046239,50
0.046916,50
0.047504,50
0.048076,81
0.048649,87
0.049286,55
0.049974,49
0.05048,78
0.050993,83
0.051628,78
0.052202,117
0.052862,146
0.053722,111
0.054285,82
0.054835,107
0.055379,141
0.056021,114
0.056758,112
0.057381,112
0.058081,81
0.058644,83
0.059337,114
0.060279,81
0.06078,112
0.061303,156
0.062455,111
0.062987,85
0.06363,51
0.064148,51
0.064745,52
0.065316,111
0.066008,114
0.066835,115
0.067949,110
0.068666,114
0.069306,112
0.069857,152
0.070621,56
0.071341,112
0.072166,110
0.072887,112
0.073614,114
0.074414,160
0.07507,114
0.075837,116
0.076754,149
0.077342,181
0.077973,117
0.078636,53
0.079233,112
0.080049,110
0.080686,145
0.081208,146
0.08212,112
0.082838,110
0.083597,108
0.08412,137
0.084662,169
0.085307,113
0.086362,168
0.08691,171
0.08763,106
0.088186,202
0.088733,111
0.089382,135
0.089897,136
0.090448,111
0.091611,107
0.092116,74
0.092623,131
0.093196,159
0.093795,104
0.094497,106
0.095319,161
0.095911,142
0.09642,132
0.097005,130
0.097521,151
0.098728,196
0.099246,107
0.099797,143
0.100338,164
0.100861,82
0.101585,162
0.102368,164
0.103218,196
0.104055,184
0.104704,173
0.105402,131
0.105914,252
0.106553,106
0.107566,193
0.10812,116
0.108714,161
0.109348,48
0.110008,100
0.110549,168
0.111053,206
0.11166,50
0.112245,133
0.11276,167
0.113646,156
0.114168,80
0.114683,165
0.115193,162
0.115881,131
0.116396,107
0.116967,135
0.117618,105
0.11846,76
0.118969,165
0.119785,51
0.120287,106
