frame,value
0,159
0.001141,193
0.002665,185
0.004195,186
0.005365,254
0.006707,303
0.007873,395
0.009059,245
0.010076,316
0.011139,371
0.012392,433
0.013436,510
0.014497,366
0.015593,430
0.016669,438
0.017703,502
0.018853,436
0.019865,382
0.020959,380
0.022061,447
0.023075,444
0.024262,514
0.025519,513
0.026673,447
0.027702,612
0.028898,467
0.029957,716
0.031038,572
0.032241,786
0.033256,776
0.034351,927
0.0354,707
0.036488,784
0.037505,704
0.038518,838
0.039594,910
0.040642,703
0.041672,817
0.042693,824
0.043739,763
0.044772,699
0.045796,632
0.046797,699
0.04782,617
0.048934,534
0.049992,534
0.05103,613
0.05206,686
0.053191,461
0.054218,593
0.055267,448
0.056551,501
0.057744,367
0.058745,303
0.059842,358
0.060949,489
0.061975,485
0.06307,353
0.06425,293
0.065467,345
0.066553,345
0.067659,337
0.068795,507
0.069904,279
0.070907,453
0.072045,212
0.073138,380
0.074192,381
0.075236,491
0.076279,493
0.077281,558
0.078441,490
0.079488,491
0.080521,555
0.081613,434
0.082633,495
0.083649,562
0.084731,565
0.085746,516
0.086808,582
0.087841,586
0.088902,476
0.089971,349
0.090985,468
0.092111,461
0.093448,389
0.094461,378
0.095722,310
0.096835,361
0.097863,362
0.09887,353
0.099906,289
0.101063,297
0.10208,294
0.103207,190
0.104382,285
0.105433,194
0.10644,256
0.107587,196
0.10867,346
0.11033,338
0.111598,291
0.113116,139
0.114231,133
0.115352,241
0.116359,351
0.117661,245
0.118783,395
0.120453,237
0.121481,244
0.122979,313
0.124281,316
0.125674,202
0.127022,311
0.12806,414
0.129069,354
0.130138,303
0.131139,517
0.132217,265
0.13328,301
0.134322,240
0.135478,349
0.136487,351
0.137516,254
0.138557,286
0.13961,325
0.140652,282
0.141814,284
0.143009,290
0.144237,400
0.145262,322
0.146433,407
0.14751,469
0.14859,463
0.149743,479
0.150816,463
0.151897,405
0.152927,398
0.153937,403
0.155115,342
0.156184,287
0.157228,238
0.158282,338
0.159346,310
0.160404,348
0.161471,358
0.162496,421
0.163657,421
0.164785,424
0.165875,429
0.166919,478
0.168,470
0.169003,369
0.170199,261
0.171206,318
0.172253,314
0.173264,257
0.174275,309
0.175727,308
0.176987,291
0.178098,250
0.179105,249
0.180226,306
0.181427,195
0.182446,240
0.183497,182
0.184516,228
0.185606,210
0.186643,135
0.18765,174
0.188737,164
0.189866,162
0.190978,203
0.192067,163
0.193175,251
0.194359,206
0.195438,259
0.196634,221
0.197727,173
0.19882,226
0.199907,276
0.201065,330
0.202158,341
0.20317,397
0.204287,243
0.205474,242
0.206491,245
0.207535,196
0.20874,250
0.209926,198
0.211307,143
0.212605,138
0.214045,83
0.215126,83
0.216239,85
0.217389,133
0.21947,134
0.22116,82
0.222921,79
0.224282,78
0.225406,81
0.227069,83
0.228868,90
0.230941,86
0.233007,88
0.236159,77
0.237631,81
0.239573,79
0.24107,83
0.243449,76
0.244654,76
0.245964,76
0.247156,76
0.248479,76
0.249742,76
0.251046,75
0.252323,76
0.253621,76
0.254909,76
0.256207,76
0.257502,76
0.258803,77
0.260108,76
0.261418,76
0.262723,76
0.26403,76
0.265334,76
0.266642,76
0.267957,76
0.269269,76
0.270585,76
0.2719,76
0.273217,75
0.274535,75
0.275854,75
0.277174,75
0.278497,76
0.279822,76
0.281151,75
0.282482,75
0.283818,75
0.285169,75
0.286512,76
0.287848,75
0.289194,75
0.290546,77
0.291844,77
0.293367,75
0.294669,76
0.296039,75
0.297365,76
0.298739,75
0.300097,75
0.301468,75
0.302831,75
0.304201,75
0.305571,75
0.306944,75
0.308319,75
0.309696,76
0.311075,75
0.312457,75
0.313842,76
0.31523,76
0.31662,75
0.318013,74
0.319408,75
0.320807,76
0.322208,75
0.323612,75
0.325019,75
0.32643,75
0.327843,75
0.329259,75
0.330677,75
0.332098,75
0.333522,75
0.334951,75
0.336381,76
0.337819,75
0.33926,75
0.340702,75
0.342147,75
0.343591,75
0.345039,75
0.346493,76
0.347982,75
0.349413,75
0.350936,303
0.361976,471
0.375959,770
0.389462,611
0.399741,882
0.412381,607
0.423747,655
0.436973,360
0.447231,350
0.459728,343
0.473228,500
0.488051,607
0.499444,626
0.512507,371
0.523289,507
0.535982,811
0.54881,684
0.559876,560
0.572253,778
0.584129,405
0.596762,913
0.606883,586
0.618044,395
0.628437,413
0.647044,442
0.659147,403
0.669517,716
0.680983,542
0.692977,540
0.705011,391
0.720181,252
0.730651,234
0.744261,586
0.763563,251
0.774022,418
0.791594,419
0.805654,265
0.819991,252
0.833129,261
0.849929,416
0.869816,249
0.883886,410
0.899275,250
0.916746,260
0.937197,404
0.956959,400
0.978538,238
0.992987,403
1.013048,272
1.027221,248
1.046542,266
1.071486,251
1.093043,248
1.111921,234
1.124925,408
1.149487,258
1.170706,253
1.190025,237
1.203613,235
1.216117,231
1.226547,233
1.23752,232
1.249308,228
1.259609,233
1.270662,420
1.300354,254
1.31654,238
1.331022,245
1.342816,414
1.36071,417
1.380633,227
1.391981,506
1.402875,640
1.413067,1060
1.423222,1299
1.43413,890
1.445909,622
1.458196,639
1.471091,1709
1.482571,1638
1.492719,1450
1.503385,1516
1.51445,965
1.52521,1328
1.535891,1051
1.546267,752
1.557348,1079
1.567397,1233
1.578387,1057
1.588857,1195
1.601097,1030
1.612782,984
1.624236,946
1.635073,966
1.647319,840
1.658574,851
1.669518,681
1.681923,532
1.693478,526
1.704922,375
1.715171,686
1.726844,537
1.737442,535
1.748869,541
1.759803,386
1.76982,539
1.782163,692
1.796112,521
1.806898,515
1.817937,505
1.828889,507
1.839439,512
1.851343,519
1.862928,516
1.873007,380
1.884156,658
1.896597,650
1.90918,472
1.920669,448
1.932438,353
1.942594,492
1.955123,490
1.965658,493
1.976567,497
1.987482,492
1.998028,361
2.008105,499
2.02164,362
2.032168,511
2.043259,532
2.054547,724
2.065389,719
2.076206,898
2.088601,734
2.100897,889
2.11214,1751
2.1231,4872
2.133476,5650
2.143745,3968
2.153823,3213
2.164077,3251
2.174229,2009
2.184884,1819
2.195123,1292
2.205315,989
2.21595,1006
2.227354,993
2.237958,1106
2.248472,1113
2.259413,1100
2.270357,1058
2.281642,902
2.291976,905
2.30284,800
2.315747,966
2.325974,676
2.336671,970
2.346831,846
2.357221,1150
2.370088,664
2.380415,842
2.390666,1220
2.401771,1364
2.41344,1237
2.424733,1108
2.437111,822
2.449284,537
2.46017,668
2.470515,516
2.481098,663
2.491538,789
2.504931,634
2.514997,746
2.525445,729
2.537962,590
2.549637,455
2.563167,326
2.573213,344
2.58589,485
2.601066,351
2.611827,494
2.622508,368
2.634841,361
2.645544,363
2.656974,516
2.670627,660
2.683796,526
2.694821,839
2.706234,1156
2.717339,1922
2.727619,2347
2.738046,1973
2.749007,1596
2.75936,976
2.770101,792
2.783246,936
2.794726,1085
2.806441,648
2.818148,362
2.829073,504
2.841496,477
2.854957,464
2.865448,463
2.877251,577
2.88773,566
2.901007,471
2.912061,775
2.922149,506
2.932645,658
2.944956,524
2.955503,520
2.967999,519
2.978869,680
2.991059,888
3.002435,824
3.013467,839
3.025858,531
3.037073,526
3.047882,389
3.058299,803
3.070809,641
3.083028,908
3.093586,1052
3.103667,1184
3.114089,1184
3.124613,1181
3.135123,1010
3.146158,731
3.157462,733
3.171786,613
3.184119,378
3.194595,390
3.207857,381
3.222782,223
3.233975,221
3.244175,376
3.258833,378
3.273266,394
3.289923,242
3.304516,390
3.322068,402
3.337839,391
3.355493,247
3.374358,247
3.395339,220
3.407904,218
3.420455,228
3.430926,223
3.443993,425
3.466081,266
3.489235,241
3.511773,379
3.531016,249
3.55928,229
3.57915,391
3.613631,225
3.630546,227
3.648936,229
3.67108,250
3.708298,247
3.74438,204
3.76019,233
3.792139,239
3.827136,248
3.867136,246
3.907136,197
3.921293,343
3.943522,246
3.978839,210
3.995882,356
