frame,value
0,0
0,0
0,0
0,0
0.001149,0
0.001149,0
0.001149,0
0.002516,0
0.002516,0
0.002516,0
0.003701,0
0.003701,0
0.003701,0
0.003701,0
0.004794,0
0.004794,0
0.004794,0
0.004794,0
0.006027,0
0.006027,0
0.006027,0
0.006027,0
0.006027,0
0.007211,0
0.007211,7
0.007211,6
0.007211,6
0.007211,6
0.007211,6
0.008229,6
0.008229,6
0.008229,6
0.008229,6
0.008229,7
0.009538,8
0.009538,8
0.009538,8
0.009538,8
0.009538,8
0.009538,8
0.010642,8
0.010642,8
0.010642,8
0.010642,8
0.010642,8
0.010642,8
0.011644,8
0.011644,8
0.011644,8
0.011644,8
0.011644,8
0.011644,8
0.011644,8
0.01291,8
0.01291,8
0.01291,10
0.01291,10
0.01291,10
0.01291,14
0.013921,14
0.013921,14
0.013921,14
0.013921,14
0.013921,14
0.013921,14
0.014984,15
0.014984,16
0.014984,12
0.014984,13
0.014984,14
0.014984,14
0.016184,14
0.016184,14
0.016184,14
0.016184,15
0.016184,16
0.016184,16
0.016184,16
0.01723,16
0.01723,16
0.01723,16
0.01723,17
0.01723,20
0.01723,18
0.01723,18
0.018266,14
0.018266,15
0.018266,16
0.018266,14
0.018266,14
0.018266,14
0.019292,14
0.019292,14
0.019292,14
0.019292,15
0.019292,14
0.019292,12
0.019292,12
0.019292,14
0.020641,15
0.020641,16
0.020641,14
0.020641,15
0.020641,14
0.021693,16
0.021693,18
0.021693,18
0.021693,18
0.021693,18
0.021693,16
0.021693,16
0.022848,19
0.022848,20
0.022848,20
0.022848,22
0.022848,22
0.022848,23
0.022848,24
0.022848,25
0.024054,26
0.024054,26
0.024054,24
0.024054,20
0.024054,20
0.024054,20
0.025064,20
0.025064,19
0.025064,20
0.025064,20
0.025064,16
0.025064,17
0.026122,20
0.026122,20
0.026122,18
0.026122,18
0.026122,18
0.026122,18
0.026122,18
0.026122,19
0.027397,20
0.027397,20
0.027397,20
0.027397,20
0.027397,18
0.027397,18
0.027397,18
0.027397,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.028469,18
0.029481,18
0.029481,18
0.029481,18
0.029481,18
0.029481,18
0.029481,16
0.029481,17
0.029481,16
0.029481,16
0.030543,18
0.030543,19
0.030543,20
0.030543,18
0.030543,19
0.030543,20
0.030543,18
0.030543,19
0.031724,20
0.031724,20
0.031724,18
0.031724,18
0.031724,14
0.031724,14
0.031724,14
0.031724,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.032769,14
0.033782,14
0.033782,14
0.033782,14
