frame,value
0,1
0.001149,1
0.002516,1
0.003701,1
0.004794,1
0.006027,1
0.007211,1
0.008229,1
0.009538,1
0.010642,1
0.011644,1
0.01291,1
0.013921,1
0.014984,1
0.016184,1
0.01723,1
0.018266,1
0.019292,1
0.020641,1
0.021693,1
0.022848,1
0.024054,1
0.025064,1
0.026122,1
0.027397,1
0.028469,1
0.029481,1
0.030543,1
0.031724,1
0.032769,1
0.033782,1
0.034817,1
0.035997,1
0.037073,1
0.03822,1
0.039286,1
0.040375,1
0.041433,1
0.04247,1
0.043496,1
0.044568,1
0.045617,1
0.046711,1
0.047762,1
0.048777,1
0.049877,1
0.050899,1
0.05192,1
0.053094,1
0.054132,1
0.055193,1
0.056234,1
0.05733,1
0.058447,1
0.059626,1
0.060649,1
0.061676,1
0.062705,1
0.063746,1
0.064891,1
0.065919,1
0.066995,1
0.068051,1
0.069159,1
0.070175,1
0.071241,1
0.072269,1
0.073354,1
0.074415,1
0.075475,1
0.076482,1
0.07749,1
0.078542,1
0.079563,1
0.08073,1
0.081816,1
0.082876,1
0.08388,1
0.084946,1
0.085973,1
0.086983,1
0.088044,1
0.089125,1
0.09024,1
0.091305,1
0.092379,1
0.093479,1
0.094486,1
0.095543,1
0.09659,1
0.097828,1
0.098986,1
0.100137,1
0.101201,1
0.102515,1
0.103992,1
0.105447,1
0.106688,1
0.108058,1
0.109069,1
0.110084,1
0.111348,1
0.112872,1
0.113878,1
0.11523,1
0.116489,1
0.117725,1
0.118746,1
0.120121,1
0.121148,1
0.122531,1
0.123645,1
0.124746,1
0.125794,1
0.126963,1
0.127965,1
0.129063,1
0.130456,1
0.131601,1
0.132774,1
0.133891,1
0.134922,1
0.136036,1
0.137085,1
0.138136,1
0.139204,1
0.140237,1
0.14135,1
0.142355,1
0.143446,1
0.144516,1
0.14555,1
0.146551,1
0.147576,1
0.148658,1
0.149729,1
0.150791,1
0.151822,1
0.152936,1
0.153958,1
0.155037,1
0.15607,1
0.157334,1
0.158594,1
0.159615,1
0.16076,1
0.161796,1
0.162878,1
0.164198,1
0.165263,1
0.166361,1
0.167671,1
0.169214,1
0.170428,1
0.171827,1
0.172877,1
0.17393,1
0.175573,1
0.176816,1
0.177899,1
0.179048,1
0.180251,1
0.181263,1
0.182464,1
0.183516,1
0.184586,1
0.18574,1
0.186824,1
0.188063,1
0.189147,1
0.190354,1
0.191673,1
0.192771,1
0.193814,1
0.194838,1
0.195912,1
0.196982,1
0.198127,1
0.19918,1
0.200313,1
0.201437,1
0.202555,1
0.203652,1
0.204714,1
0.205782,1
0.206929,1
0.207932,1
0.208932,1
0.210024,1
0.211146,1
0.212313,1
0.213457,1
0.214522,1
0.215758,1
0.217413,1
0.218801,1
0.220798,1
0.222677,1
0.224129,1
0.225328,1
0.226878,1
0.228403,1
0.229542,1
0.231526,1
0.232682,1
0.23387,1
0.235491,1
0.236701,1
0.238446,1
0.240182,1
0.241908,1
0.244663,1
0.246653,1
0.249188,1
0.250696,1
0.253639,1
0.256218,1
0.260218,1
0.263134,1
0.266776,1
0.269682,1
0.272649,1
0.274085,1
0.276727,1
0.279572,1
0.282265,1
0.284136,1
0.28618,1
0.29018,1
0.292672,1
0.294773,1
0.297661,1
0.298727,1
0.299938,1
0.300998,1
0.302164,1
0.303253,1
0.304404,1
0.305506,1
0.306645,1
0.307757,1
0.30889,1
0.310007,1
0.311138,1
0.31226,1
0.313389,1
0.314513,1
0.315642,1
0.316768,1
0.317898,1
0.319026,1
0.320156,1
0.321285,1
0.322416,1
0.323546,1
0.324677,1
0.325809,1
0.326941,1
0.328075,1
0.329208,1
0.330346,1
0.33148,1
0.332616,1
0.333752,1
0.334889,1
0.336027,1
0.337164,1
0.338303,1
0.339441,1
0.340582,1
0.341721,1
0.342861,1
0.344002,1
0.345143,1
0.346285,1
0.347427,1
0.34857,1
0.349713,1
0.350857,1
0.363225,1
0.374113,1
0.384721,1
0.394843,1
