frame,value
0,0
0.001225,9.948896
0.002769,9.258035
0.004178,8.654852
0.005477,9.157438
0.006678,8.16064
0.007742,8.274642
0.008879,8.176567
0.010265,8.041873
0.011388,7.91894
0.012476,7.819963
0.013619,7.87936
0.014698,7.815471
0.015867,7.555164
0.016908,7.546031
0.01818,7.416006
0.019309,6.950069
0.020369,6.856174
0.02168,6.846087
0.022755,6.750121
0.023859,6.649031
0.024866,6.628968
0.025905,7.022503
0.026982,6.873053
0.028226,6.947178
0.029286,7.083538
0.030329,7.531371
0.031335,7.503088
0.032538,7.479486
0.033684,7.433148
0.034756,7.427457
0.035758,7.633105
0.036769,7.630346
0.037845,8.03259
0.038927,7.456886
0.039997,8.935056
0.040998,10.15261
0.042158,11.89405
0.043211,11.71666
0.044331,10.86601
0.045358,9.870748
0.046358,8.914758
0.047459,8.359171
0.048466,7.658322
0.049479,7.41799
0.050538,7.159052
0.051552,6.84425
0.052609,6.041498
0.053662,5.35481
0.054822,4.424333
0.055868,5.046248
0.056879,4.092746
0.05797,3.467459
0.058983,3.386714
0.059994,3.707244
0.061038,3.545187
0.062257,2.959174
0.063419,2.769688
0.064452,4.839212
0.0655,4.191444
0.066585,3.623777
0.067607,3.898078
0.068738,5.534
0.069762,7.963852
0.070809,4.236019
0.071902,5.139851
0.07291,4.413522
0.074066,3.706808
0.075177,5.263096
0.076214,4.323235
0.077251,4.577002
0.078383,3.777188
0.079486,5.612072
0.080527,3.466802
0.081743,3.981949
0.082836,4.060409
0.08387,4.462538
0.084948,5.06776
0.086017,4.921509
0.087027,4.9044
0.088075,4.708773
0.089146,4.865395
0.090193,5.028635
0.091203,6.262447
0.092262,5.937432
0.093443,7.644255
0.09453,6.985026
0.095571,6.712049
0.096718,6.262664
0.097732,5.743794
0.098803,5.195107
0.099834,4.168598
0.100909,3.478659
0.102231,2.805215
0.103435,2.419208
0.104554,2.448775
0.105724,2.278955
0.106863,2.334287
0.107971,2.287518
0.109068,2.245952
0.110107,2.235024
0.111241,2.272733
0.112586,2.262205
0.11446,2.423538
0.115489,2.933504
0.11666,2.254165
0.117738,3.727859
0.118785,2.542475
0.120536,2.674735
0.121778,2.748151
0.123122,2.600595
0.124243,3.127104
0.125327,3.104633
0.126586,2.866706
0.127597,4.001033
0.128778,3.407967
0.129821,3.221713
0.130864,3.666423
0.131874,3.742413
0.132954,3.882078
0.134005,4.392154
0.135055,3.771314
0.136075,4.911809
0.137259,5.017766
0.138447,4.287333
0.13947,4.715371
0.140618,5.15282
0.1417,5.724162
0.14283,5.211723
0.14404,4.598514
0.145041,4.680943
0.146087,4.983612
0.147099,5.50246
0.148229,4.868841
0.1494,6.383562
0.150559,5.077309
0.151692,5.584449
0.15271,5.741328
0.153914,5.296842
0.154935,6.232966
0.155996,6.001326
0.157058,5.423188
0.158133,5.537794
0.159234,6.205907
0.160288,6.001565
0.161291,5.50843
0.162337,5.199329
0.163474,4.286932
0.164536,3.736687
0.165573,3.406339
0.166673,2.643919
0.167682,2.542252
0.168876,2.513436
0.170032,2.470234
0.171247,2.392328
0.172268,2.554574
0.173341,2.455829
0.174428,2.406298
0.175726,2.517298
0.176819,2.465288
0.177892,3.537675
0.178986,2.617206
0.180037,2.607049
0.181181,2.72015
0.182833,2.727313
0.184478,2.969311
0.185548,3.80156
0.186613,3.962436
0.187761,3.032886
0.188859,2.930907
0.189881,2.933396
0.191295,3.084199
0.19242,3.264223
0.193567,3.289936
0.195104,3.40371
0.19617,4.390682
0.197274,3.998382
0.198654,4.527563
0.199933,4.26516
0.201059,4.072925
0.202081,4.292834
0.203196,5.087837
0.204543,4.852683
0.205914,4.789736
0.207174,5.331877
0.208246,5.315671
0.209363,5.514274
0.210632,6.070755
0.211805,6.603469
0.213069,5.777863
0.214195,6.098854
0.215266,6.196144
0.216336,6.181024
0.217497,6.31627
0.218556,6.28045
0.219603,6.115182
0.220752,5.861577
0.221768,6.188257
0.222906,5.525921
0.224032,4.621117
0.225103,4.226692
0.226187,3.174279
0.227544,3.019315
0.228701,1.784822
0.229945,1.73541
0.231242,1.521084
0.232904,1.295062
0.234341,0.9737072
0.235441,1.426542
0.236638,1.257937
0.238216,0.8638335
0.239225,0.8473245
0.240943,0.9830657
0.242688,0.7930301
0.244227,1.219517
0.245962,1.036526
0.247916,0.9036506
0.249918,0.7423302
0.252579,0.7239363
0.254667,0.5898972
0.256779,0.4942597
0.25843,0.471413
0.260297,0.6523898
0.262612,0.4692576
0.264821,0.6209983
0.265999,0.786624
0.26849,0.5540649
0.271338,0.4555067
0.27494,0.4442751
0.276923,0.3865353
0.280016,0.3985595
0.282293,0.5045199
0.284221,0.3874608
0.286271,0.3163749
0.289482,0.309568
0.292396,0.3479389
0.296216,0.3638691
0.300216,0.4884231
0.301722,0.7051687
0.304272,0.7081421
0.307042,0.3992254
0.308277,0.5899374
0.312277,0.5053128
0.314706,0.6470033
0.318706,0.2911572
0.322107,0.3444911
0.325867,0.3356085
0.329498,0.3839929
0.333498,0.4313422
0.337498,0.4089658
0.339968,0.3268724
0.342234,0.3042512
0.345809,0.2905057
0.349809,0.262228
0.353809,0.2501596
0.365585,0.384851
0.378673,0.6817169
0.389647,0.9805676
0.400856,1.190304
0.412562,1.09163
0.422606,1.098622
0.43271,1.027299
0.444189,1.07377
0.457965,1.104527
0.468108,1.135241
0.478663,1.126202
0.491263,1.109394
0.501404,1.127125
0.514394,1.100422
0.5257,1.094764
0.536631,1.088712
0.547767,1.080649
0.561712,0.9687257
0.573289,0.9760365
0.584326,1.052
0.594403,1.121702
0.606854,1.16899
0.619611,1.115725
0.630496,1.029904
0.643859,0.8939735
0.660824,0.7540037
0.680505,0.6252893
0.694092,0.5745322
0.70845,0.5582806
0.719666,0.5384569
0.738333,0.5243107
0.756527,0.5061535
0.772268,0.4920506
0.784501,0.4713916
0.808828,0.4541185
0.82233,0.4401112
0.833606,0.4420689
0.850079,0.4334449
0.860923,0.441731
0.874204,0.4471989
0.891862,0.4554804
0.911509,0.4478357
0.923298,0.4401625
0.939639,0.4327299
0.951609,0.4211885
0.967518,0.4308922
0.981085,0.4151713
0.998347,0.3673992
1.00994,0.3230506
1.038328,0.2807179
1.055341,0.2467454
1.066138,0.2244569
1.083215,0.2150759
1.097906,0.2298234
1.114992,0.2587824
1.125154,0.2522152
1.146641,0.2281554
1.161659,0.2055982
1.184735,0.1950936
1.194794,0.2089234
1.209174,0.1948792
1.220819,0.18906
1.23653,0.1859537
1.262221,0.1716256
1.27361,0.2116135
1.294398,0.1795041
1.318333,0.1741281
1.334755,0.1806824
1.352233,0.2218278
1.362822,0.1907372
1.380955,0.189864
1.398052,0.1985011
1.408224,0.7278177
1.418882,0.9690286
1.430614,1.20819
1.440957,1.306385
1.452935,1.168677
1.46445,1.140317
1.475118,0.9914156
1.485558,2.071641
1.496597,1.879609
1.507154,2.029303
1.519765,2.100313
1.530472,2.038719
1.542736,2.042371
1.554395,2.01596
1.567284,1.872871
1.581149,1.821173
1.591324,1.683067
1.60309,1.434907
1.615121,1.337186
1.62652,1.203253
1.636864,1.138815
1.648965,1.020228
1.662177,1.001407
1.672206,1.005631
1.684833,0.9928386
1.696029,1.013842
1.706198,1.003153
1.719201,1.024564
1.729949,1.023356
1.740715,1.003285
1.751989,0.9652689
1.766095,0.9159134
1.777953,0.9410269
1.792385,0.8165871
1.803382,0.7676903
1.816524,0.7220451
1.82814,0.6852598
1.839672,0.696786
1.850067,0.8038504
1.860874,0.789099
1.873658,0.8532798
1.887653,0.8191314
1.899015,0.7979439
1.90942,0.8117592
1.923517,0.8339205
1.936643,0.8756323
1.950655,0.9255942
1.962988,1.002747
1.974007,1.0777
1.984871,1.144858
1.997093,1.210695
2.009364,1.378832
2.019751,1.485871
2.03241,1.517998
2.043972,1.740726
2.056501,1.774264
2.068619,2.037303
2.078898,2.124311
2.090802,2.055855
2.101264,1.873578
2.112063,1.85772
2.122312,1.905522
2.13301,1.898321
2.143481,1.842837
2.15373,1.745433
2.164377,1.709546
2.1747,1.628362
2.185382,1.490448
2.195787,1.302653
2.206471,1.076833
2.216847,1.037185
2.227072,0.99753
2.237303,0.9404907
2.248504,0.8695912
2.259329,0.8562263
2.270729,0.7900188
2.283662,0.6241198
2.29382,0.8203877
2.304991,0.9091941
2.315673,0.9888234
2.326486,0.978708
2.338852,0.9280003
2.350137,1.251768
2.361873,1.52023
2.373071,1.814464
2.384474,1.901933
2.395486,1.957623
2.406929,2.064592
2.417307,2.009594
2.427425,1.998398
2.438179,1.912378
2.451546,1.844513
2.463026,1.678901
2.473495,1.498154
2.486276,1.462965
2.496398,1.155809
2.507392,1.089159
2.519624,0.9574306
2.530184,0.8406742
2.540922,0.7715425
2.551942,0.7424398
2.563352,0.7434042
2.574588,0.7912779
2.58738,0.8345122
