frame,value
0,1
0.001192,1.003105
0.002858,1.007011
0.004429,1.010416
0.005909,1.01341
0.007499,1.017163
0.00898,1.019817
0.010156,1.0218
0.01132,1.023591
0.012504,1.025115
0.013742,1.026686
0.015006,1.02815
0.016284,1.029384
0.01739,1.030672
0.018414,1.031512
0.019954,1.032771
0.021347,1.033634
0.022498,1.034553
0.023628,1.035249
0.024983,1.035688
0.026202,1.035951
0.027242,1.036434
0.028496,1.036715
0.02956,1.036901
0.030841,1.037099
0.032055,1.037216
0.033117,1.037366
0.034171,1.037708
0.035359,1.037874
0.036609,1.037895
0.037748,1.037871
0.038995,1.03778
0.040268,1.037634
0.041345,1.037788
0.042438,1.03768
0.043494,1.037596
0.044764,1.037457
0.045949,1.037531
0.047013,1.037883
0.048136,1.037701
0.04923,1.038239
0.050275,1.038745
0.051648,1.0382
0.052994,1.037786
0.054117,1.037596
0.055254,1.038046
0.05628,1.038284
0.057306,1.038522
0.05852,1.038862
0.059558,1.03995
0.060623,1.040213
0.061665,1.041118
0.062839,1.041361
0.063861,1.041641
0.064897,1.041962
0.065948,1.04227
0.067021,1.04263
0.068295,1.043317
0.069378,1.044047
0.070451,1.045063
0.071557,1.045311
0.072626,1.045831
0.073728,1.046567
0.074913,1.047186
0.076222,1.047903
0.077601,1.048595
0.078642,1.049811
0.079836,1.050416
0.080969,1.050706
0.081986,1.050932
0.083234,1.051243
0.084389,1.051323
0.085669,1.051261
0.086673,1.051756
0.088032,1.051129
0.089077,1.050801
0.090135,1.050819
0.091212,1.050199
0.092221,1.049856
0.093376,1.049127
0.09489,1.048485
0.095923,1.047932
0.097479,1.047059
0.098688,1.046553
0.099795,1.046201
0.100844,1.045741
0.102124,1.045327
0.103281,1.044953
0.104336,1.044722
0.105901,1.044384
0.10715,1.044074
0.108401,1.043631
0.109487,1.043642
0.110747,1.043474
0.112342,1.043005
0.113642,1.042943
0.115374,1.042952
0.11677,1.042931
0.118049,1.042718
0.119096,1.042601
0.120429,1.042694
0.121509,1.042572
0.122573,1.04265
0.123707,1.042433
0.124774,1.043123
0.125879,1.043061
0.126949,1.042839
0.128488,1.042658
0.129841,1.042574
0.130855,1.043078
0.132068,1.042999
0.133184,1.043094
0.134254,1.043517
0.135281,1.044017
0.136361,1.044046
0.137539,1.044157
0.138549,1.044337
0.139556,1.044665
0.140833,1.045058
