frame,value
0,0.004
0.001118,0.004
0.002313,0.004
0.00344,0.004
0.004467,0.004
0.005552,0.004
0.006725,0.004
0.008183,0.004
0.00925,0.004
0.010654,0.004
0.012061,0.004
0.013401,0.004
0.014483,0.004
0.015649,0.004
0.016759,0.004
0.017948,0.004
0.019011,0.004
0.020163,0.004
0.021458,0.004
0.022604,0.004
0.023668,0.004
0.02501,0.004
0.026275,0.004
0.027293,0.004
0.028323,0.004
0.029404,0.004
0.030611,0.004
0.031962,0.004
0.033293,0.004
0.034425,0.004
0.0355,0.004
0.03662,0.004
0.037814,0.004
0.038849,0.004
0.039862,0.004
0.040939,0.004
0.042007,0.004
0.043063,0.004
0.044191,0.004
0.045239,0.004
0.046276,0.004
0.047336,0.004
0.048461,0.004
0.049516,0.004
0.05063,0.004
0.051839,0.004
0.052981,0.004
0.054033,0.004
0.05514,0.004
0.056269,0.004
0.057411,0.004
0.058613,0.004
0.059794,0.004
0.060965,0.004
0.062118,0.004
0.063148,0.004
0.064161,0.004
0.065218,0.004
0.066396,0.004
0.067604,0.004
0.06862,0.004
0.069662,0.004
0.070837,0.004
0.071842,0.004
0.073005,0.004
0.074173,0.004
0.07519,0.004
0.076364,0.004
0.077371,0.004
0.078543,0.004
0.079717,0.004
0.080762,0.004
0.082076,0.004
0.083238,0.004
0.084326,0.004
0.085772,0.004
0.086835,0.004
0.087976,0.004
0.08912,0.004
0.090384,0.004
0.09158,0.004
0.09268,0.004
0.093732,0.004
0.09519,0.004
0.096277,0.004
0.097333,0.004
0.098408,0.004
0.099451,0.004
0.100499,0.004
0.101525,0.004
0.102538,0.004
0.103598,0.004
0.104668,0.004
0.105846,0.004
0.106952,0.004
0.108003,0.004
0.109045,0.004
0.110144,0.004
0.111176,0.004
0.112282,0.004
0.113396,0.004
0.114413,0.004
0.115604,0.004
0.116642,0.004
0.117678,0.004
0.118721,0.004
0.120038,0.004
0.121084,0.004
0.122386,0.004
0.123624,0.004
0.124863,0.004
0.125924,0.004
0.126982,0.004
0.128001,0.004
0.129255,0.004
0.130302,0.004
0.131342,0.004
0.132792,0.004
0.133858,0.004
0.134862,0.004
0.135868,0.004
0.136869,0.004
0.137895,0.004
0.138902,0.004
0.14009,0.004
0.141216,0.004
0.142318,0.004
0.143471,0.004
