frame,value
0,38
0,50
0,57
0,26
0.001118,61
0.001118,61
0.001118,27
0.002313,58
0.002313,26
0.00344,63
0.00344,63
0.00344,25
0.004467,64
0.004467,62
0.004467,27
0.005552,63
0.005552,63
0.005552,58
0.005552,27
0.006725,63
0.006725,61
0.006725,58
0.006725,30
0.008183,61
0.008183,58
0.008183,55
0.008183,54
0.008183,24
0.00925,59
0.00925,58
0.00925,55
0.00925,56
0.00925,28
0.010654,58
0.010654,59
0.010654,57
0.010654,57
0.010654,28
0.012061,60
0.012061,57
0.012061,57
0.012061,57
0.012061,57
0.012061,26
0.013401,58
0.013401,56
0.013401,62
0.013401,55
0.013401,24
0.014483,57
0.014483,56
0.014483,55
0.014483,55
0.014483,56
0.014483,24
0.015649,60
0.015649,57
0.015649,56
0.015649,57
0.015649,23
0.016759,55
0.016759,54
0.016759,56
0.016759,56
0.016759,56
0.016759,57
0.016759,24
0.017948,57
0.017948,55
0.017948,57
0.017948,56
0.017948,55
0.017948,50
0.017948,23
0.019011,55
0.019011,55
0.019011,55
0.019011,55
0.019011,53
0.019011,25
0.020163,56
0.020163,55
0.020163,56
0.020163,55
0.020163,57
0.020163,56
0.020163,26
0.021458,55
0.021458,54
0.021458,56
0.021458,54
0.021458,55
0.021458,25
0.022604,54
0.022604,54
0.022604,55
0.022604,53
0.022604,24
0.023668,53
0.023668,53
0.023668,54
0.023668,52
0.023668,53
0.023668,26
0.02501,54
0.02501,53
0.02501,54
0.02501,54
0.02501,55
0.02501,26
0.026275,54
0.026275,54
0.026275,55
0.026275,23
0.027293,54
0.027293,53
0.027293,54
0.027293,55
0.027293,23
0.028323,53
0.028323,53
0.028323,53
0.028323,53
0.028323,23
0.029404,54
0.029404,54
0.029404,54
0.029404,55
0.029404,54
0.029404,24
0.030611,55
0.030611,54
0.030611,54
0.030611,55
0.030611,54
0.030611,27
0.031962,54
0.031962,54
0.031962,54
0.031962,54
0.031962,55
0.031962,27
0.033293,56
0.033293,56
0.033293,56
0.033293,56
0.033293,56
0.033293,24
0.034425,54
0.034425,54
0.034425,54
0.034425,56
0.034425,56
0.034425,56
0.034425,26
0.0355,59
0.0355,57
0.0355,52
0.0355,52
0.0355,53
0.0355,54
0.0355,54
0.0355,28
0.03662,59
0.03662,58
0.03662,58
0.03662,58
0.03662,59
0.03662,58
0.03662,27
0.037814,55
0.037814,56
0.037814,57
0.037814,27
0.038849,54
0.038849,53
0.038849,57
0.038849,56
0.038849,58
0.038849,58
0.038849,26
0.039862,54
0.039862,56
0.039862,57
0.039862,58
0.039862,57
0.039862,58
0.039862,57
0.039862,60
0.039862,26
0.040939,55
0.040939,54
0.040939,55
0.040939,55
0.040939,56
0.040939,55
0.040939,55
0.040939,55
0.040939,27
0.042007,53
0.042007,53
0.042007,53
0.042007,55
0.042007,54
0.042007,53
0.042007,53
0.042007,53
0.042007,26
0.043063,53
0.043063,52
0.043063,54
0.043063,53
0.043063,53
0.043063,53
