frame,value
0,0
1,4185
2,5180
3,7739
4,8129
5,7312
6,4455
7,6815
8,4413
9,3708
10,4325
11,5250
12,8060
13,6665
14,8430
15,7842
16,6627
17,5638
18,2449
19,856
20,688
21,522
22,648
23,525
24,291
25,431
26,417
27,459
28,327
29,799
30,437
31,463
32,613
33,635
34,861
35,484
36,492
37,484
38,506
39,239
40,348
41,408
42,420
43,411
44,242
45,356
46,360
47,379
48,481
49,379
50,354
51,343
52,373
53,207
54,362
55,349
56,354
57,345
58,205
59,213
61,231
62,212
63,208
65,219
66,207
67,212
68,227
69,230
70,225
71,210
72,213
73,327
74,327
75,199
76,215
77,210
78,210
79,200
80,203
81,218
82,203
83,214
84,439
85,796
86,1425
87,713
88,572
89,573
90,2103
91,1060
92,1049
93,954
94,1574
95,1058
96,1063
97,907
98,1615
99,905
100,508
101,659
102,516
103,517
104,1031
105,519
106,520
107,522
108,1016
109,509
110,651
111,512
112,1212
113,495
114,488
115,599
116,1010
117,586
118,470
119,612
120,612
121,602
122,480
123,751
124,1416
125,1069
126,1143
127,3181
128,19002
129,5014
130,12705
131,3339
132,3605
133,810
134,917
135,1387
136,663
137,884
138,783
139,1601
140,566
141,667
142,1352
143,722
144,1115
145,1018
146,1724
147,1032
148,613
149,680
150,1082
151,437
152,567
153,439
154,888
155,590
156,444
157,455
158,1032
159,332
160,326
161,336
162,1355
163,1502
164,2725
165,5240
166,1790
167,980
168,742
169,1233
170,465
171,570
172,433
173,538
174,544
175,1086
176,389
177,386
178,529
179,387
180,1240
181,397
182,525
183,508
184,629
185,623
186,1620
187,1027
188,1031
189,1753
190,573
191,443
192,319
193,319
195,526
196,330
197,202
198,337
199,214
201,337
202,205
204,431
205,198
207,344
208,211
209,215
210,199
212,211
215,238
217,219
220,222
221,188
222,194
224,198
226,205
228,210
230,211
232,224
234,196
236,222
237,187
238,180
239,186
242,218
