frame,value
0,1
0.001321,1.107936
0.002323,1.108758
0.003563,1.108972
0.00459,1.10894
0.005765,1.109245
0.006935,1.10876
0.007974,1.109006
0.009044,1.109155
0.010097,1.109262
0.011217,1.109348
0.012466,1.109294
0.013695,1.109396
0.014805,1.109506
0.015837,1.109306
0.017018,1.109113
0.018081,1.109337
0.019295,1.109094
0.020405,1.109573
0.021562,1.109315
0.022621,1.10953
0.023724,1.109352
0.024746,1.109331
0.02576,1.109655
0.026811,1.109466
0.027924,1.109295
0.028928,1.108763
0.029928,1.109321
0.031033,1.109365
0.032183,1.109366
0.033197,1.109032
0.034237,1.109264
0.035304,1.108942
0.036346,1.108748
0.037401,1.109143
0.038414,1.1095
0.03946,1.109006
0.040527,1.108745
0.041554,1.109654
0.042578,1.109438
0.043607,1.109339
0.044681,1.108743
0.045701,1.10954
0.046745,1.109482
0.047812,1.109558
0.048823,1.109321
0.049834,1.10921
0.050844,1.108721
0.051973,1.109632
0.053058,1.109504
0.054131,1.109353
0.055163,1.109494
0.056184,1.109078
0.057294,1.109561
0.058366,1.109212
0.059445,1.109624
0.060501,1.109553
0.061549,1.109608
0.062622,1.108675
0.06372,1.109554
0.064939,1.108622
0.06595,1.109011
0.066979,1.109453
0.068043,1.109308
0.069081,1.10922
0.07009,1.108826
0.071098,1.108574
0.072112,1.108993
0.073172,1.108856
0.074174,1.108938
0.075238,1.109484
0.076311,1.109103
0.077326,1.108796
0.078407,1.109637
0.079419,1.109282
0.080494,1.109069
0.081509,1.10878
0.082612,1.109456
0.083655,1.109536
0.08467,1.109159
0.085716,1.109675
0.08672,1.10899
0.087881,1.109404
0.089098,1.109133
0.090194,1.109288
0.091335,1.109495
0.092543,1.108936
0.093745,1.109223
0.095088,1.108554
0.096304,1.10919
0.097527,1.109155
0.098535,1.109077
0.099766,1.109005
0.100774,1.10966
0.101825,1.109579
0.102895,1.109503
0.10407,1.109292
0.105348,1.108937
0.106453,1.109567
0.107834,1.108963
0.108838,1.109157
0.109855,1.109124
0.110923,1.108649
0.11231,1.108684
0.113324,1.109618
0.114379,1.109671
0.115582,1.109311
0.116593,1.109612
0.117682,1.109201
0.118774,1.109563
0.119899,1.109401
0.120917,1.109493
0.121961,1.109261
0.123114,1.1095
0.124236,1.109263
0.125256,1.1089
0.126277,1.109716
0.127278,1.109707
0.128395,1.109663
0.129407,1.10973
0.130512,1.109188
0.131567,1.109279
0.132578,1.109522
0.133634,1.109686
0.134656,1.109696
0.135772,1.109459
0.136784,1.109546
0.13786,1.109302
0.13887,1.109464
0.139936,1.109698
0.141021,1.109401
0.142105,1.109308
0.143167,1.109304
0.144174,1.109406
0.145238,1.108583
0.146313,1.109454
0.147428,1.108538
0.148445,1.108515
0.149469,1.109822
0.150554,1.108464
0.151791,1.108567
0.152997,1.109106
0.154094,1.109032
0.155399,1.108704
0.156681,1.109009
0.157993,1.109053
0.159144,1.108801
0.160446,1.109059
0.161519,1.10856
0.162527,1.108425
0.163591,1.1092
0.164758,1.108951
0.165839,1.109032
0.167006,1.108916
0.168055,1.107692
0.169067,1.109143
0.17016,1.107005
0.171235,1.107531
0.172337,1.108136
0.173429,1.106424
0.174587,1.104385
0.175692,1.102866
0.176716,1.100736
0.177799,1.102077
0.178926,1.09964
0.180037,1.099436
0.181084,1.102036
0.18209,1.101973
0.183162,1.103284
0.184187,1.103417
0.185221,1.104207
0.186246,1.104019
0.187248,1.104153
0.188287,1.103651
0.189336,1.104218
0.190358,1.104229
0.191623,1.103377
0.192906,1.103208
0.194166,1.10264
0.195679,1.099278
0.196843,1.100794
0.198231,1.10242
0.199525,1.098035
0.200941,1.099025
0.2025,1.106492
0.204491,1.098421
0.20577,1.102378
0.207058,1.098804
0.208383,1.106732
0.210141,1.106385
0.211221,1.106454
0.212925,1.105065
0.214854,1.097549
0.216266,1.105651
0.218595,1.104589
0.219951,1.105782
0.221572,1.105157
0.224327,1.102423
0.225819,1.105648
0.226856,1.10619
0.22855,1.104777
0.231385,1.10228
0.233164,1.104661
0.234766,1.104995
0.237512,1.102609
0.240623,1.10198
0.243313,1.103225
0.246748,1.100756
0.248722,1.10459
0.251114,1.103304
0.254126,1.101765
0.257466,1.101561
0.25991,1.103473
0.26131,1.105328
0.263229,1.104292
0.266415,1.101342
0.269787,1.101692
0.271188,1.105386
0.272955,1.104602
0.275757,1.102385
0.278105,1.103166
0.279765,1.104788
0.282098,1.103314
0.286098,1.099237
0.287897,1.104615
0.289222,1.104982
0.292586,1.102178
0.296249,1.100835
0.298238,1.104845
0.301714,1.1004
0.304756,1.102392
0.308083,1.102067
0.31027,1.104084
0.31427,1.099125
0.316102,1.104841
0.317767,1.104426
0.319978,1.103091
0.323351,1.102174
0.325763,1.103523
0.329763,1.099259
0.332137,1.104182
0.335608,1.100458
0.339442,1.101232
0.34188,1.10383
0.34588,1.099012
0.34818,1.104265
0.351808,1.100155
0.367774,1.093277
0.386088,1.093133
0.399639,1.093129
0.414156,1.093376
0.427925,1.093401
0.440423,1.093504
0.452747,1.0936
0.465403,1.093777
0.482078,1.094142
0.49873,1.094393
0.516832,1.094405
0.530396,1.095483
0.546351,1.095841
0.560186,1.095883
0.57363,1.096115
0.588365,1.096087
0.600887,1.096516
0.614246,1.096317
0.629618,1.096342
0.643835,1.096809
0.66415,1.096395
0.678662,1.097109
0.691795,1.096748
0.705706,1.096711
0.719789,1.096892
0.734332,1.096817
