frame,value
0,0.0785116
0,0.1336565
0,0.07223921
0,0.0829535
0.001037,0.101553
0.001037,0.2001041
0.001037,0.06069285
0.002163,0.3017289
0.002163,0.04884805
0.00337,0.1467597
0.00337,0.1454373
0.00337,0.04739428
0.004453,0.1530027
0.004453,0.1312924
0.004453,0.06755527
0.00551,0.05072896
0.00551,0.1236024
0.00551,0.1765843
0.00551,0.07649077
0.00677,0.05196454
0.00677,0.1775821
0.00677,0.07993152
0.00677,0.04930629
0.0079,0.03068342
0.0079,0.07354403
0.0079,0.1972642
0.0079,0.0407517
0.008933,0.0715875
0.008933,0.107736
0.008933,0.1228456
0.008933,0.08259409
0.008933,0.1089658
0.008933,0.03274224
0.010255,0.09097289
0.010255,0.09142702
0.010255,0.08379191
0.010255,0.04777553
0.010255,0.04012281
0.011373,0.04072356
0.011373,0.1375446
0.011373,0.06096512
0.011373,0.09109981
0.011373,0.04320892
0.012548,0.03523045
0.012548,0.1333715
0.012548,0.04562064
0.012548,0.1555436
0.012548,0.04710164
0.013598,0.03695166
0.013598,0.1611946
0.013598,0.03658674
0.013598,0.1422848
0.013598,0.03653277
0.014928,0.0427346
0.014928,0.1521399
0.014928,0.09399004
0.014928,0.05407824
0.014928,0.1100323
0.014928,0.03697159
0.015993,0.03515175
0.015993,0.120836
0.015993,0.02853046
0.015993,0.1591677
0.015993,0.05402198
0.017009,0.04843019
0.017009,0.05124956
0.017009,0.04678081
0.017009,0.04794145
0.017009,0.04212994
0.017009,0.05393536
0.017009,0.1448718
0.017009,0.04712964
0.018116,0.02330222
0.018116,0.1527771
0.018116,0.0726357
0.018116,0.04712006
0.018116,0.04047704
0.018116,0.02293966
0.019154,0.0843593
0.019154,0.01879884
0.019154,0.145253
0.019154,0.02224826
0.019154,0.1033666
0.019154,0.03879891
0.020352,0.03208876
0.020352,0.1037869
0.020352,0.03455237
0.020352,0.0814947
0.020352,0.02086568
0.020352,0.1421907
0.020352,0.03258649
0.021601,0.04570353
0.021601,0.04491585
0.021601,0.05969796
0.021601,0.1325652
0.021601,0.02529119
0.021601,0.04542284
0.022605,0.06482933
0.022605,0.04901009
0.022605,0.1239261
0.022605,0.02619673
0.022605,0.08742518
0.022605,0.02375985
0.02383,0.06846756
0.02383,0.03953854
0.02383,0.1535237
0.02383,0.04563474
0.02383,0.150126
0.02383,0.02023682
0.025037,0.08119582
0.025037,0.04311319
0.025037,0.1441738
0.025037,0.02683645
0.025037,0.04416559
0.026072,0.1004468
0.026072,0.04873888
0.026072,0.07132021
0.026072,0.05997125
0.026072,0.03851698
0.027084,0.1221524
0.027084,0.02699918
0.027084,0.1175498
0.027084,0.03385306
0.027084,0.0573406
0.028171,0.06002557
0.028171,0.05351428
0.028171,0.07044031
0.028171,0.03402422
0.028171,0.1287346
0.028171,0.01639381
0.029387,0.1136159
0.029387,0.03355847
0.029387,0.1083279
0.029387,0.01995844
0.029387,0.1166923
0.029387,0.03926869
0.030439,0.06692771
0.030439,0.03150955
0.030439,0.1141877
0.030439,0.01893767
0.030439,0.1068131
0.030439,0.02329196
0.031633,0.07279199
0.031633,0.02867902
0.031633,0.1419006
0.031633,0.02669151
0.031633,0.1522068
0.031633,0.01609613
0.032796,0.1167203
0.032796,0.0218732
0.032796,0.1175818
0.032796,0.01772817
0.032796,0.06377589
0.0338,0.03562625
0.0338,0.1114301
0.0338,0.01671532
0.0338,0.1309617
0.0338,0.05006459
0.0338,0.1297235
0.0338,0.05197529
0.034866,0.1108411
0.034866,0.01831071
0.034866,0.09382532
0.034866,0.02298466
0.034866,0.0995429
0.034866,0.02119348
0.035963,0.1368903
0.035963,0.01475433
0.035963,0.1426375
0.035963,0.03233304
0.035963,0.1211991
0.035963,0.02232716
0.037093,0.1245314
0.037093,0.01793482
0.037093,0.1500187
0.037093,0.02097662
0.037093,0.1367138
0.037093,0.01257387
0.038322,0.1178632
0.038322,0.02248572
0.038322,0.09320234
0.038322,0.01679823
0.038322,0.1533725
0.038322,0.01315371
0.039639,0.05499021
0.039639,0.05118925
0.039639,0.1251705
0.039639,0.022266
0.039639,0.1398868
0.039639,0.1225052
0.039639,0.05334994
0.040661,0.06233113
0.040661,0.1300148
0.040661,0.08373033
0.040661,0.1189004
0.040661,0.1066798
0.040661,0.1053135
0.040661,0.05507569
0.040661,0.06665474
0.04168,0.0503683
0.04168,0.1102969
0.04168,0.05879206
0.04168,0.1108165
0.04168,0.04134697
0.04168,0.107818
0.04168,0.09707359
0.04168,0.09011121
0.04168,0.08370949
0.042692,0.06564414
0.042692,0.06240081
0.042692,0.0563082
0.042692,0.1131025
0.042692,0.03311952
0.042692,0.1306762
0.042692,0.02447082
0.042692,0.079491
0.043713,0.03150762
0.043713,0.05959916
0.043713,0.03845569
0.043713,0.116106
0.043713,0.01571092
0.043713,0.09470635
0.043713,0.02493977
0.044793,0.08567462
0.044793,0.02762433
0.044793,0.09473516
0.044793,0.01873279
0.044793,0.09738331
0.044793,0.02417905
0.044793,0.09847331
0.044793,0.02165098
0.045996,0.07036708
0.045996,0.02293232
0.045996,0.09827393
0.045996,0.02086868
0.045996,0.1225059
0.045996,0.02147743
0.045996,0.06041494
0.047026,0.0269371
0.047026,0.06706549
0.047026,0.02664522
0.047026,0.101207
0.047026,0.03897168
0.047026,0.07487129
0.047026,0.03699576
0.047026,0.04976765
0.048032,0.03547382
0.048032,0.05354846
0.048032,0.03237715
0.048032,0.1178029
0.048032,0.07808311
0.048032,0.1290558
0.048032,0.11887
0.048032,0.1146464
0.048032,0.0795031
0.049111,0.07267388
0.049111,0.05268971
0.049111,0.09906428
0.049111,0.02050224
0.049111,0.09938099
0.049111,0.03936523
0.050144,0.1030008
0.050144,0.02337783
0.050144,0.1021723
0.050144,0.02019509
0.050144,0.1049238
0.050144,0.04149449
0.051156,0.09110306
0.051156,0.02157739
0.051156,0.1196444
0.051156,0.02322675
0.051156,0.1279022
0.051156,0.1356392
0.051156,0.06823248
0.052182,0.08710341
0.052182,0.06457388
0.052182,0.06593135
0.052182,0.09023786
0.052182,0.09525979
0.052182,0.1342625
0.052182,0.05896408
0.052182,0.0633546
0.05331,0.0236705
0.05331,0.05934184
0.05331,0.03816251
0.05331,0.08445498
0.05331,0.02014328
0.05331,0.09882443
0.05331,0.02371023
0.054319,0.05649138
0.054319,0.03871376
0.054319,0.1172703
0.054319,0.02473087
0.054319,0.08661707
0.054319,0.03593086
0.054319,0.0458012
0.055362,0.05798661
0.055362,0.06268007
0.055362,0.05847076
0.055362,0.08319001
0.055362,0.02439927
0.055362,0.07505091
0.055362,0.02406525
0.056499,0.09385382
0.056499,0.0218033
0.056499,0.1188665
0.056499,0.01432132
0.056499,0.05385845
0.056499,0.03748848
0.057507,0.07439712
0.057507,0.05229547
0.057507,0.05953982
0.057507,0.04076878
0.057507,0.07907589
0.057507,0.01731858
0.057507,0.06466943
0.057507,0.02584496
0.058701,0.04088808
0.058701,0.04651532
0.058701,0.07578568
0.058701,0.0180001
0.058701,0.08293964
0.058701,0.02099292
0.058701,0.09245773
0.058701,0.0261792
0.059878,0.02677678
0.059878,0.03752399
0.059878,0.09704019
0.059878,0.01891279
0.059878,0.05672904
0.059878,0.04471819
0.059878,0.01885596
0.060882,0.04582984
0.060882,0.07232817
0.060882,0.01481028
0.060882,0.07502939
0.060882,0.04038666
0.060882,0.03470601
0.060882,0.02371748
0.061893,0.06421933
0.061893,0.01652344
0.061893,0.1058705
0.061893,0.05984872
0.061893,0.01563906
0.061893,0.1134094
0.061893,0.03070158
0.062909,0.02828592
0.062909,0.02536097
